"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fiber content in raw storage roots estimating 1-9|CO_331:0001038","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00011","","","","39","31","1","2","8","14","30","25","49","36","13.5","3","5","5","5","0.02","2","3","5","4","16.5","30.5","85","0.275510204","0.083333333","0.194117647","2.833333333","2.179487179","1.633333333","1.256410256","0.55","0.423076923","0.466666667","0.358974359","57.64705882","54.09836066","76.92307692","12.82051282","16.66666667","15.66951567","20.37037037","13.29534663","17.28395062","28.9648623","37.65432099"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00012","","","","39","39","1","1","8","10","33","25","166","174","14.5","5.5","4","4","5","12.39","5","2","3","4","20","30","340","0.087349398","0.031609195","0.058823529","10.3030303","8.717948718","5.03030303","4.256410256","0.606060606","0.512820513","0.303030303","0.256410256","48.82352941","66.66666667","84.61538462","13.77018044","16.27384961","18.99335233","22.44668911","9.496676163","11.22334456","28.49002849","33.67003367"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00013","","","","39","35","1","1","6","7","35","27","22","60","4.5","3.5","4","4","5","12.39","3","2","3","4","8","15","82","0.204545455","0.058333333","0.097560976","2.342857143","2.102564103","0.628571429","0.564102564","0.228571429","0.205128205","0.2","0.179487179","26.82926829","53.33333333","89.74358974","4.273504274","4.761904762","7.597340931","8.465608466","6.647673314","7.407407407","14.24501425","15.87301587"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00014","","","","39","38","1","3","9","56","29","3","4","0","0.6","0","4","3","5","0.02","5","3","4","3","0.6","56.6","4","0.15","","0.15","0.137931034","0.102564103","0.137931034","0.102564103","0.020689655","0.015384615","1.931034483","1.435897436","100","1.060070671","74.35897436","0.56980057","0.766283525","0.56980057","0.766283525","53.18138651","71.51979566","53.75118708","72.28607918"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00015","","","","39","35","1","1","9","20","27","23","28","34","6","4","4","4","5","14.37","4","2","4","4","10","30","62","0.214285714","0.117647059","0.161290323","2.296296296","1.58974359","1.037037037","0.717948718","0.37037037","0.256410256","0.740740741","0.512820513","45.16129032","33.33333333","69.23076923","5.698005698","8.230452675","9.496676163","13.71742112","18.99335233","27.43484225","28.49002849","41.15226337"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00016","","","","39","29","1","3","7","8","26","20","27","43","6","2","4","4","4","7.23","5","2","4","5","8","16","70","0.222222222","0.046511628","0.114285714","2.692307692","1.794871795","1.038461538","0.692307692","0.307692308","0.205128205","0.307692308","0.205128205","38.57142857","50","66.66666667","5.698005698","8.547008547","7.597340931","11.3960114","7.597340931","11.3960114","15.19468186","22.79202279"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00017","","","","39","30","1","1","8","19.6","30","22","64","45","9","3.5","4","4","5","14.37","3","2","4","4","12.5","32.1","109","0.140625","0.077777778","0.114678899","3.633333333","2.794871795","2.133333333","1.641025641","0.416666667","0.320512821","0.653333333","0.502564103","58.71559633","38.94080997","76.92307692","8.547008547","11.11111111","11.8708452","15.43209877","18.61348528","24.19753086","30.48433048","39.62962963"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00018","","","","39","38","1","1","9","33.8","26","23","16","50","2","2","4","3","5","1.65","5","3","4","4","4","37.8","66","0.125","0.04","0.060606061","2.538461538","1.692307692","0.615384615","0.41025641","0.153846154","0.102564103","1.3","0.866666667","24.24242424","10.58201058","66.66666667","1.899335233","2.849002849","3.798670465","5.698005698","32.09876543","48.14814815","35.8974359","53.84615385"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00019","","","","39","33","1","1","8","18.4","27","27","46","35","7","1","4","4","5","4.92","5","3","4","4","8","26.4","81","0.152173913","0.028571429","0.098765432","3","2.076923077","1.703703704","1.179487179","0.296296296","0.205128205","0.681481481","0.471794872","56.79012346","30.3030303","69.23076923","6.647673314","9.602194787","7.597340931","10.9739369","17.47388414","25.24005487","25.07122507","36.21399177"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00020","","","","39","39","1","3","9","40.2","23","17","26","15","5","0.5","4","4","5","0","2","2","5","3","5.5","45.7","41","0.192307692","0.033333333","0.134146341","1.782608696","1.051282051","1.130434783","0.666666667","0.239130435","0.141025641","1.747826087","1.030769231","63.41463415","12.03501094","58.97435897","4.748338082","8.051529791","5.22317189","8.85668277","38.17663818","64.73429952","43.39981007","73.59098229"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00021","","","","39","32","1","5","8","18.9","25","17","17","35","4","3","4","4","5","0","3","2","4","4","7","25.9","52","0.235294118","0.085714286","0.134615385","2.08","1.333333333","0.68","0.435897436","0.28","0.179487179","0.756","0.484615385","32.69230769","27.02702703","64.1025641","3.798670465","5.925925926","6.647673314","10.37037037","17.94871795","28","24.59639126","38.37037037"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00022","","","","39","39","1","3","9","16","33","29","78","80","10","4","4","4","5","1.32","5","2","3","4","14","30","158","0.128205128","0.05","0.088607595","4.787878788","4.051282051","2.363636364","2","0.424242424","0.358974359","0.484848485","0.41025641","49.36708861","46.66666667","84.61538462","9.496676163","11.22334456","13.29534663","15.71268238","15.19468186","17.95735129","28.49002849","33.67003367"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00023","","","","39","39","4","1","9","14","23","23","61","46","22","3.8","4","4","5","12.39","5","3","4","4","25.8","39.8","107","0.360655738","0.082608696","0.241121495","4.652173913","2.743589744","2.652173913","1.564102564","1.12173913","0.661538462","0.608695652","0.358974359","57.00934579","64.8241206","58.97435897","20.89268756","35.42673108","24.5014245","41.54589372","13.29534663","22.54428341","37.79677113","64.09017713"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00024","","","","39","33","1","4","7","17.2","22","13","8","65","3","3.8","4","3","5","5.46","5","3","3","4","6.8","24","73","0.375","0.058461538","0.093150685","3.318181818","1.871794872","0.363636364","0.205128205","0.309090909","0.174358974","0.781818182","0.441025641","10.95890411","28.33333333","56.41025641","2.849002849","5.050505051","6.457739791","11.44781145","16.334283","28.95622896","22.79202279","40.4040404"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00025","","","","39","38","1","1","9","22","25","20","91","51","16","3.2","4","4","5","1.32","5","2","3","4","19.2","41.2","142","0.175824176","0.062745098","0.135211268","5.68","3.641025641","3.64","2.333333333","0.768","0.492307692","0.88","0.564102564","64.08450704","46.60194175","64.1025641","15.19468186","23.7037037","18.23361823","28.44444444","20.89268756","32.59259259","39.12630579","61.03703704"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00026","","","","39","37","4","3","9","15.6","27","27","74","19","19","6","5","5","4","0","3","3","3","3","25","40.6","93","0.256756757","0.315789474","0.268817204","3.444444444","2.384615385","2.740740741","1.897435897","0.925925926","0.641025641","0.577777778","0.4","79.56989247","61.57635468","69.23076923","18.04368471","26.06310014","23.74169041","34.29355281","14.81481481","21.39917695","38.55650522","55.69272977"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00027","","","","39","36","1","1","9","21.3","24","24","55","67","14","4","4","4","5","0.02","5","3","3","3","18","39.3","122","0.254545455","0.059701493","0.147540984","5.083333333","3.128205128","2.291666667","1.41025641","0.75","0.461538462","0.8875","0.546153846","45.08196721","45.80152672","61.53846154","13.29534663","21.60493827","17.09401709","27.77777778","20.22792023","32.87037037","37.32193732","60.64814815"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00028","","","","39","38","4","1","8","12.2","22","22","86","135","17","6.5","4","4","5","12.39","5","2","4","4","23.5","35.7","221","0.197674419","0.048148148","0.106334842","10.04545455","5.666666667","3.909090909","2.205128205","1.068181818","0.602564103","0.554545455","0.312820513","38.91402715","65.82633053","56.41025641","16.14434948","28.61952862","22.31718898","39.56228956","11.58594492","20.53872054","33.9031339","60.1010101"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00029","","","","39","37","3","1","8","13.2","27","23","58","93","10.5","5.2","4","4","5","12.39","5","2","4","4","15.7","28.9","151","0.181034483","0.055913978","0.10397351","5.592592593","3.871794872","2.148148148","1.487179487","0.581481481","0.402564103","0.488888889","0.338461538","38.41059603","54.32525952","69.23076923","9.971509972","14.40329218","14.90978158","21.53635117","12.53561254","18.10699588","27.44539411","39.64334705"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00030","","","","39","39","1","1","9","30","28","13","12","28","1","1","4","3","5","0.02","5","2","5","3","2","32","40","0.083333333","0.035714286","0.05","1.428571429","1.025641026","0.428571429","0.307692308","0.071428571","0.051282051","1.071428571","0.769230769","30","6.25","71.79487179","0.949667616","1.322751323","1.899335233","2.645502646","28.49002849","39.68253968","30.38936372","42.32804233"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00031","","","","39","39","1","1","9","20","30","30","73","44","24","3.5","4","4","5","14.37","","","","","27.5","47.5","117","0.328767123","0.079545455","0.235042735","3.9","3","2.433333333","1.871794872","0.916666667","0.705128205","0.666666667","0.512820513","62.39316239","57.89473684","76.92307692","22.79202279","29.62962963","26.11585945","33.95061728","18.99335233","24.69135802","45.10921178","58.64197531"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00032","","","","39","29","1","1","7","8.8","20","20","27","32","5","1","4","4","5","6.12","5","2","4","5","6","14.8","59","0.185185185","0.03125","0.101694915","2.95","1.512820513","1.35","0.692307692","0.3","0.153846154","0.44","0.225641026","45.76271186","40.54054054","51.28205128","4.748338082","9.259259259","5.698005698","11.11111111","8.357075024","16.2962963","14.05508072","27.40740741"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00033","","","","39","38","4","1","9","22","28","21","48","137","8.8","7","4","4","4","10.5","2","2","4","4","15.8","37.8","185","0.183333333","0.051094891","0.085405405","6.607142857","4.743589744","1.714285714","1.230769231","0.564285714","0.405128205","0.785714286","0.564102564","25.94594595","41.7989418","71.79487179","8.357075024","11.64021164","15.00474834","20.8994709","20.89268756","29.1005291","35.8974359","50"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00034","","","","39","39","1","1","9","28","26","21","13","30","2.5","1.5","4","4","4","5.46","4","2","4","4","4","32","43","0.192307692","0.05","0.093023256","1.653846154","1.102564103","0.5","0.333333333","0.153846154","0.102564103","1.076923077","0.717948718","30.23255814","12.5","66.66666667","2.374169041","3.561253561","3.798670465","5.698005698","26.59069326","39.88603989","30.38936372","45.58404558"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00035","","","","39","37","1","2","9","33","30","16","16","42","2.4","1.8","4","4","4","4.92","5","3","4","3","4.2","37.2","58","0.15","0.042857143","0.072413793","1.933333333","1.487179487","0.533333333","0.41025641","0.14","0.107692308","1.1","0.846153846","27.5862069","11.29032258","76.92307692","2.279202279","2.962962963","3.988603989","5.185185185","31.33903134","40.74074074","35.32763533","45.92592593"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00036","","","","39","38","1","1","9","30","30","24","25","50","4","4.8","4","4","5","0.02","2","2","4","4","8.8","38.8","75","0.16","0.096","0.117333333","2.5","1.923076923","0.833333333","0.641025641","0.293333333","0.225641026","1","0.769230769","33.33333333","22.68041237","76.92307692","3.798670465","4.938271605","8.357075024","10.86419753","28.49002849","37.03703704","36.84710351","47.90123457"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00037","","","","39","39","1","1","9","38","32","24","26","100","2.8","3","4","3","5","0","3","2","4","4","5.8","43.8","126","0.107692308","0.03","0.046031746","3.9375","3.230769231","0.8125","0.666666667","0.18125","0.148717949","1.1875","0.974358974","20.63492063","13.24200913","82.05128205","2.659069326","3.240740741","5.508072175","6.712962963","36.08736942","43.98148148","41.5954416","50.69444444"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00038","","","","39","37","1","1","9","18.8","29","25","32","138","4","7","5","4","3","6.12","5","2","4","4","11","29.8","170","0.125","0.050724638","0.064705882","5.862068966","4.358974359","1.103448276","0.820512821","0.379310345","0.282051282","0.648275862","0.482051282","18.82352941","36.91275168","74.35897436","3.798670465","5.108556833","10.44634378","14.04853129","17.85375119","24.01021711","28.30009497","38.0587484"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00039","","","","39","37","1","1","9","16.4","37","33","82","123","11.5","8.8","4","4","4","12.39","5","3","3","3","20.3","36.7","205","0.140243902","0.071544715","0.09902439","5.540540541","5.256410256","2.216216216","2.102564103","0.548648649","0.520512821","0.443243243","0.420512821","40","55.3133515","94.87179487","10.92117759","11.51151151","19.27825261","20.32032032","15.57454891","16.41641642","34.85280152","36.73673674"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00040","","","","39","38","1","1","9","19.9","31","26","16","152","3.3","8.2","4","4","4","7.23","5","3","3","3","11.5","31.4","168","0.20625","0.053947368","0.068452381","5.419354839","4.307692308","0.516129032","0.41025641","0.370967742","0.294871795","0.641935484","0.51025641","9.523809524","36.62420382","79.48717949","3.133903134","3.94265233","10.92117759","13.739546","18.89838557","23.77538829","29.81956315","37.51493429"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00041","","","","39","33","1","1","8","22","30","21","8","228","1.8","10","4","4","3","12.39","5","2","3","4","11.8","33.8","236","0.225","0.043859649","0.05","7.866666667","6.051282051","0.266666667","0.205128205","0.393333333","0.302564103","0.733333333","0.564102564","3.389830508","34.9112426","76.92307692","1.709401709","2.222222222","11.20607787","14.56790123","20.89268756","27.16049383","32.09876543","41.72839506"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00042","","","","39","26","4","4","7","18","26","18","29","73","7","3.6","5","5","4","0","2","3","3","3","10.6","28.6","102","0.24137931","0.049315068","0.103921569","3.923076923","2.615384615","1.115384615","0.743589744","0.407692308","0.271794872","0.692307692","0.461538462","28.43137255","37.06293706","66.66666667","6.647673314","9.971509972","10.06647673","15.0997151","17.09401709","25.64102564","27.16049383","40.74074074"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00043","","","","39","37","1","1","9","15.2","32","19","16","102","5","6","4","4","4","0.02","4","3","3","3","11","26.2","118","0.3125","0.058823529","0.093220339","3.6875","3.025641026","0.5","0.41025641","0.34375","0.282051282","0.475","0.38974359","13.55932203","41.98473282","82.05128205","4.748338082","5.787037037","10.44634378","12.73148148","14.43494777","17.59259259","24.88129155","30.32407407"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00044","","","","39","32","1","4","7","9.5","26","17","5","92","0.5","2.8","4","3","3","7.76","5","2","3","4","3.3","12.8","97","0.1","0.030434783","0.034020619","3.730769231","2.487179487","0.192307692","0.128205128","0.126923077","0.084615385","0.365384615","0.243589744","5.154639175","25.78125","66.66666667","0.474833808","0.712250712","3.133903134","4.700854701","9.021842355","13.53276353","12.15574549","18.23361823"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00045","","","","39","34","1","1","7","8.4","29","24","14","124","1.9","5.5","4","3","3","11.03","5","2","5","4","7.4","15.8","138","0.135714286","0.044354839","0.053623188","4.75862069","3.538461538","0.482758621","0.358974359","0.255172414","0.18974359","0.289655172","0.215384615","10.14492754","46.83544304","74.35897436","1.804368471","2.426564496","7.027540361","9.45083014","7.977207977","10.72796935","15.00474834","20.17879949"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00046","","","","39","34","1","1","9","26","28","10","0","30","0","1.5","3","3","5","0.02","5","3","4","4","1.5","27.5","30","","0.05","0.05","1.071428571","0.769230769","0","0","0.053571429","0.038461538","0.928571429","0.666666667","0","5.454545455","71.79487179","0","0","1.424501425","1.984126984","24.69135802","34.39153439","26.11585945","36.37566138"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00047","","","","39","36","1","1","9","22","32","26","56","74","7.4","3","4","4","4","14.37","4","2","4","4","10.4","32.4","130","0.132142857","0.040540541","0.08","4.0625","3.333333333","1.75","1.435897436","0.325","0.266666667","0.6875","0.564102564","43.07692308","32.09876543","82.05128205","7.027540361","8.564814815","9.87654321","12.03703704","20.89268756","25.46296296","30.76923077","37.5"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00048","","","","39","28","1","1","7","14","16","5","2","7","0.3","0.8","4","4","3","7.23","","","","","1.1","15.1","9","0.15","0.114285714","0.122222222","0.5625","0.230769231","0.125","0.051282051","0.06875","0.028205128","0.875","0.358974359","22.22222222","7.284768212","41.02564103","0.284900285","0.694444444","1.044634378","2.546296296","13.29534663","32.40740741","14.33998101","34.9537037"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00049","","","","39","31","1","2","8","26","30","24","40","90","7","4.2","4","4","4","0","3","3","4","3","11.2","37.2","130","0.175","0.046666667","0.086153846","4.333333333","3.333333333","1.333333333","1.025641026","0.373333333","0.287179487","0.866666667","0.666666667","30.76923077","30.10752688","76.92307692","6.647673314","8.641975309","10.6362773","13.82716049","24.69135802","32.09876543","35.32763533","45.92592593"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00050","","","","39","37","1","2","9","20","33","26","41","61","5.5","4.2","5","5","5","6.12","4","2","5","4","9.7","29.7","102","0.134146341","0.068852459","0.095098039","3.090909091","2.615384615","1.242424242","1.051282051","0.293939394","0.248717949","0.606060606","0.512820513","40.19607843","32.65993266","84.61538462","5.22317189","6.172839506","9.211775878","10.88664422","18.99335233","22.44668911","28.20512821","33.33333333"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00051","","","","39","33","1","1","9","23","27","27","13","70","1.2","3","3","3","4","6.12","4","3","5","3","4.2","27.2","83","0.092307692","0.042857143","0.05060241","3.074074074","2.128205128","0.481481481","0.333333333","0.155555556","0.107692308","0.851851852","0.58974359","15.6626506","15.44117647","69.23076923","1.13960114","1.646090535","3.988603989","5.761316872","21.84235518","31.55006859","25.83095916","37.31138546"
