"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","treatment_irrigation","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00021","","","","84","50","50","33","61","60","17.94","7.3","29.8","1","3","25.24","55.04","121","0.294098361","0.121666667","0.208595041","2.42","1.22","0.5048","0.596","50.41322314","45.85755814","7.91005291","11.1287478","13.13932981","24.2680776","1","1.44047619","0.726190476","0.30047619","0.354761905","59.52380952","13.28888889","18.6962963","22.07407407","40.77037037"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00022","","","","84","38","38","31","65","50","17.54","3.8","42.2","1","1","21.34","63.54","115","0.269846154","0.076","0.185565217","3.026315789","1.710526316","0.561578947","1.110526316","56.52173913","33.58514322","7.733686067","9.409171076","18.60670194","28.01587302","1","1.369047619","0.773809524","0.254047619","0.502380952","45.23809524","17.09551657","20.79922027","41.13060429","61.92982456"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00023","","","","84","36","36","33","95","140","18.2","7.5","30.8","1","3","25.7","56.5","235","0.191578947","0.053571429","0.109361702","6.527777778","2.638888889","0.713888889","0.855555556","40.42553191","45.48672566","8.024691358","11.33156966","13.58024691","24.91181658","1","2.797619048","1.130952381","0.305952381","0.366666667","42.85714286","18.72427984","26.44032922","31.6872428","58.12757202"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00024","","","","84","36","36","26","55","95","8.26","4.2","21","1","5","12.46","33.46","150","0.150181818","0.044210526","0.083066667","4.166666667","1.527777778","0.346111111","0.583333333","36.66666667","37.23849372","3.641975309","5.49382716","9.259259259","14.75308642","1","1.785714286","0.654761905","0.148333333","0.25","42.85714286","8.497942387","12.81893004","21.60493827","34.42386831"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00025","","","","84","30","30","25","13","50","2.66","2.86","40.8","1","7","5.52","46.32","63","0.204615385","0.0572","0.087619048","2.1","0.433333333","0.184","1.36","20.63492063","11.91709845","1.172839506","2.433862434","17.98941799","20.42328042","1","0.75","0.154761905","0.065714286","0.485714286","35.71428571","3.283950617","6.814814815","50.37037037","57.18518519"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00026","","","","84","38","38","38","24","184","2.8","6.4","20.2","1","5","9.2","29.4","208","0.116666667","0.034782609","0.044230769","5.473684211","0.631578947","0.242105263","0.531578947","11.53846154","31.29251701","1.234567901","4.05643739","8.906525573","12.96296296","1","2.476190476","0.285714286","0.10952381","0.24047619","45.23809524","2.729044834","8.966861598","19.68810916","28.65497076"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00027","","","","84","50","50","30","34","106","4.2","2.8","33.2","1","5","7","40.2","140","0.123529412","0.026415094","0.05","2.8","0.68","0.14","0.664","24.28571429","17.41293532","1.851851852","3.086419753","14.63844797","17.72486772","1","1.666666667","0.404761905","0.083333333","0.395238095","59.52380952","3.111111111","5.185185185","24.59259259","29.77777778"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00028","","","","84","49","49","35","86","53","32.4","2.2","25.2","1","3","34.6","59.8","139","0.376744186","0.041509434","0.248920863","2.836734694","1.755102041","0.706122449","0.514285714","61.8705036","57.85953177","14.28571429","15.25573192","11.11111111","26.36684303","1","1.654761905","1.023809524","0.411904762","0.3","58.33333333","24.48979592","26.1526833","19.04761905","45.20030234"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00029","","","","84","49","49","39","53","180","9.6","11.2","35.2","1","3","20.8","56","233","0.181132075","0.062222222","0.089270386","4.755102041","1.081632653","0.424489796","0.718367347","22.74678112","37.14285714","4.232804233","9.171075838","15.52028219","24.69135802","1","2.773809524","0.630952381","0.247619048","0.419047619","58.33333333","7.256235828","15.72184429","26.60619803","42.32804233"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00030","","","","84","50","50","37","6","96","2.8","4.8","91.4","1","5","7.6","99","102","0.466666667","0.05","0.074509804","2.04","0.12","0.152","1.828","5.882352941","7.676767677","1.234567901","3.350970018","40.29982363","43.65079365","1","1.214285714","0.071428571","0.09047619","1.088095238","59.52380952","2.074074074","5.62962963","67.7037037","73.33333333"
