"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00011","","","","26","21","1","1","5","20","20","14","30","4","14.3","8.5","5","5","3","5","1","1","1","0.02","18.3","26.8","44","0.285714286","0.476666667","0.415909091","2.2","1.692307692","0.7","0.538461538","0.915","0.703846154","0.425","0.326923077","31.81818182","68.28358209","76.92307692","5.698005698","7.407407407","26.06837607","33.88888889","12.10826211","15.74074074","38.17663818","49.62962963"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00012","","","","26","22","1","1","7","17","17","12","33","3.7","12.5","7.7","5","5","3","1","1","1","1","0.02","16.2","23.9","45","0.308333333","0.378787879","0.36","2.647058824","1.730769231","0.705882353","0.461538462","0.952941176","0.623076923","0.452941176","0.296153846","26.66666667","67.78242678","65.38461538","5.270655271","8.061002179","23.07692308","35.29411765","10.96866097","16.77559913","34.04558405","52.06971678"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00013","","","","26","10","1","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.23076923","","","","","","","",""
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00014","","","","26","17","1","1","5","9","9","10","19","3","8.5","4.5","5","5","3","5","1","1","1","0.03","11.5","16","29","0.3","0.447368421","0.396551724","3.222222222","1.115384615","1.111111111","0.384615385","1.277777778","0.442307692","0.5","0.173076923","34.48275862","71.875","34.61538462","4.273504274","12.34567901","16.38176638","47.32510288","6.41025641","18.51851852","22.79202279","65.8436214"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00015","","","","26","22","1","1","5","22","22","21","36","5.5","15","10.1","3","1","3","3","1","3","1","0.03","20.5","30.6","57","0.261904762","0.416666667","0.359649123","2.590909091","2.192307692","0.954545455","0.807692308","0.931818182","0.788461538","0.459090909","0.388461538","36.84210526","66.99346405","84.61538462","7.834757835","9.259259259","29.2022792","34.51178451","14.38746439","17.003367","43.58974359","51.51515152"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00016","","","","26","22","1","1","7","19","19","13","14","3.3","4.6","11.2","5","5","3","3","1","3","1","0.15","7.9","19.1","27","0.253846154","0.328571429","0.292592593","1.421052632","1.038461538","0.684210526","0.5","0.415789474","0.303846154","0.589473684","0.430769231","48.14814815","41.36125654","73.07692308","4.700854701","6.432748538","11.25356125","15.39961014","15.95441595","21.83235867","27.20797721","37.23196881"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00017","","","","26","20","1","5","7","17","17","15","46","4.5","17.8","9.5","3","3","3","1","1","3","1","0.02","22.3","31.8","61","0.3","0.386956522","0.36557377","3.588235294","2.346153846","0.882352941","0.576923077","1.311764706","0.857692308","0.558823529","0.365384615","24.59016393","70.12578616","65.38461538","6.41025641","9.803921569","31.76638177","48.583878","13.53276353","20.69716776","45.2991453","69.28104575"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00018","","","","26","23","1","3","9","20","20","17","37","5","15","10.5","3","1","3","1","1","3","1","0.03","20","30.5","54","0.294117647","0.405405405","0.37037037","2.7","2.076923077","0.85","0.653846154","1","0.769230769","0.525","0.403846154","31.48148148","65.57377049","76.92307692","7.122507123","9.259259259","28.49002849","37.03703704","14.95726496","19.44444444","43.44729345","56.48148148"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00019","","","","26","17","1","1","5","10","10","10","24","3","9.5","8.7","5","5","5","1","5","5","5","6.12","12.5","21.2","34","0.3","0.395833333","0.367647059","3.4","1.307692308","1","0.384615385","1.25","0.480769231","0.87","0.334615385","29.41176471","58.96226415","38.46153846","4.273504274","11.11111111","17.80626781","46.2962963","12.39316239","32.22222222","30.1994302","78.51851852"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00020","","","","26","15","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00021","","","","26","24","1","3","7","16","16","10","21","3","7.8","4.5","3","3","3","3","1","3","1","0.15","10.8","15.3","31","0.3","0.371428571","0.348387097","1.9375","1.192307692","0.625","0.384615385","0.675","0.415384615","0.28125","0.173076923","32.25806452","70.58823529","61.53846154","4.273504274","6.944444444","15.38461538","25","6.41025641","10.41666667","21.79487179","35.41666667"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00022","","","","26","18","1","3","3","9","9","22","35","7","13.6","5","3","3","3","1","7","5","5","11.03","20.6","25.6","57","0.318181818","0.388571429","0.361403509","6.333333333","2.192307692","2.444444444","0.846153846","2.288888889","0.792307692","0.555555556","0.192307692","38.59649123","80.46875","34.61538462","9.971509972","28.80658436","29.34472934","84.77366255","7.122507123","20.57613169","36.46723647","105.3497942"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00023","","","","26","18","1","1","5","18","18","16","30","4.9","12.9","8.5","3","3","3","3","1","1","1","0.03","17.8","26.3","46","0.30625","0.43","0.386956522","2.555555556","1.769230769","0.888888889","0.615384615","0.988888889","0.684615385","0.472222222","0.326923077","34.7826087","67.68060837","69.23076923","6.98005698","10.08230453","25.35612536","36.6255144","12.10826211","17.48971193","37.46438746","54.11522634"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00024","","","","26","15","1","3","5","12","12","18","17","8","7","9","3","3","3","1","7","7","5","14.37","15","24","35","0.444444444","0.411764706","0.428571429","2.916666667","1.346153846","1.5","0.692307692","1.25","0.576923077","0.75","0.346153846","51.42857143","62.5","46.15384615","11.3960114","24.69135802","21.36752137","46.2962963","12.82051282","27.77777778","34.18803419","74.07407407"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00025","","","","26","20","1","3","7","20","20","13","15","4","5","10","5","5","3","5","1","1","1","0.03","9","19","28","0.307692308","0.333333333","0.321428571","1.4","1.076923077","0.65","0.5","0.45","0.346153846","0.5","0.384615385","46.42857143","47.36842105","76.92307692","5.698005698","7.407407407","12.82051282","16.66666667","14.24501425","18.51851852","27.06552707","35.18518519"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00026","","","","26","25","1","3","7","19","19","27","28","9.5","8","8.5","1","1","3","5","1","1","1","0.02","17.5","26","55","0.351851852","0.285714286","0.318181818","2.894736842","2.115384615","1.421052632","1.038461538","0.921052632","0.673076923","0.447368421","0.326923077","49.09090909","67.30769231","73.07692308","13.53276353","18.51851852","24.92877493","34.11306043","12.10826211","16.56920078","37.03703704","50.68226121"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00027","","","","26","16","1","1","5","8","8","16","32","5","9","4.5","3","3","3","5","3","1","1","0.03","14","18.5","48","0.3125","0.28125","0.291666667","6","1.846153846","2","0.615384615","1.75","0.538461538","0.5625","0.173076923","33.33333333","75.67567568","30.76923077","7.122507123","23.14814815","19.94301994","64.81481481","6.41025641","20.83333333","26.35327635","85.64814815"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00028","","","","26","15","1","1","7","14","14","18","26","4.9","7.9","5.5","3","5","3","5","3","3","1","0.02","12.8","18.3","44","0.272222222","0.303846154","0.290909091","3.142857143","1.692307692","1.285714286","0.692307692","0.914285714","0.492307692","0.392857143","0.211538462","40.90909091","69.94535519","53.84615385","6.98005698","12.96296296","18.23361823","33.86243386","7.834757835","14.55026455","26.06837607","48.41269841"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00029","","","","26","12","1","1","3","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.61538462","","","","","","","",""
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00030","","","","26","13","1","1","3","8","8","0","18","0","5.5","5","5","7","7","5","3","1","3","0.69","5.5","10.5","18","","0.305555556","0.305555556","2.25","0.692307692","0","0","0.6875","0.211538462","0.625","0.192307692","0","52.38095238","30.76923077","0","0","7.834757835","25.46296296","7.122507123","23.14814815","14.95726496","48.61111111"
"","","MZP2013GUR-AT01","","","","","","","","","MZP2013GUR-AT01-00031","","","","26","10","1","1","5","7","7","15","23","4.5","5.6","4.5","5","5","3","1","3","5","3","6.12","10.1","14.6","38","0.3","0.243478261","0.265789474","5.428571429","1.461538462","2.142857143","0.576923077","1.442857143","0.388461538","0.642857143","0.173076923","39.47368421","69.17808219","26.92307692","6.41025641","23.80952381","14.38746439","53.43915344","6.41025641","23.80952381","20.7977208","77.24867725"
