"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00011","","","","39","39","1","1","9","24","2","4","2","1.9","1","47","3","3","1","18.3","1","1","3","3","3.22","1.62","0.87","93.06","59.41","3.02","4.17","13.91","2.9","49.9","6","0.475","0.5","0.483333333","0.25","0.153846154","0.166666667","0.102564103","0.120833333","0.074358974","1.958333333","1.205128205","66.66666667","5.811623246","61.53846154","1.804368471","2.932098765","2.754036087","4.475308642","44.63437797","72.5308642","47.38841406","77.00617284"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00012","","","","39","32","5","5","7","20","5","9","53","1.9","5","16.8","5","7","5","11.7","1","5","5","3","2.54","1.77","0.99","42.61","41.01","7.66","10.8","20","6.9","23.7","62","0.211111111","0.094339623","0.111290323","3.1","1.58974359","0.45","0.230769231","0.345","0.176923077","0.84","0.430769231","14.51612903","29.11392405","51.28205128","1.804368471","3.518518519","6.552706553","12.77777778","15.95441595","31.11111111","22.50712251","43.88888889"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00013","","","","39","24","2","1","6","17","2","8","0","11","0","14","7","7","1","9.1","7","7","5","1","2.62","1.91","1.02","41.07","52.47","8.87","12.33","8.05","11","25","8","1.375","","1.375","0.470588235","0.205128205","0.470588235","0.205128205","0.647058824","0.282051282","0.823529412","0.358974359","100","44","43.58974359","10.44634378","23.96514161","10.44634378","23.96514161","13.29534663","30.50108932","23.74169041","54.46623094"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00014","","","","39","38","1","1","8","33","33","40","150","13.1","10","37.6","3","3","5","16.1","1","1","6","5","2.7","1.44","0.93","75.8","63.76","2.89","4.1","10.18","23.1","60.7","190","0.3275","0.066666667","0.121578947","5.757575758","4.871794872","1.212121212","1.025641026","0.7","0.592307692","1.139393939","0.964102564","21.05263158","38.05601318","84.61538462","12.44064577","14.70258137","21.93732194","25.92592593","35.70750237","42.19977553","57.64482431","68.12570146"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00015","","","","39","39","1","1","9","21","12","23","22","5.4","2","54.8","3","3","1","14.7","7","3","7","5","4.17","1.94","1.14","65.78","57.9","3.14","4.49","11.6","7.4","62.2","45","0.234782609","0.090909091","0.164444444","2.142857143","1.153846154","1.095238095","0.58974359","0.352380952","0.18974359","2.60952381","1.405128205","51.11111111","11.89710611","53.84615385","5.128205128","9.523809524","7.027540361","13.05114638","52.04178538","96.64902998","59.06932574","109.7001764"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00016","","","","39","39","1","1","9","30","10","20","26","3.8","3.1","43.2","5","7","5","18.6","7","3","9","5","3.21","1.66","1.01","59.31","70.99","1.59","2.67","6.22","6.9","50.1","46","0.19","0.119230769","0.15","1.533333333","1.179487179","0.666666667","0.512820513","0.23","0.176923077","1.44","1.107692308","43.47826087","13.77245509","76.92307692","3.608736942","4.691358025","6.552706553","8.518518519","41.02564103","53.33333333","47.57834758","61.85185185"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00017","","","","39","39","1","1","8","19","10","17","16","4","1","42","5","1","3","","7","5","5","3","","","","","","","","","5","47","33","0.235294118","0.0625","0.151515152","1.736842105","0.846153846","0.894736842","0.435897436","0.263157895","0.128205128","2.210526316","1.076923077","51.51515152","10.63829787","48.71794872","3.798670465","7.797270955","4.748338082","9.746588694","39.88603989","81.87134503","44.63437797","91.61793372"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00018","","","","39","39","1","1","6","22","20","22","20","3.4","3","15","3","5","3","13.1","1","7","5","3","4.09","1.94","1.17","37.22","57.02","3.64","5.39","11.94","6.4","21.4","42","0.154545455","0.15","0.152380952","1.909090909","1.076923077","1","0.564102564","0.290909091","0.164102564","0.681818182","0.384615385","52.38095238","29.90654206","56.41025641","3.228869896","5.723905724","6.077872745","10.77441077","14.24501425","25.25252525","20.32288699","36.02693603"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00019","","","","39","39","1","1","8","19","7","0","14","0","1","37","7","7","3","17.7","5","1","3","7","4.57","2.08","1.21","97.32","56.72","2.68","4.26","16.9","1","38","14","","0.071428571","0.071428571","0.736842105","0.358974359","0","0","0.052631579","0.025641026","1.947368421","0.948717949","0","2.631578947","48.71794872","0","0","0.949667616","1.949317739","35.1377018","72.12475634","36.08736942","74.07407407"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00020","","","","39","32","1","1","7","26","20","17","76","2.6","4","24","3","5","3","","1","5","1","3","","","","","","","","","6.6","30.6","93","0.152941176","0.052631579","0.070967742","3.576923077","2.384615385","0.653846154","0.435897436","0.253846154","0.169230769","0.923076923","0.615384615","18.27956989","21.56862745","66.66666667","2.469135802","3.703703704","6.267806268","9.401709402","22.79202279","34.18803419","29.05982906","43.58974359"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00021","","","","39","28","1","1","6","22","10","4","12","2","2","10.4","3","5","5","14.7","3","7","5","1","2.82","1.49","0.95","14.04","62.27","4.8","7.28","5.43","4","14.4","16","0.5","0.166666667","0.25","0.727272727","0.41025641","0.181818182","0.102564103","0.181818182","0.102564103","0.472727273","0.266666667","25","27.77777778","56.41025641","1.899335233","3.367003367","3.798670465","6.734006734","9.87654321","17.50841751","13.67521368","24.24242424"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00022","","","","39","39","1","1","8","30","4","0","5","0","1","47","3","3","3","16.1","5","1","3","5","3.48","2.14","1.15","107.74","53.85","3.21","4.23","17.76","1","48","5","","0.2","0.2","0.166666667","0.128205128","0","0","0.033333333","0.025641026","1.566666667","1.205128205","0","2.083333333","76.92307692","0","0","0.949667616","1.234567901","44.63437797","58.02469136","45.58404558","59.25925926"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00023","","","","39","36","1","1","9","25","8","20","24","3","2","37","3","3","3","18.2","1","7","7","1","2.54","1.55","1.02","48.33","68.11","2.94","4.5","5.83","5","42","44","0.15","0.083333333","0.113636364","1.76","1.128205128","0.8","0.512820513","0.2","0.128205128","1.48","0.948717949","45.45454545","11.9047619","64.1025641","2.849002849","4.444444444","4.748338082","7.407407407","35.1377018","54.81481481","39.88603989","62.22222222"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00024","","","","39","38","1","1","7","22","14","19","22","3","3","43.4","5","5","5","17.1","1","5","3","3","2.62","1.58","0.95","153.05","58.2","3.63","5","11.27","6","49.4","41","0.157894737","0.136363636","0.146341463","1.863636364","1.051282051","0.863636364","0.487179487","0.272727273","0.153846154","1.972727273","1.112820513","46.34146341","12.14574899","56.41025641","2.849002849","5.050505051","5.698005698","10.1010101","41.21557455","73.06397306","46.91358025","83.16498316"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00025","","","","39","38","1","1","8","30","10","10","16","2","0.8","37","3","5","3","14.8","1","5","5","3","4.29","2.59","1.6","58.18","30.6","5.03","7.83","33.78","2.8","39.8","26","0.2","0.05","0.107692308","0.866666667","0.666666667","0.333333333","0.256410256","0.093333333","0.071794872","1.233333333","0.948717949","38.46153846","7.035175879","76.92307692","1.899335233","2.469135802","2.659069326","3.456790123","35.1377018","45.67901235","37.79677113","49.13580247"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00026","","","","39","34","1","1","7","32","2","0","6","0","0.6","47","7","5","1","9.9","5","3","7","3","2.94","2.05","1.07","140.66","56.49","4.13","6.08","13.66","0.6","47.6","6","","0.1","0.1","0.1875","0.153846154","0","0","0.01875","0.015384615","1.46875","1.205128205","0","1.260504202","82.05128205","0","0","0.56980057","0.694444444","44.63437797","54.39814815","45.20417854","55.09259259"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00027","","","","39","39","1","1","6","32","30","14","188","3.2","13","19","3","5","3","","7","5","5","3","","","","","","","","","16.2","35.2","202","0.228571429","0.069148936","0.08019802","6.3125","5.179487179","0.4375","0.358974359","0.50625","0.415384615","0.59375","0.487179487","6.930693069","46.02272727","82.05128205","3.038936372","3.703703704","15.38461538","18.75","18.04368471","21.99074074","33.42830009","40.74074074"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00028","","","","39","39","2","1","7","27","22","12","59","3","12.9","38","6","7","7","15.4","5","7","5","3","1.57","1.41","0.84","15.26","60.32","6.81","9.47","3.99","15.9","53.9","71","0.25","0.218644068","0.223943662","2.62962963","1.820512821","0.444444444","0.307692308","0.588888889","0.407692308","1.407407407","0.974358974","16.90140845","29.49907236","69.23076923","2.849002849","4.115226337","15.0997151","21.81069959","36.08736942","52.12620027","51.18708452","73.93689986"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00029","","","","39","38","1","1","9","25","20","23","60","3.2","4.4","38","3","5","3","","7","5","7","3","","","","","","","","","7.6","45.6","83","0.139130435","0.073333333","0.091566265","3.32","2.128205128","0.92","0.58974359","0.304","0.194871795","1.52","0.974358974","27.71084337","16.66666667","64.1025641","3.038936372","4.740740741","7.217473884","11.25925926","36.08736942","56.2962963","43.3048433","67.55555556"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00030","","","","39","36","1","1","8","20","16","22","60","5","5","34.2","3","5","7","17.7","7","7","7","3","2.49","1.37","0.77","102.32","66.76","3.4","4.53","9.6","10","44.2","82","0.227272727","0.083333333","0.12195122","4.1","2.102564103","1.1","0.564102564","0.5","0.256410256","1.71","0.876923077","26.82926829","22.62443439","51.28205128","4.748338082","9.259259259","9.496676163","18.51851852","32.47863248","63.33333333","41.97530864","81.85185185"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00031","","","","39","21","1","1","6","21","7","7","22","1","1","26.4","6","5","2","19","1","3","5","5","2.29","1.38","0.88","48.23","70.67","2.45","3.88","6.29","2","28.4","29","0.142857143","0.045454545","0.068965517","1.380952381","0.743589744","0.333333333","0.179487179","0.095238095","0.051282051","1.257142857","0.676923077","24.13793103","7.042253521","53.84615385","0.949667616","1.76366843","1.899335233","3.527336861","25.07122507","46.56084656","26.9705603","50.08818342"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00032","","","","39","38","1","1","7","25","5","0","21","0","1","38","7","9","2","","5","3","5","3","","","","","","","","","1","39","21","","0.047619048","0.047619048","0.84","0.538461538","0","0","0.04","0.025641026","1.52","0.974358974","0","2.564102564","64.1025641","0","0","0.949667616","1.481481481","36.08736942","56.2962963","37.03703704","57.77777778"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00033","","","","39","12","1","1","6","12","8","9","34","3.1","3","27","3","3","3","15.6","7","5","7","3","2.55","1.58","1.05","79.73","59.62","3.33","4.44","13.18","6.1","33.1","43","0.344444444","0.088235294","0.141860465","3.583333333","1.102564103","0.75","0.230769231","0.508333333","0.156410256","2.25","0.692307692","20.93023256","18.42900302","30.76923077","2.943969611","9.567901235","5.79297246","18.82716049","25.64102564","83.33333333","31.4339981","102.1604938"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00034","","","","39","39","1","1","8","15","15","12","22","3","2.9","43","3","3","5","16.4","5","3","5","3","2.52","1.35","0.71","102.37","69.24","2.89","4","8.59","5.9","48.9","34","0.25","0.131818182","0.173529412","2.266666667","0.871794872","0.8","0.307692308","0.393333333","0.151282051","2.866666667","1.102564103","35.29411765","12.06543967","38.46153846","2.849002849","7.407407407","5.603038936","14.56790123","40.8357075","106.1728395","46.43874644","120.7407407"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00035","","","","39","39","1","1","7","24","17","12","38","3","2","39","6","5","5","","3","1","3","7","","","","","","","","","5","44","50","0.25","0.052631579","0.1","2.083333333","1.282051282","0.5","0.307692308","0.208333333","0.128205128","1.625","1","24","11.36363636","61.53846154","2.849002849","4.62962963","4.748338082","7.716049383","37.03703704","60.18518519","41.78537512","67.90123457"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00036","","","","39","37","1","1","7","24","16","6","14","1","0.9","63","3","2","2","14.4","3","1","3","6","4.48","2.29","1.18","137.55","53.71","5.04","7.02","12.08","1.9","64.9","20","0.166666667","0.064285714","0.095","0.833333333","0.512820513","0.25","0.153846154","0.079166667","0.048717949","2.625","1.615384615","30","2.927580894","61.53846154","0.949667616","1.543209877","1.804368471","2.932098765","59.82905983","97.22222222","61.6334283","100.154321"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00037","","","","39","37","1","1","6","26","20","34","109","4.9","6","25.2","3","3","2","10.3","3","1","5","9","2.08","1.45","0.85","40.58","51.46","9.61","13","6.83","10.9","36.1","143","0.144117647","0.055045872","0.076223776","5.5","3.666666667","1.307692308","0.871794872","0.419230769","0.279487179","0.969230769","0.646153846","23.77622378","30.19390582","66.66666667","4.65337132","6.98005698","10.35137702","15.52706553","23.93162393","35.8974359","34.28300095","51.42450142"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00038","","","","39","39","1","1","8","22","1","0","1","0","0.2","28","4","4","1","13.9","7","1","7","7","2.81","1.62","0.89","109.03","62.37","3.11","4.39","10.76","0.2","28.2","1","","0.2","0.2","0.045454545","0.025641026","0","0","0.009090909","0.005128205","1.272727273","0.717948718","0","0.709219858","56.41025641","0","0","0.189933523","0.336700337","26.59069326","47.13804714","26.78062678","47.47474747"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00039","","","","39","38","1","4","8","27","23","20","77","1.8","3","25.2","5","3","5","","7","1","5","5","","","","","","","","","4.8","30","97","0.09","0.038961039","0.049484536","3.592592593","2.487179487","0.740740741","0.512820513","0.177777778","0.123076923","0.933333333","0.646153846","20.6185567","16","69.23076923","1.709401709","2.469135802","4.558404558","6.58436214","23.93162393","34.56790123","28.49002849","41.15226337"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00040","","","","39","38","1","1","7","25","23","13","52","2.9","11","24.2","3","5","7","19.3","4","1","5","5","2.75","1.37","0.72","89.51","68.52","2.76","4.01","10.86","13.9","38.1","65","0.223076923","0.211538462","0.213846154","2.6","1.666666667","0.52","0.333333333","0.556","0.356410256","0.968","0.620512821","20","36.48293963","64.1025641","2.754036087","4.296296296","13.20037987","20.59259259","22.98195632","35.85185185","36.18233618","56.44444444"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00041","","","","39","39","1","1","8","27","5","7","11","1.2","1","39","6","6","3","","7","1","7","6","","","","","","","","","2.2","41.2","18","0.171428571","0.090909091","0.122222222","0.666666667","0.461538462","0.259259259","0.179487179","0.081481481","0.056410256","1.444444444","1","38.88888889","5.339805825","69.23076923","1.13960114","1.646090535","2.089268756","3.017832647","37.03703704","53.49794239","39.12630579","56.51577503"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00042","","","","39","39","1","1","9","37","30","18","43","2.6","2.4","30","4","3","1","18.3","5","3","7","3","3.14","1.52","1.09","100.79","67.83","2.08","3.25","5.31","5","35","61","0.144444444","0.055813953","0.081967213","1.648648649","1.564102564","0.486486486","0.461538462","0.135135135","0.128205128","0.810810811","0.769230769","29.50819672","14.28571429","94.87179487","2.469135802","2.602602603","4.748338082","5.005005005","28.49002849","30.03003003","33.23836657","35.03503504"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00043","","","","39","32","2","1","7","27","23","13","30","1.9","3","8","5","4","1","20.6","5","1","7","3","3.71","1.54","0.97","28.22","68.25","1.93","3.24","8.69","4.9","12.9","43","0.146153846","0.1","0.113953488","1.592592593","1.102564103","0.481481481","0.333333333","0.181481481","0.125641026","0.296296296","0.205128205","30.23255814","37.98449612","69.23076923","1.804368471","2.606310014","4.65337132","6.721536351","7.597340931","10.9739369","12.25071225","17.69547325"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00044","","","","39","39","1","1","9","32","32","50","176","7.2","8","28","5","3","3","20.1","6","1","7","4","2.56","1.25","0.93","95.45","70.05","1.7","2.67","5.02","15.2","43.2","226","0.144","0.045454545","0.067256637","7.0625","5.794871795","1.5625","1.282051282","0.475","0.38974359","0.875","0.717948718","22.12389381","35.18518519","82.05128205","6.837606838","8.333333333","14.43494777","17.59259259","26.59069326","32.40740741","41.02564103","50"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00045","","","","39","39","1","1","8","20","1","3","0","0.6","0","8.3","6","6","5","","","","","","","","","","","","","","0.6","8.9","3","0.2","","0.2","0.15","0.076923077","0.15","0.076923077","0.03","0.015384615","0.415","0.212820513","100","6.741573034","51.28205128","0.56980057","1.111111111","0.56980057","1.111111111","7.882241216","15.37037037","8.452041785","16.48148148"
