"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_non_irrigation"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00016","","","","90","60","48","24","42","20.4","9.2","40.2","3","5","29.6","69.8","66","0.85","0.219047619","0.448484848","1.1","0.733333333","0.4","0.266666667","0.493333333","0.328888889","0.67","0.446666667","36.36363636","42.40687679","66.66666667","8.395061728","12.59259259","12.18106996","18.27160494","16.54320988","24.81481481","28.72427984","43.08641975","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00045","","","","90","60","50","45","68","14.6","12.3","40.3","3","3","26.9","67.2","113","0.324444444","0.180882353","0.238053097","1.883333333","1.255555556","0.75","0.5","0.448333333","0.298888889","0.671666667","0.447777778","39.82300885","40.0297619","66.66666667","6.008230453","9.012345679","11.06995885","16.60493827","16.58436214","24.87654321","27.65432099","41.48148148","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00017","","","","90","70","70","30","60","22.1","11.5","40.2","1","5","33.6","73.8","90","0.736666667","0.191666667","0.373333333","1.285714286","1","0.428571429","0.333333333","0.48","0.373333333","0.574285714","0.446666667","33.33333333","45.52845528","77.77777778","9.094650206","11.69312169","13.82716049","17.77777778","16.54320988","21.26984127","30.37037037","39.04761905","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00050","","","","90","70","69","50","74","13.2","14.6","54.2","1","3","27.8","82","124","0.264","0.197297297","0.224193548","1.771428571","1.377777778","0.714285714","0.555555556","0.397142857","0.308888889","0.774285714","0.602222222","40.32258065","33.90243902","77.77777778","5.432098765","6.984126984","11.44032922","14.70899471","22.30452675","28.67724868","33.74485597","43.38624339","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00009","","","","90","30","30","30","60","18.7","9.2","27.8","5","5","27.9","55.7","90","0.623333333","0.153333333","0.31","3","1","1","0.333333333","0.93","0.31","0.926666667","0.308888889","33.33333333","50.08976661","33.33333333","7.695473251","23.08641975","11.48148148","34.44444444","11.44032922","34.32098765","22.9218107","68.7654321","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00044","","","","90","25","20","23","36","12.3","7.6","30.1","3","5","19.9","50","59","0.534782609","0.211111111","0.337288136","2.36","0.655555556","0.92","0.255555556","0.796","0.221111111","1.204","0.334444444","38.98305085","39.8","27.77777778","5.061728395","18.22222222","8.189300412","29.48148148","12.38683128","44.59259259","20.57613169","74.07407407","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00018","","","","90","49","48","35","60","22.3","12.4","36.5","3","1","34.7","71.2","95","0.637142857","0.206666667","0.365263158","1.93877551","1.055555556","0.714285714","0.388888889","0.708163265","0.385555556","0.744897959","0.405555556","36.84210526","48.73595506","54.44444444","9.176954733","16.85563114","14.27983539","26.22826909","15.02057613","27.5888133","29.30041152","53.81708239","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00051","","","","90","40","40","54","70","20.1","17.2","47.5","3","3","37.3","84.8","124","0.372222222","0.245714286","0.300806452","3.1","1.377777778","1.35","0.6","0.9325","0.414444444","1.1875","0.527777778","43.5483871","43.98584906","44.44444444","8.271604938","18.61111111","15.34979424","34.53703704","19.5473251","43.98148148","34.89711934","78.51851852","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00019","","","","90","80","65","30","80","32.5","11.3","50.2","1","3","43.8","94","110","1.083333333","0.14125","0.398181818","1.375","1.222222222","0.375","0.333333333","0.5475","0.486666667","0.6275","0.557777778","27.27272727","46.59574468","88.88888889","13.3744856","15.0462963","18.02469136","20.27777778","20.65843621","23.24074074","38.68312757","43.51851852","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00056","","","","90","50","48","65","49","18.6","15.3","46.2","1","3","33.9","80.1","114","0.286153846","0.312244898","0.297368421","2.28","1.266666667","1.3","0.722222222","0.678","0.376666667","0.924","0.513333333","57.01754386","42.32209738","55.55555556","7.654320988","13.77777778","13.95061728","25.11111111","19.01234568","34.22222222","32.96296296","59.33333333","1"
