"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00048","","","","90","81","80","62","125","19.9","14.5","42.5","5","3","34.4","76.9","187","0.320967742","0.116","0.183957219","2.308641975","2.077777778","0.765432099","0.688888889","0.424691358","0.382222222","0.524691358","0.472222222","33.15508021","44.73342003","90","8.189300412","9.099222679","14.1563786","15.72930956","17.48971193","19.43301326","31.64609053","35.16232282"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00014","","","","90","85","84","55","80","13.9","15.5","45.5","5","5","29.4","74.9","135","0.252727273","0.19375","0.217777778","1.588235294","1.5","0.647058824","0.611111111","0.345882353","0.326666667","0.535294118","0.505555556","40.74074074","39.25233645","94.44444444","5.720164609","6.05664488","12.09876543","12.81045752","18.72427984","19.82570806","30.82304527","32.63616558"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00049","","","","90","80","78","51","79","14","13","45.5","5","5","27","72.5","130","0.274509804","0.164556962","0.207692308","1.625","1.444444444","0.6375","0.566666667","0.3375","0.3","0.56875","0.505555556","39.23076923","37.24137931","88.88888889","5.761316872","6.481481481","11.11111111","12.5","18.72427984","21.06481481","29.83539095","33.56481481"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00030","","","","90","70","60","39","70","12","10.1","39.5","9","9","22.1","61.6","109","0.307692308","0.144285714","0.202752294","1.557142857","1.211111111","0.557142857","0.433333333","0.315714286","0.245555556","0.564285714","0.438888889","35.77981651","35.87662338","77.77777778","4.938271605","6.349206349","9.094650206","11.69312169","16.25514403","20.8994709","25.34979424","32.59259259"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00038","","","","90","81","77","52","88","15","13.5","49.5","5","5","28.5","78","140","0.288461538","0.153409091","0.203571429","1.728395062","1.555555556","0.641975309","0.577777778","0.351851852","0.316666667","0.611111111","0.55","37.14285714","36.53846154","90","6.172839506","6.858710562","11.72839506","13.03155007","20.37037037","22.63374486","32.09876543","35.66529492"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00021","","","","90","87","85","78","112","20.5","16.7","29.5","7","3","37.2","66.7","190","0.262820513","0.149107143","0.195789474","2.183908046","2.111111111","0.896551724","0.866666667","0.427586207","0.413333333","0.33908046","0.327777778","41.05263158","55.77211394","96.66666667","8.436213992","8.727117923","15.30864198","15.83652618","12.1399177","12.55853555","27.44855967","28.39506173"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00065","","","","90","90","90","80","159","30.5","15.9","75.1","5","1","46.4","121.5","239","0.38125","0.1","0.194142259","2.655555556","2.655555556","0.888888889","0.888888889","0.515555556","0.515555556","0.834444444","0.834444444","33.47280335","38.18930041","100","12.55144033","12.55144033","19.09465021","19.09465021","30.90534979","30.90534979","50","50"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00008","","","","90","81","79","62","89","15.7","13.8","60.2","7","3","29.5","89.7","151","0.253225806","0.15505618","0.195364238","1.864197531","1.677777778","0.765432099","0.688888889","0.364197531","0.327777778","0.743209877","0.668888889","41.05960265","32.88740245","90","6.46090535","7.178783722","12.1399177","13.48879744","24.77366255","27.52629172","36.91358025","41.01508916"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00054","","","","90","90","90","57","101","16.7","13.9","69.5","5","5","30.6","100.1","158","0.292982456","0.137623762","0.193670886","1.755555556","1.755555556","0.633333333","0.633333333","0.34","0.34","0.772222222","0.772222222","36.07594937","30.56943057","100","6.872427984","6.872427984","12.59259259","12.59259259","28.60082305","28.60082305","41.19341564","41.19341564"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00009","","","","90","87","77","49","102","14.5","14.9","42.7","5","5","29.4","72.1","151","0.295918367","0.146078431","0.194701987","1.735632184","1.677777778","0.563218391","0.544444444","0.337931034","0.326666667","0.490804598","0.474444444","32.45033113","40.77669903","96.66666667","5.967078189","6.172839506","12.09876543","12.51596424","17.57201646","18.17794806","29.67078189","30.6939123"
