"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00477","","","","12","3","3","3","10","0","5.2","0","5.6","1","1","3","5.2","10.8","10","0.52","","0.52","3.333333333","3.333333333","1.733333333","1.866666667","100","48.14814815","16.04938272","16.04938272","17.28395062","33.33333333","0.833333333","0.833333333","0.433333333","0.466666667","25","64.19753086","64.19753086","69.13580247","133.3333333"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00478","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00479","","","","12","2","2","1","4","0","2.3","0","2.18","3","3","3","2.3","4.48","4","0.575","","0.575","2","2","1.15","1.09","100","51.33928571","7.098765432","7.098765432","6.728395062","13.82716049","0.333333333","0.333333333","0.191666667","0.181666667","16.66666667","42.59259259","42.59259259","40.37037037","82.96296296"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00480","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00481","","","","12","4","4","2","11","2","5.5","0.1","3.72","3","3","1","5.6","9.32","13","0.5","0.05","0.430769231","3.25","2.75","1.4","0.93","84.61538462","60.08583691","16.97530864","17.28395062","11.48148148","28.7654321","1.083333333","0.916666667","0.466666667","0.31","33.33333333","50.92592593","51.85185185","34.44444444","86.2962963"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00482","","","","12","2","2","2","7","9","0.8","0.3","5.14","1","5","1","1.1","6.24","16","0.114285714","0.033333333","0.06875","8","3.5","0.55","2.57","43.75","17.62820513","2.469135802","3.395061728","15.86419753","19.25925926","1.333333333","0.583333333","0.091666667","0.428333333","16.66666667","14.81481481","20.37037037","95.18518519","115.5555556"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00483","","","","12","3","3","2","8","2","2.7","0.1","1.6","1","1","3","2.8","4.4","10","0.3375","0.05","0.28","3.333333333","2.666666667","0.933333333","0.533333333","80","63.63636364","8.333333333","8.641975309","4.938271605","13.58024691","0.833333333","0.666666667","0.233333333","0.133333333","25","33.33333333","34.56790123","19.75308642","54.32098765"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00484","","","","12","3","3","3","14","9","3.3","0.8","2.5","5","1","1","4.1","6.6","23","0.235714286","0.088888889","0.17826087","7.666666667","4.666666667","1.366666667","0.833333333","60.86956522","62.12121212","10.18518519","12.65432099","7.716049383","20.37037037","1.916666667","1.166666667","0.341666667","0.208333333","25","40.74074074","50.61728395","30.86419753","81.48148148"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00485","","","","12","3","3","3","10","0","3.6","0","4.3","3","3","1","3.6","7.9","10","0.36","","0.36","3.333333333","3.333333333","1.2","1.433333333","100","45.56962025","11.11111111","11.11111111","13.27160494","24.38271605","0.833333333","0.833333333","0.3","0.358333333","25","44.44444444","44.44444444","53.08641975","97.5308642"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00486","","","","12","4","4","3","12","5","3.2","0.2","7.66","1","1","1","3.4","11.06","17","0.266666667","0.04","0.2","4.25","3","0.85","1.915","70.58823529","30.74141049","9.87654321","10.49382716","23.64197531","34.13580247","1.416666667","1","0.283333333","0.638333333","33.33333333","29.62962963","31.48148148","70.92592593","102.4074074"
