"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of total carotenoids in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000290"," Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00045","","","","26","10","3","5","4","6","6","11","9","4.5","2","29","3","3","2","","","1","7","7","1","","","","","4.41","","","","","6.5","35.5","20","0.409090909","0.222222222","0.325","3.333333333","0.769230769","1.833333333","0.423076923","1.083333333","0.25","4.833333333","1.115384615","55","18.30985915","23.07692308","","","6.41025641","27.77777778","9.259259259","40.12345679","41.31054131","179.0123457","","","50.56980057","219.1358025"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00046","","","","26","5","1","1","3","3","3","6","4","2","1.5","5.5","2","4","1","50.2","14.7","1","7","7","3","3.81","1.8","1.24","31.6635761","6.12","58.16","4.54","6.78","8.93","3.5","9","10","0.333333333","0.375","0.35","3.333333333","0.384615385","2","0.230769231","1.166666667","0.134615385","1.833333333","0.211538462","60","38.88888889","11.53846154","29.28286853","1.024900398","2.849002849","24.69135802","4.985754986","43.20987654","7.834757835","67.90123457","1.459972078","12.65309134","12.82051282","111.1111111"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00047","","","","26","19","1","1","5","9","9","11","25","2.5","2.5","17.8","3","3","1","","","3","7","9","1","","","","","14.37","","","","","5","22.8","36","0.227272727","0.1","0.138888889","4","1.384615385","1.222222222","0.423076923","0.555555556","0.192307692","1.977777778","0.684615385","30.55555556","21.92982456","34.61538462","","","3.561253561","10.28806584","7.122507123","20.57613169","25.35612536","73.25102881","","","32.47863248","93.82716049"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00048","","","","26","2","1","1","2","1","1","6","0","3","0","0.5","4","4","1","29.2","6.8","1","7","5","3","4.58","1.82","1.09","32.6700211","14.37","49.77","6.39","9.18","16.01","3","3.5","6","0.5","","0.5","6","0.230769231","6","0.230769231","3","0.115384615","0.5","0.019230769","100","85.71428571","3.846153846","23.28767123","0.698630137","4.273504274","111.1111111","4.273504274","111.1111111","0.712250712","18.51851852","0.995199625","25.87519026","4.985754986","129.6296296"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00049","","","","26","9","1","1","3","3","2","3","0","1.8","0","7","4","4","1","50.1","15.2","3","5","5","5","3.54","1.66","1.04","35.1215668","10.5","62.48","3.44","5.36","10.26","1.8","8.8","3","0.6","","0.6","1","0.115384615","1","0.115384615","0.6","0.069230769","2.333333333","0.269230769","100","20.45454545","11.53846154","30.33932136","0.546107784","2.564102564","22.22222222","2.564102564","22.22222222","9.971509972","86.41975309","0.777931317","6.742071413","12.53561254","108.6419753"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00050","","","","26","22","1","3","6","14","14","40","40","6","3.5","9.8","4","3","1","50.7","13","1","7","7","3","3.29","1.49","0.98","22.3577423","14.37","61.8","4.04","5.71","9.72","9.5","19.3","80","0.15","0.0875","0.11875","5.714285714","3.076923077","2.857142857","1.538461538","0.678571429","0.365384615","0.7","0.376923077","50","49.22279793","53.84615385","25.64102564","2.435897436","8.547008547","15.87301587","13.53276353","25.13227513","13.96011396","25.92592593","3.469939367","6.444173111","27.49287749","51.05820106"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00051","","","","26","6","1","1","3","4","4","10","11","5","2.5","4.5","3","3","1","50.7","11.9","1","5","5","3","3.64","1.66","1.23","27.0830517","6.12","53.98","5.94","8.83","11.55","7.5","12","21","0.5","0.227272727","0.357142857","5.25","0.807692308","2.5","0.384615385","1.875","0.288461538","1.125","0.173076923","47.61904762","62.5","15.38461538","23.47140039","1.76035503","7.122507123","46.2962963","10.68376068","69.44444444","6.41025641","41.66666667","2.507628247","16.29958361","17.09401709","111.1111111"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00052","","","","26","6","1","1","2","3","3","7","0","2.8","0","25","2","2","1","50.4","11.5","3","7","5","3","4.04","2.06","1.27","41.9902534","14.37","48.06","4.78","6.78","18.42","2.8","27.8","7","0.4","","0.4","2.333333333","0.269230769","2.333333333","0.269230769","0.933333333","0.107692308","8.333333333","0.961538462","100","10.07194245","11.53846154","22.81746032","0.638888889","3.988603989","34.56790123","3.988603989","34.56790123","35.61253561","308.6419753","0.910098132","7.887517147","39.6011396","343.2098765"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00053","","","","26","23","3","3","8","12","12","29","16","7.5","2","2.5","5","5","1","50.6","14.1","1","7","5","3","4.76","1.99","1.15","41.1021881","12.39","53.17","4.61","7","14.78","9.5","12","45","0.25862069","0.125","0.211111111","3.75","1.730769231","2.416666667","1.115384615","0.791666667","0.365384615","0.208333333","0.096153846","64.44444444","79.16666667","46.15384615","27.86561265","2.647233202","10.68376068","23.14814815","13.53276353","29.32098765","3.561253561","7.716049383","3.770987467","8.170472844","17.09401709","37.03703704"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00054","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
