"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root dry matter content computing percent|CO_331:0000297","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_non_irrigation"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00014","","","","90","62","48","23","42","20.4","9.2","38.5","3","5","","","","","","29.6","68.1","65","0.886956522","0.219047619","0.455384615","1.048387097","0.722222222","0.370967742","0.255555556","0.477419355","0.328888889","0.620967742","0.427777778","35.38461538","43.46549192","68.88888889","","8.395061728","12.18637993","12.18106996","17.68219833","15.8436214","22.99880526","","","28.02469136","40.68100358","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00035","","","","90","50","49","45","68","14.6","12.3","50.2","3","3","32.26","2.16","62.32","1.21","32.19","26.9","77.1","113","0.324444444","0.180882353","0.238053097","2.26","1.255555556","0.9","0.5","0.538","0.298888889","1.004","0.557777778","39.82300885","34.88975357","55.55555556","8.67794","6.008230453","10.81481481","11.06995885","19.92592593","20.65843621","37.18518519","3.571168724","6.428103704","31.72839506","57.11111111","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00021","","","","90","70","70","30","55","22.1","11.5","40.2","1","5","41.56","2.03","70.4","1.25","4.65","33.6","73.8","85","0.736666667","0.209090909","0.395294118","1.214285714","0.944444444","0.428571429","0.333333333","0.48","0.373333333","0.574285714","0.446666667","35.29411765","45.52845528","77.77777778","13.96416","9.094650206","11.69312169","13.82716049","17.77777778","16.54320988","21.26984127","5.746567901","7.388444444","30.37037037","39.04761905","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00036","","","","90","70","69","50","74","13.2","16.4","54.2","1","3","39.8","2.06","67.65","1.32","1.19","29.6","83.8","124","0.264","0.221621622","0.238709677","1.771428571","1.377777778","0.714285714","0.555555556","0.422857143","0.328888889","0.774285714","0.602222222","40.32258065","35.3221957","77.77777778","11.7808","5.432098765","6.984126984","12.18106996","15.66137566","22.30452675","28.67724868","4.848065844","6.233227513","34.48559671","44.33862434","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00025","","","","90","30","30","29","60","18.7","9","27.8","5","5","","","","","","27.7","55.5","89","0.644827586","0.15","0.311235955","2.966666667","0.988888889","0.966666667","0.322222222","0.923333333","0.307777778","0.926666667","0.308888889","32.58426966","49.90990991","33.33333333","","7.695473251","23.08641975","11.39917695","34.19753086","11.44032922","34.32098765","","","22.83950617","68.51851852","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00040","","","","90","20","20","23","36","12.3","7.6","30.1","3","1","","","","","","19.9","50","59","0.534782609","0.211111111","0.337288136","2.95","0.655555556","1.15","0.255555556","0.995","0.221111111","1.505","0.334444444","38.98305085","39.8","22.22222222","","5.061728395","22.77777778","8.189300412","36.85185185","12.38683128","55.74074074","","","20.57613169","92.59259259","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00019","","","","90","50","48","35","60","24.5","12.4","30.2","3","1","35.66","1.89","65.26","1.13","27.86","36.9","67.1","95","0.7","0.206666667","0.388421053","1.9","1.055555556","0.7","0.388888889","0.738","0.41","0.604","0.335555556","36.84210526","54.99254844","55.55555556","13.15854","10.08230453","18.14814815","15.18518519","27.33333333","12.42798354","22.37037037","5.415037037","9.747066667","27.61316872","49.7037037","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00059","","","","90","40","40","54","64","20.1","18.3","47.5","3","3","39.73","2.01","65.96","1.12","18.71","38.4","85.9","118","0.372222222","0.2859375","0.325423729","2.95","1.311111111","1.35","0.6","0.96","0.426666667","1.1875","0.527777778","45.76271186","44.70314319","44.44444444","15.25632","8.271604938","18.61111111","15.80246914","35.55555556","19.5473251","43.98148148","6.278320988","14.12622222","35.34979424","79.53703704","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00030","","","","90","80","65","30","79","31.5","11.3","50.2","1","3","39.78","1.94","62.09","0.95","30.57","42.8","93","109","1.05","0.143037975","0.39266055","1.3625","1.211111111","0.375","0.333333333","0.535","0.475555556","0.6275","0.557777778","27.52293578","46.02150538","88.88888889","17.02584","12.96296296","14.58333333","17.61316872","19.81481481","20.65843621","23.24074074","7.006518519","7.882333333","38.27160494","43.05555556","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00053","","","","90","50","48","62","49","18.6","16","56.5","1","1","38.36","2","65.62","0.88","34.55","34.6","91.1","111","0.3","0.326530612","0.311711712","2.22","1.233333333","1.24","0.688888889","0.692","0.384444444","1.13","0.627777778","55.85585586","37.98024149","55.55555556","13.27256","7.654320988","13.77777778","14.23868313","25.62962963","23.25102881","41.85185185","5.461958848","9.831525926","37.48971193","67.48148148","1"
