"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00021","","","","26","16","1","1","7","10","8","16","22","5","2","16","1","3","7","3","3","3","5","0.15","38","0.3125","0.090909091","0.184210526","3.8","1.461538462","1.6","0.615384615","0.7","0.269230769","1.6","0.615384615","42.10526316","30.43478261","38.46153846","7.122507123","18.51851852","9.971509972","25.92592593","22.79202279","59.25925926","32.76353276","85.18518519","7","23"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00022","","","","26","21","1","1","8","14","14","38","23","16","6","27","7","1","1","1","3","7","5","0.12","61","0.421052632","0.260869565","0.360655738","4.357142857","2.346153846","2.714285714","1.461538462","1.571428571","0.846153846","1.928571429","1.038461538","62.29508197","44.89795918","53.84615385","22.79202279","42.32804233","31.33903134","58.2010582","38.46153846","71.42857143","69.8005698","129.6296296","22","49"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00023","","","","26","10","1","3","6","10","9","7","6","2","0.6","18","1","1","1","5","3","9","5","14.37","13","0.285714286","0.1","0.2","1.3","0.5","0.7","0.269230769","0.26","0.1","1.8","0.692307692","53.84615385","12.62135922","38.46153846","2.849002849","7.407407407","3.703703704","9.62962963","25.64102564","66.66666667","29.34472934","76.2962963","2.6","20.6"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00024","","","","26","24","2","1","7","15","13","22","24","4.8","2","26","1","1","1","7","1","7","3","14.37","46","0.218181818","0.083333333","0.147826087","3.066666667","1.769230769","1.466666667","0.846153846","0.453333333","0.261538462","1.733333333","1","47.82608696","20.73170732","57.69230769","6.837606838","11.85185185","9.686609687","16.79012346","37.03703704","64.19753086","46.72364672","80.98765432","6.8","32.8"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00025","","","","26","20","1","1","8","13","13","10","22","3.5","1.8","27","1","1","1","3","5","9","5","11.03","32","0.35","0.081818182","0.165625","2.461538462","1.230769231","0.769230769","0.384615385","0.407692308","0.203846154","2.076923077","1.038461538","31.25","16.40866873","50","4.985754986","9.971509972","7.54985755","15.0997151","38.46153846","76.92307692","46.01139601","92.02279202","5.3","32.3"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00026","","","","26","22","1","1","8","10","9","10","15","4.9","1.5","42","1","1","5","3","1","3","7","","25","0.49","0.1","0.256","2.5","0.961538462","1","0.384615385","0.64","0.246153846","4.2","1.615384615","40","13.2231405","38.46153846","6.98005698","18.14814815","9.116809117","23.7037037","59.82905983","155.5555556","68.94586895","179.2592593","6.4","48.4"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00027","","","","26","6","1","1","4","2","2","3","0","0.5","0","5.8","5","1","1","7","3","7","5","11.03","3","0.166666667","","0.166666667","1.5","0.115384615","1.5","0.115384615","0.25","0.019230769","2.9","0.223076923","100","7.936507937","7.692307692","0.712250712","9.259259259","0.712250712","9.259259259","8.262108262","107.4074074","8.974358974","116.6666667","0.5","6.3"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00028","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00029","","","","26","7","1","1","4","3","3","1","0","0.3","0","8","1","1","1","5","1","5","5","6.12","1","0.3","","0.3","0.333333333","0.038461538","0.333333333","0.038461538","0.1","0.011538462","2.666666667","0.307692308","100","3.614457831","11.53846154","0.427350427","3.703703704","0.427350427","3.703703704","11.3960114","98.7654321","11.82336182","102.4691358","0.3","8.3"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00030","","","","26","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
