"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Percentage of commercial storage root|CO_331:0000682"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00031","","","","36","35","27","18","69","28","13.4","1.2","13.2","1","3","3","14.6","27.8","0.194202899","0.150515464","3.592592593","2.694444444","2.555555556","1.916666667","0.540740741","0.405555556","0.488888889","0.366666667","52.51798561","75","13.78600823","18.38134431","15.02057613","20.02743484","13.58024691","18.10699588","28.60082305","38.13443073","97","0.042857143","71.13402062"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00032","","","","36","29","21","15","60","23","9.4","2.4","10.6","1","3","7","11.8","22.4","0.156666667","0.142168675","3.952380952","2.305555556","2.857142857","1.666666667","0.561904762","0.327777778","0.504761905","0.294444444","52.67857143","58.33333333","9.670781893","16.57848325","12.1399177","20.81128748","10.90534979","18.69488536","23.04526749","39.50617284","83","0.104347826","72.28915663"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00033","","","","36","31","23","19","68","70","3.2","1.2","15.8","1","3","5","4.4","20.2","0.047058824","0.031884058","6","3.833333333","2.956521739","1.888888889","0.191304348","0.122222222","0.686956522","0.438888889","21.78217822","63.88888889","3.29218107","5.152979066","4.526748971","7.085346216","16.25514403","25.44283414","20.781893","32.52818035","138","0.017142857","49.27536232"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00034","","","","36","28","20","13","22","38","6.2","0.6","12.4","1","5","7","6.8","19.2","0.281818182","0.113333333","3","1.666666667","1.1","0.611111111","0.34","0.188888889","0.62","0.344444444","35.41666667","55.55555556","6.378600823","11.48148148","6.995884774","12.59259259","12.75720165","22.96296296","19.75308642","35.55555556","60","0.015789474","36.66666667"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00035","","","","36","28","20","11","34","10","4.4","2","11.4","1","3","3","6.4","17.8","0.129411765","0.145454545","2.2","1.222222222","1.7","0.944444444","0.32","0.177777778","0.57","0.316666667","35.95505618","55.55555556","4.526748971","8.148148148","6.58436214","11.85185185","11.72839506","21.11111111","18.3127572","32.96296296","44","0.2","77.27272727"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00036","","","","36","33","25","14","25","47","2.4","2.2","11","1","5","7","4.6","15.6","0.096","0.063888889","2.88","2","1","0.694444444","0.184","0.127777778","0.44","0.305555556","29.48717949","69.44444444","2.469135802","3.555555556","4.732510288","6.814814815","11.31687243","16.2962963","16.04938272","23.11111111","72","0.046808511","34.72222222"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00037","","","","36","30","22","21","39","214","4.8","6.6","10","1","3","5","11.4","21.4","0.123076923","0.045059289","11.5","7.027777778","1.772727273","1.083333333","0.518181818","0.316666667","0.454545455","0.277777778","53.27102804","61.11111111","4.938271605","8.080808081","11.72839506","19.19191919","10.28806584","16.83501684","22.01646091","36.02693603","253","0.030841121","15.41501976"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00038","","","","36","30","22","15","14","39","3.8","1.8","18.2","1","3","7","5.6","23.8","0.271428571","0.105660377","2.409090909","1.472222222","0.636363636","0.388888889","0.254545455","0.155555556","0.827272727","0.505555556","23.52941176","61.11111111","3.909465021","6.397306397","5.761316872","9.427609428","18.72427984","30.63973064","24.48559671","40.06734007","53","0.046153846","26.41509434"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00039","","","","36","36","28","19","48","38","6.4","1.7","12","1","3","3","8.1","20.1","0.133333333","0.094186047","3.071428571","2.388888889","1.714285714","1.333333333","0.289285714","0.225","0.428571429","0.333333333","40.29850746","77.77777778","6.58436214","8.465608466","8.333333333","10.71428571","12.34567901","15.87301587","20.67901235","26.58730159","86","0.044736842","55.81395349"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00040","","","","36","30","22","15","16","31","2.8","1.4","8.3","3","3","5","4.2","12.5","0.175","0.089361702","2.136363636","1.305555556","0.727272727","0.444444444","0.190909091","0.116666667","0.377272727","0.230555556","33.6","61.11111111","2.880658436","4.713804714","4.320987654","7.070707071","8.53909465","13.97306397","12.8600823","21.04377104","47","0.04516129","34.04255319"
