"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fiber content in raw storage roots estimating 1-9|CO_331:0001038","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Total storage roots yield computation tons per ha|CO_331:0000296","Commercial storage root yield tons per ha|CO_331:0000809","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in kg per plot|CO_331:0000683","Harvest index computing percent|CO_331:0000302","Storage root dry matter content computing percent|CO_331:0000297","Survival index computing percent|CO_331:0000301","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00030","","","","39","39","1","1","9","20","29","15","20","41","3.6","30","4","4","4","26.91","14.37","4","2","4","4","33.6","31.90883191","3.418803419","18.99335233","53.6","62.68656716","26.91","74.35897436","61","0.18","0.731707317","0.550819672","2.103448276","1.564102564","0.689655172","0.512820513","1.15862069","0.861538462","0.689655172","0.512820513","32.78688525","9.04176","4.597701149","42.91187739","25.54278416","8.586666667","11.54758621","50.90218424","68.45466156"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00031","","","","39","39","1","1","9","19.5","28","21","90","38","17","11","4","5","3","","14.37","5","2","5","4","28","26.59069326","16.14434948","18.51851852","47.5","58.94736842","","71.79487179","128","0.188888889","0.289473684","0.21875","4.571428571","3.282051282","3.214285714","2.307692308","1","0.717948718","0.696428571","0.5","70.3125","","22.48677249","37.03703704","25.79365079","","","45.10921178","62.83068783"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00032","","","","39","39","1","1","9","24","25","17","72","56","18","5","4","4","4","","1.65","5","3","4","3","23","21.84235518","17.09401709","22.79202279","47","48.93617021","","64.1025641","128","0.25","0.089285714","0.1796875","5.12","3.282051282","2.88","1.846153846","0.92","0.58974359","0.96","0.615384615","56.25","","26.66666667","34.07407407","35.55555556","","","44.63437797","69.62962963"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00033","","","","39","39","1","1","9","33","36","27","36","41","11","4","4","4","3","","5.46","3","2","4","4","15","14.24501425","10.44634378","31.33903134","48","31.25","","92.30769231","77","0.305555556","0.097560976","0.194805195","2.138888889","1.974358974","1","0.923076923","0.416666667","0.384615385","0.916666667","0.846153846","46.75324675","","11.31687243","15.43209877","33.95061728","","","45.58404558","49.38271605"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00034","","","","39","39","1","1","9","53","30","11","8","15","1.5","1.2","4","4","4","30.31","0.02","5","3","5","3","2.7","2.564102564","1.424501425","50.33238367","55.7","4.847396768","30.31","76.92307692","23","0.1875","0.08","0.117391304","0.766666667","0.58974359","0.266666667","0.205128205","0.09","0.069230769","1.766666667","1.358974359","34.7826087","0.81837","1.851851852","3.333333333","65.43209877","0.777179487","1.010333333","52.89648623","68.7654321"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00035","","","","39","39","1","1","9","17","27","19","55","28","16","3.2","4","4","4","21.4","12.39","4","2","4","4","19.2","18.23361823","15.19468186","16.14434948","36.2","53.03867403","21.4","69.23076923","83","0.290909091","0.114285714","0.231325301","3.074074074","2.128205128","2.037037037","1.41025641","0.711111111","0.492307692","0.62962963","0.435897436","66.26506024","4.1088","21.9478738","26.33744856","23.31961591","3.901994302","5.636213992","34.37796771","49.65706447"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00036","","","","39","37","1","1","9","31","26","12","24","9","8","2","4","4","4","25.38","7.23","5","2","3","4","10","9.496676163","7.597340931","29.43969611","41","24.3902439","25.38","66.66666667","33","0.333333333","0.222222222","0.303030303","1.269230769","0.846153846","0.923076923","0.615384615","0.384615385","0.256410256","1.192307692","0.794871795","72.72727273","2.538","11.3960114","14.24501425","44.15954416","2.41025641","3.615384615","38.93637227","58.4045584"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00037","","","","39","8","1","1","3","7.5","4","3","14","10","4","1","5","5","4","29.67","6.12","5","3","3","3","5","4.748338082","3.798670465","7.122507123","12.5","40","29.67","10.25641026","24","0.285714286","0.1","0.208333333","6","0.615384615","3.5","0.358974359","1.25","0.128205128","1.875","0.192307692","58.33333333","1.4835","37.03703704","46.2962963","69.44444444","1.408831909","13.73611111","11.8708452","115.7407407"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00038","","","","39","30","1","1","9","18","27","12","17","23","3.5","2","4","4","4","34.49","11.03","2","2","4","4","5.5","5.22317189","3.323836657","17.09401709","23.5","23.40425532","34.49","69.23076923","40","0.205882353","0.086956522","0.1375","1.481481481","1.025641026","0.62962963","0.435897436","0.203703704","0.141025641","0.666666667","0.461538462","42.5","1.89695","4.801097394","7.544581619","24.69135802","1.801471985","2.6021262","22.31718898","32.23593964"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00039","","","","39","39","1","1","9","24","28","24","76","35","24","9","4","4","4","30.27","4.92","5","2","4","5","33","31.33903134","22.79202279","22.79202279","57","57.89473684","30.27","71.79487179","111","0.315789474","0.257142857","0.297297297","3.964285714","2.846153846","2.714285714","1.948717949","1.178571429","0.846153846","0.857142857","0.615384615","68.46846847","9.9891","31.74603175","43.65079365","31.74603175","9.486324786","13.21309524","54.13105413","75.3968254"
