"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00021","","","","5","5","1","1","5","4","4","10","11","3.7","1.3","6","3","3","4","5.46","5","11","21","0.37","0.118181818","0.238095238","5.25","4.2","2.5","2","1.25","1","1.5","1.2","47.61904762","45.45454545","80","27.40740741","34.25925926","37.03703704","46.2962963","44.44444444","55.55555556","81.48148148","101.8518519"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00022","","","","5","5","1","1","4","4","4","9","5","3.6","0.7","2","4","4","5","1.38","4.3","6.3","14","0.4","0.14","0.307142857","3.5","2.8","2.25","1.8","1.075","0.86","0.5","0.4","64.28571429","68.25396825","80","26.66666667","33.33333333","31.85185185","39.81481481","14.81481481","18.51851852","46.66666667","58.33333333"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00023","","","","5","5","1","1","5","4","4","2","3","0.6","0.3","9","2","3","5","1.74","0.9","9.9","5","0.3","0.1","0.18","1.25","1","0.5","0.4","0.225","0.18","2.25","1.8","40","9.090909091","80","4.444444444","5.555555556","6.666666667","8.333333333","66.66666667","83.33333333","73.33333333","91.66666667"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00024","","","","5","3","1","3","4","3","3","0","8","0","1.3","2","3","2","4","3.03","1.3","3.3","8","","0.1625","0.1625","2.666666667","1.6","0","0","0.433333333","0.26","0.666666667","0.4","0","39.39393939","60","0","0","9.62962963","16.04938272","14.81481481","24.69135802","24.44444444","40.74074074"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00025","","","","5","4","1","2","3","4","3","6","11","1.7","1","3","3","3","5","7.23","2.7","5.7","17","0.283333333","0.090909091","0.158823529","4.25","3.4","1.5","1.2","0.675","0.54","0.75","0.6","35.29411765","47.36842105","80","12.59259259","15.74074074","20","25","22.22222222","27.77777778","42.22222222","52.77777778"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00026","","","","5","5","1","2","4","4","3","8","11","3.2","0.7","2","4","4","4","0.12","3.9","5.9","19","0.4","0.063636364","0.205263158","4.75","3.8","2","1.6","0.975","0.78","0.5","0.4","42.10526316","66.10169492","80","23.7037037","29.62962963","28.88888889","36.11111111","14.81481481","18.51851852","43.7037037","54.62962963"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00027","","","","5","5","1","2","4","4","4","8","8","2","1","4.7","3","3","5","7.76","3","7.7","16","0.25","0.125","0.1875","4","3.2","2","1.6","0.75","0.6","1.175","0.94","50","38.96103896","80","14.81481481","18.51851852","22.22222222","27.77777778","34.81481481","43.51851852","57.03703704","71.2962963"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00028","","","","5","5","1","2","2","3","3","4","2","2.2","0.4","1.5","3","2","5","3.03","2.6","4.1","6","0.55","0.2","0.433333333","2","1.2","1.333333333","0.8","0.866666667","0.52","0.5","0.3","66.66666667","63.41463415","60","16.2962963","27.16049383","19.25925926","32.09876543","11.11111111","18.51851852","30.37037037","50.61728395"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00029","","","","5","5","1","1","4","4","4","9","10","4","1","1.5","4","2","4","","5","6.5","19","0.444444444","0.1","0.263157895","4.75","3.8","2.25","1.8","1.25","1","0.375","0.3","47.36842105","76.92307692","80","29.62962963","37.03703704","37.03703704","46.2962963","11.11111111","13.88888889","48.14814815","60.18518519"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00030","","","","5","5","1","1","4","4","4","11","11","3","1","3.5","3","4","4","6.12","4","7.5","22","0.272727273","0.090909091","0.181818182","5.5","4.4","2.75","2.2","1","0.8","0.875","0.7","50","53.33333333","80","22.22222222","27.77777778","29.62962963","37.03703704","25.92592593","32.40740741","55.55555556","69.44444444"
