"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Total storage roots yield computation tons per ha|CO_331:0000296","Commercial storage root yield tons per ha|CO_331:0000809","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in kg per plot|CO_331:0000683","Harvest index computing percent|CO_331:0000302","Storage root dry matter content computing percent|CO_331:0000297","Survival index computing percent|CO_331:0000301","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Percentage of commercial storage root|CO_331:0000682","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00021","","","","23","10","4","2","5","6","10","9","11","2.7","22","4","3","2","2","6.12","4","6.7","10.78904992","4.347826087","9.661835749","12.7","52.75590551","28","43.47826087","33","0.245454545","0.181818182","0.203030303","3.3","1.434782609","1.1","0.47826087","0.67","0.291304348","33.33333333","1.876","10","24.81481481","3.020933977","6.948148148","20.45088567","0.6","0.260869565","22.22222222","47.03703704"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00022","","","","23","7","1","1","1","0.6","7","7","9","1.2","13","1","2","3","3","1.76","3","2.2","3.542673108","1.93236715","0.966183575","2.8","78.57142857","26","30.43478261","22","0.133333333","0.076923077","0.1","3.142857143","0.956521739","1.285714286","0.391304348","0.314285714","0.095652174","40.90909091","0.572","6.349206349","11.64021164","0.921095008","3.026455026","4.508856683","0.085714286","0.026086957","3.174603175","14.81481481"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00023","","","","23","9","1","1","5","7","9","9","11","3.4","21","2.2","3","3","4","7.23","4","5.6","9.017713366","5.475040258","11.27214171","12.6","44.44444444","30","39.13043478","32","0.309090909","0.104761905","0.175","3.555555556","1.391304348","1.222222222","0.47826087","0.622222222","0.243478261","34.375","1.68","13.99176955","23.04526749","2.70531401","6.913580247","20.28985507","0.777777778","0.304347826","28.80658436","51.85185185"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00024","","","","23","12","1","1","7","10","12","12","50","15.3","22","1.1","4","5","4","7.23","3","16.4","26.40901771","24.63768116","16.10305958","26.4","62.12121212","30","52.17391304","72","0.306","0.05","0.227777778","6","3.130434783","4.166666667","2.173913043","1.366666667","0.713043478","69.44444444","4.92","47.22222222","50.61728395","7.922705314","15.18518519","42.51207729","0.833333333","0.434782609","30.86419753","81.48148148"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00025","","","","23","14","3","1","6","16","14","10","14","2","12","0.5","2","2","3","7.23","5","2.5","4.025764895","3.220611916","25.76489533","18.5","13.51351351","32","60.86956522","26","0.142857143","0.041666667","0.096153846","1.857142857","1.130434783","1","0.608695652","0.178571429","0.108695652","53.84615385","0.8","5.291005291","6.613756614","1.288244767","2.116402116","29.79066023","1.142857143","0.695652174","42.32804233","48.94179894"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00026","","","","23","16","1","1","7","27","16","16","64","23","26","2.1","3","3","4","7.23","4","25.1","40.41867955","37.03703704","43.47826087","52.1","48.17658349","22","69.56521739","90","0.359375","0.080769231","0.278888889","5.625","3.913043478","4","2.782608696","1.56875","1.091304348","71.11111111","5.522","53.24074074","58.10185185","8.892109501","12.78240741","83.89694042","1.6875","1.173913043","62.5","120.6018519"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00027","","","","23","12","1","1","3","4","12","11","10","2","22","1.5","3","3","4","7.76","3","3.5","5.636070853","3.220611916","6.441223833","7.5","46.66666667","25","52.17391304","32","0.2","0.068181818","0.109375","2.666666667","1.391304348","0.833333333","0.434782609","0.291666667","0.152173913","31.25","0.875","6.172839506","10.80246914","1.409017713","2.700617284","12.07729469","0.333333333","0.173913043","12.34567901","23.14814815"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00028","","","","23","16","1","1","6","14","16","16","39","17","21","2","4","3","4","7.76","4","19","30.5958132","27.37520129","22.54428341","33","57.57575758","24","69.56521739","60","0.435897436","0.095238095","0.316666667","3.75","2.608695652","2.4375","1.695652174","1.1875","0.826086957","65","4.56","39.35185185","43.98148148","7.342995169","10.55555556","53.14009662","0.875","0.608695652","32.40740741","76.38888889"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00029","","","","23","13","1","1","4","2.5","13","11","14","3.1","21","2","4","4","5","4.41","3","5.1","8.212560386","4.99194847","4.025764895","7.6","67.10526316","28","56.52173913","35","0.221428571","0.095238095","0.145714286","2.692307692","1.52173913","1.076923077","0.608695652","0.392307692","0.22173913","40","1.428","8.831908832","14.52991453","2.299516908","4.068376068","12.23832528","0.192307692","0.108695652","7.122507123","21.65242165"
"","","MZP2009UMB-MT01","","","","","","","","","MZP2009UMB-MT01-00030","","","","23","22","1","1","4","8","22","20","27","5.2","23","2","3","3","4","3.76","4","7.2","11.5942029","8.373590982","12.88244767","15.2","47.36842105","32","95.65217391","50","0.192592593","0.086956522","0.144","2.272727273","2.173913043","1.227272727","1.173913043","0.327272727","0.313043478","54","2.304","8.754208754","12.12121212","3.710144928","3.878787879","24.47665056","0.363636364","0.347826087","13.46801347","25.58922559"
