"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation","treatment_non_irrigation"
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00021","","","","26","20","1","1","6","16","9","16","10","2","0.4","24.8","4","5","1","1","7","9","1","4.28","1.91","1.08","225.09","107.71","39.95","67.18","2.2","5.07","14.9","2.4","27.2","26","0.125","0.04","0.092307692","1.625","1","1","0.615384615","0.15","0.092307692","1.55","0.953846154","61.53846154","8.823529412","61.53846154","2.849002849","4.62962963","3.418803419","5.555555556","35.32763533","57.40740741","38.74643875","62.96296296","1",""
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00022","","","","26","18","1","1","6","14","14","29","20","4.6","1","14.8","5","5","1","1","7","9","1","2.09","1.32","0.83","43.63","73.83","0.58","62.29","6.91","9.21","1.66","5.6","20.4","49","0.15862069","0.05","0.114285714","3.5","1.884615385","2.071428571","1.115384615","0.4","0.215384615","1.057142857","0.569230769","59.18367347","27.45098039","53.84615385","6.552706553","12.16931217","7.977207977","14.81481481","21.08262108","39.15343915","29.05982906","53.96825397","1",""
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00023","","","","26","26","1","2","8","19","19","36","34","3.9","1.4","35.2","4","3","1","","","","","","","","","","","","","","","5.3","40.5","70","0.108333333","0.041176471","0.075714286","3.684210526","2.692307692","1.894736842","1.384615385","0.278947368","0.203846154","1.852631579","1.353846154","51.42857143","13.08641975","73.07692308","5.555555556","7.602339181","7.54985755","10.33138402","50.14245014","68.61598441","57.69230769","78.94736842","1",""
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00024","","","","26","17","1","2","6","14","14","35","40","4.6","1.8","16","5","3","1","3","7","7","1","","","","","","","","","","","6.4","22.4","75","0.131428571","0.045","0.085333333","5.357142857","2.884615385","2.5","1.346153846","0.457142857","0.246153846","1.142857143","0.615384615","46.66666667","28.57142857","53.84615385","6.552706553","12.16931217","9.116809117","16.93121693","22.79202279","42.32804233","31.90883191","59.25925926","1",""
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00025","","","","26","26","1","3","5","14","7","12","13","3.2","0.8","15.2","5","5","1","1","9","9","1","4.01","2","1","68.68","54.08","12.12","72.12","0.65","2.75","12.38","4","19.2","25","0.266666667","0.061538462","0.16","1.785714286","0.961538462","0.857142857","0.461538462","0.285714286","0.153846154","1.085714286","0.584615385","48","20.83333333","53.84615385","4.558404558","8.465608466","5.698005698","10.58201058","21.65242165","40.21164021","27.35042735","50.79365079","1",""
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00026","","","","26","20","1","1","5","12","1","0","2","0","0.2","13","7","9","1","","","","","3.11","1.38","1.03","98.57","59.39","41.18","64.55","1.97","3.93","15.97","0.2","13.2","2","","0.1","0.1","0.166666667","0.076923077","0","0","0.016666667","0.007692308","1.083333333","0.5","0","1.515151515","46.15384615","0","0","0.284900285","0.617283951","18.51851852","40.12345679","18.8034188","40.74074074","1",""
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00027","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00028","","","","26","26","1","1","7","15","15","43","43","8.2","2.6","9.8","5","4","3","1","7","9","1","","","","","","","","","","","10.8","20.6","86","0.190697674","0.060465116","0.125581395","5.733333333","3.307692308","2.866666667","1.653846154","0.72","0.415384615","0.653333333","0.376923077","50","52.42718447","57.69230769","11.68091168","20.24691358","15.38461538","26.66666667","13.96011396","24.19753086","29.34472934","50.86419753","1",""
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00029","","","","26","20","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00030","","","","26","22","4","3","7","19","19","29","3","7.2","1","11","1","1","1","3","5","7","5","","","","","","","","","","","8.2","19.2","32","0.248275862","0.333333333","0.25625","1.684210526","1.230769231","1.526315789","1.115384615","0.431578947","0.315384615","0.578947368","0.423076923","90.625","42.70833333","73.07692308","10.25641026","14.03508772","11.68091168","15.98440546","15.66951567","21.44249513","27.35042735","37.42690058","1",""
