"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root dry matter content computing percent|CO_331:0000297","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00015","","","","39","35","1","1","9","4.2","18","16","38","51","5","4","4","4","4","30.36","11.03","5","2","3","4","9","13.2","89","0.131578947","0.078431373","0.101123596","4.944444444","2.282051282","2.111111111","0.974358974","0.5","0.230769231","0.233333333","0.107692308","42.69662921","68.18181818","46.15384615","2.7324","4.748338082","10.28806584","8.547008547","18.51851852","3.988603989","8.641975309","2.594871795","5.622222222","12.53561254","27.16049383"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00016","","","","39","35","1","1","9","16.1","25","23","52","104","12","10.5","4","3","4","30.02","14.37","4","2","5","4","22.5","38.6","156","0.230769231","0.100961538","0.144230769","6.24","4","2.08","1.333333333","0.9","0.576923077","0.644","0.412820513","33.33333333","58.29015544","64.1025641","6.7545","11.3960114","17.77777778","21.36752137","33.33333333","15.28964862","23.85185185","6.414529915","10.00666667","36.65716999","57.18518519"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00014","","","","39","39","1","1","9","18.6","32","31","148","64","13.5","2.5","4","3","4","30.36","10.5","5","2","4","4","16","34.6","212","0.091216216","0.0390625","0.075471698","6.625","5.435897436","4.625","3.794871795","0.5","0.41025641","0.58125","0.476923077","69.81132075","46.24277457","82.05128205","4.8576","12.82051282","15.625","15.19468186","18.51851852","17.66381766","21.52777778","4.613105413","5.622222222","32.85849953","40.0462963"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00017","","","","39","38","2","3","8","11.5","20","13","12","16","3","1","4","2","5","","","","","","","4","15.5","28","0.25","0.0625","0.142857143","1.4","0.717948718","0.6","0.307692308","0.2","0.102564103","0.575","0.294871795","42.85714286","25.80645161","51.28205128","","2.849002849","5.555555556","3.798670465","7.407407407","10.92117759","21.2962963","","","14.71984805","28.7037037"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00024","","","","39","20","1","1","8","8.2","16","13","15","28","2.5","2","3","4","5","30.36","10.5","5","2","4","4","4.5","12.7","43","0.166666667","0.071428571","0.104651163","2.6875","1.102564103","0.9375","0.384615385","0.28125","0.115384615","0.5125","0.21025641","34.88372093","35.43307087","41.02564103","1.3662","2.374169041","5.787037037","4.273504274","10.41666667","7.787274454","18.98148148","1.297435897","3.1625","12.06077873","29.39814815"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00021","","","","39","22","1","1","8","9.2","10","6","45","8","2","0.3","3","3","3","30.02","1.76","5","2","3","4","2.3","11.5","53","0.044444444","0.0375","0.043396226","5.3","1.358974359","4.5","1.153846154","0.23","0.058974359","0.92","0.235897436","84.90566038","20","25.64102564","0.69046","1.899335233","7.407407407","2.184235518","8.518518519","8.73694207","34.07407407","0.655707502","2.557259259","10.92117759","42.59259259"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00036","","","","39","32","1","1","6","3.5","9","5","11","16","1","2","3","2","4","30.35","0.15","5","2","4","4","3","6.5","27","0.090909091","0.125","0.111111111","3","0.692307692","1.222222222","0.282051282","0.333333333","0.076923077","0.388888889","0.08974359","40.74074074","46.15384615","23.07692308","0.9105","0.949667616","4.115226337","2.849002849","12.34567901","3.323836657","14.40329218","0.864672365","3.74691358","6.172839506","26.74897119"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00033","","","","39","31","1","7","7","8.5","18","16","63","40","11","1.5","4","3","3","30.2","14.37","5","2","4","4","12.5","21","103","0.174603175","0.0375","0.121359223","5.722222222","2.641025641","3.5","1.615384615","0.694444444","0.320512821","0.472222222","0.217948718","61.16504854","59.52380952","46.15384615","3.775","10.44634378","22.63374486","11.8708452","25.72016461","8.072174739","17.48971193","3.584995252","7.767489712","19.94301994","43.20987654"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00032","","","","39","29","4","6","7","10.3","21","18","47","38","6","2","4","3","4","30.56","14.37","5","2","4","4","8","18.3","85","0.127659574","0.052631579","0.094117647","4.047619048","2.179487179","2.238095238","1.205128205","0.380952381","0.205128205","0.49047619","0.264102564","55.29411765","43.71584699","53.84615385","2.4448","5.698005698","10.58201058","7.597340931","14.10934744","9.781576448","18.16578483","2.321747388","4.311816578","17.37891738","32.27513228"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00034","","","","39","36","1","1","8","12.5","16","9","16","28","3","3","3","3","5","30.32","0.69","5","2","4","4","6","18.5","44","0.1875","0.107142857","0.136363636","2.75","1.128205128","1","0.41025641","0.375","0.153846154","0.78125","0.320512821","36.36363636","32.43243243","41.02564103","1.8192","2.849002849","6.944444444","5.698005698","13.88888889","11.8708452","28.93518519","1.727635328","4.211111111","17.5688509","42.82407407"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00038","","","","39","38","1","1","9","15.3","17","17","35","48","6.5","3.5","4","3","4","30.7","1.17","5","2","4","4","10","25.3","83","0.185714286","0.072916667","0.120481928","4.882352941","2.128205128","2.058823529","0.897435897","0.588235294","0.256410256","0.9","0.392307692","42.1686747","39.5256917","43.58974359","3.07","6.172839506","14.16122004","9.496676163","21.78649237","14.52991453","33.33333333","2.915479582","6.688453159","24.02659069","55.11982571"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00029","","","","39","35","1","1","5","9.2","21","18","38","89","7","16","3","3","4","30.38","12.39","5","2","3","4","23","32.2","127","0.184210526","0.179775281","0.181102362","6.047619048","3.256410256","1.80952381","0.974358974","1.095238095","0.58974359","0.438095238","0.235897436","29.92125984","71.42857143","53.84615385","6.9874","6.647673314","12.34567901","21.84235518","40.5643739","8.73694207","16.22574956","6.635707502","12.32345679","30.57929725","56.79012346"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00035","","","","39","33","1","1","7","6.4","14","8","19","31","1.9","2","3","3","4","30.46","7.76","5","2","4","4","3.9","10.3","50","0.1","0.064516129","0.078","3.571428571","1.282051282","1.357142857","0.487179487","0.278571429","0.1","0.457142857","0.164102564","38","37.86407767","35.8974359","1.18794","1.804368471","5.026455026","3.703703704","10.31746032","6.077872745","16.93121693","1.128148148","3.142698413","9.781576448","27.24867725"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00031","","","","39","36","1","6","7","9.2","20","18","29","99","7.5","7","4","3","2","30.05","14.37","5","2","4","4","14.5","23.7","128","0.25862069","0.070707071","0.11328125","6.4","3.282051282","1.45","0.743589744","0.725","0.371794872","0.46","0.235897436","22.65625","61.1814346","51.28205128","4.35725","7.122507123","13.88888889","13.77018044","26.85185185","8.73694207","17.03703704","4.137939221","8.068981481","22.50712251","43.88888889"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00028","","","","39","38","3","4","9","9.6","18","18","56","44","5.5","1.5","4","3","4","30.77","14.37","5","2","4","4","7","16.6","100","0.098214286","0.034090909","0.07","5.555555556","2.564102564","3.111111111","1.435897436","0.388888889","0.179487179","0.533333333","0.246153846","56","42.1686747","46.15384615","2.1539","5.22317189","11.31687243","6.647673314","14.40329218","9.116809117","19.75308642","2.045489079","4.431893004","15.76448243","34.1563786"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00027","","","","39","36","1","1","8","17.8","15","13","29","7","2","0.2","3","3","4","","10.5","5","2","3","4","2.2","20","36","0.068965517","0.028571429","0.061111111","2.4","0.923076923","1.933333333","0.743589744","0.146666667","0.056410256","1.186666667","0.456410256","80.55555556","11","38.46153846","","1.899335233","4.938271605","2.089268756","5.432098765","16.90408357","43.95061728","","","18.99335233","49.38271605"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00037","","","","39","38","1","1","9","16.2","10","4","8","11","1.5","1","3","2","4","30.5","0","5","2","5","4","2.5","18.7","19","0.1875","0.090909091","0.131578947","1.9","0.487179487","0.8","0.205128205","0.25","0.064102564","1.62","0.415384615","42.10526316","13.36898396","25.64102564","0.7625","1.424501425","5.555555556","2.374169041","9.259259259","15.38461538","60","0.724121557","2.824074074","17.75878443","69.25925926"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00039","","","","39","36","1","1","8","10.2","14","7","9","14","1.5","1.5","4","3","4","30.27","10.5","5","2","3","4","3","13.2","23","0.166666667","0.107142857","0.130434783","1.642857143","0.58974359","0.642857143","0.230769231","0.214285714","0.076923077","0.728571429","0.261538462","39.13043478","22.72727273","35.8974359","0.9081","1.424501425","3.968253968","2.849002849","7.936507937","9.686609687","26.98412698","0.862393162","2.402380952","12.53561254","34.92063492"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00030","","","","39","32","1","1","7","6.8","15","13","19","105","3","5","2","2","3","30.39","1.76","5","2","4","4","8","14.8","124","0.157894737","0.047619048","0.064516129","8.266666667","3.179487179","1.266666667","0.487179487","0.533333333","0.205128205","0.453333333","0.174358974","15.32258065","54.05405405","38.46153846","2.4312","2.849002849","7.407407407","7.597340931","19.75308642","6.457739791","16.79012346","2.308831909","6.002962963","14.05508072","36.54320988"
