"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","treatment_late_season_drought","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00141","","","","84","62","62","37","48","200","10.8","7.2","61.6","1","3","18","79.6","248","0.225","0.036","0.072580645","4","0.774193548","0.290322581","0.993548387","19.35483871","22.61306533","4.761904762","7.936507937","27.16049383","35.09700176","1","2.952380952","0.571428571","0.214285714","0.733333333","73.80952381","6.451612903","10.75268817","36.79808841","47.55077658"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00142","","","","84","48","48","0","0","0","0","0","63.4","","","0","63.4","0","","","","0","0","0","1.320833333","","0","0","0","27.95414462","27.95414462","1","0","0","0","0.754761905","57.14285714","0","0","48.91975309","48.91975309"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00143","","","","84","55","55","50","170","370","21.8","16.4","54.4","1","3","38.2","92.6","540","0.128235294","0.044324324","0.070740741","9.818181818","3.090909091","0.694545455","0.989090909","31.48148148","41.25269978","9.611992945","16.84303351","23.98589065","40.82892416","1","6.428571429","2.023809524","0.454761905","0.647619048","65.47619048","14.68013468","25.72390572","36.63299663","62.35690236"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00144","","","","84","59","59","46","188","140","46.2","9","56","1","3","55.2","111.2","328","0.245744681","0.064285714","0.168292683","5.559322034","3.186440678","0.93559322","0.949152542","57.31707317","49.64028777","20.37037037","24.33862434","24.69135802","49.02998236","1","3.904761905","2.238095238","0.657142857","0.666666667","70.23809524","29.00188324","34.65160075","35.15379787","69.80539862"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00145","","","","84","39","39","19","13","74","1.2","1.8","6.6","1","5","3","9.6","87","0.092307692","0.024324324","0.034482759","2.230769231","0.333333333","0.076923077","0.169230769","14.94252874","31.25","0.529100529","1.322751323","2.91005291","4.232804233","1","1.035714286","0.154761905","0.035714286","0.078571429","46.42857143","1.13960114","2.849002849","6.267806268","9.116809117"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00146","","","","84","0","0","0","0","0","0","0","0","","","0","0","0","","","","","","","","","","0","0","0","0","1","0","0","0","0","0","","","",""
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00147","","","","84","25","25","20","8","70","0.8","2.2","17.2","1","3","3","20.2","78","0.1","0.031428571","0.038461538","3.12","0.32","0.12","0.688","10.25641026","14.85148515","0.352733686","1.322751323","7.58377425","8.906525573","1","0.928571429","0.095238095","0.035714286","0.204761905","29.76190476","1.185185185","4.444444444","25.48148148","29.92592593"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00148","","","","84","39","39","39","95","236","17","8.2","19.8","1","3","25.2","45","331","0.178947368","0.034745763","0.076132931","8.487179487","2.435897436","0.646153846","0.507692308","28.70090634","56","7.495590829","11.11111111","8.73015873","19.84126984","1","3.94047619","1.130952381","0.3","0.235714286","46.42857143","16.14434948","23.93162393","18.8034188","42.73504274"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00149","","","","84","18","18","18","25","18","5.4","1.4","12.6","1","3","6.8","19.4","43","0.216","0.077777778","0.158139535","2.388888889","1.388888889","0.377777778","0.7","58.13953488","35.05154639","2.380952381","2.998236332","5.555555556","8.553791887","1","0.511904762","0.297619048","0.080952381","0.15","21.42857143","11.11111111","13.99176955","25.92592593","39.91769547"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00150","","","","84","0","0","0","0","0","0","0","0","","","0","0","0","","","","","","","","","","0","0","0","0","1","0","0","0","0","0","","","",""
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00151","","","","84","51","51","15","13","40","1.6","1.8","21.4","1","3","3.4","24.8","53","0.123076923","0.045","0.064150943","1.039215686","0.254901961","0.066666667","0.419607843","24.52830189","13.70967742","0.705467372","1.499118166","9.435626102","10.93474427","1","0.630952381","0.154761905","0.04047619","0.254761905","60.71428571","1.16194626","2.469135802","15.54103123","18.01016703"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00152","","","","84","29","29","23","36","99","6.4","4.6","13","1","3","11","24","135","0.177777778","0.046464646","0.081481481","4.655172414","1.24137931","0.379310345","0.448275862","26.66666667","45.83333333","2.821869489","4.850088183","5.731922399","10.58201058","1","1.607142857","0.428571429","0.130952381","0.154761905","34.52380952","8.173690932","14.04853129","16.60280971","30.651341"
