"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of total carotenoids in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000290","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00022","","","","26","6","1","1","5","4","2","3","","0.6","","3","1","3","3","50.1","17.7","3","3","3","1","3.63","1.64","0.8","","33.98","12.46","4.61","65.23","3.58","4.82","11.01","0.69","","","","0.2","","","","","0.75","0.115384615","","","0.75","0.115384615","","","15.38461538","35.32934132","","0.854700855","5.555555556","","","4.273504274","27.77777778","","","",""
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00023","","","","26","3","2","1","3","3","2","3","","0.4","","5","5","3","3","","","5","3","3","1","","","","","","","","","","","","","","","","0.133333333","","","","","1","0.115384615","","","1.666666667","0.192307692","","","11.53846154","","","0.56980057","4.938271605","","","7.122507123","61.72839506","","","",""
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00024","","","","26","13","1","1","2","2","2","6","7","4","0.5","5","1","3","1","","","3","3","3","1","","","","","","","12.39","","","","","","4.5","9.5","13","0.666666667","0.071428571","0.346153846","6.5","0.5","3","0.230769231","2.25","0.173076923","2.5","0.192307692","46.15384615","47.36842105","7.692307692","","","5.698005698","74.07407407","6.41025641","83.33333333","7.122507123","92.59259259","","","13.53276353","175.9259259"
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00025","","","","26","21","3","3","7","13","13","49","42","5.2","1.2","8","5","3","3","50.8","15.5","5","9","3","1","3.47","1.76","0.98","38.9","63.92","24.85","14.37","59.8","2.88","4.34","16.68","0.41","6.4","14.4","91","0.106122449","0.028571429","0.07032967","7","3.5","3.769230769","1.884615385","0.492307692","0.246153846","0.615384615","0.307692308","53.84615385","44.44444444","50","30.51181102","1.952755906","7.407407407","14.81481481","9.116809117","18.23361823","11.3960114","22.79202279","2.781703569","5.563407138","20.51282051","41.02564103"
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00026","","","","26","8","4","1","6","7","7","22","20","4","1","11","3","3","1","","","1","3","3","1","","","","","","","14.37","","","","","","5","16","42","0.181818182","0.05","0.119047619","6","1.615384615","3.142857143","0.846153846","0.714285714","0.192307692","1.571428571","0.423076923","52.38095238","31.25","26.92307692","","","5.698005698","21.16402116","7.122507123","26.45502646","15.66951567","58.2010582","","","22.79202279","84.65608466"
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00027","","","","26","10","1","1","4","6","6","11","10","4.5","0.6","7","3","3","1","50.8","12.3","5","3","1","1","4.75","2.09","1.23","214.68","102","33.16","5.49","50.5","5.98","8.67","15.73","0.63","5.1","12.1","21","0.409090909","0.06","0.242857143","3.5","0.807692308","1.833333333","0.423076923","0.85","0.196153846","1.166666667","0.269230769","52.38095238","42.14876033","23.07692308","24.21259843","1.23484252","6.41025641","27.77777778","7.264957265","31.48148148","9.971509972","43.20987654","1.759034928","7.622484689","17.23646724","74.69135802"
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00028","","","","26","14","1","3","6","11","11","15","18","5","4.4","7","3","5","5","","","3","3","3","3","","","","","","","7.23","","","","","","9.4","16.4","33","0.333333333","0.244444444","0.284848485","3","1.269230769","1.363636364","0.576923077","0.854545455","0.361538462","0.636363636","0.269230769","45.45454545","57.31707317","42.30769231","","","7.122507123","16.83501684","13.39031339","31.64983165","9.971509972","23.56902357","","","23.36182336","55.21885522"
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00029","","","","26","1","1","1","2","1","1","1","","","0.4","0.8","3","3","3","","","1","3","3","5","","","","","","","10.5","","","","","","","","","","","","","","1","0.038461538","","","0.8","0.030769231","","","3.846153846","","","","","","","1.13960114","29.62962963","","","",""
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00030","","","","26","8","1","3","4","4","4","3","7","2","0.4","5","1","1","1","50.4","13.4","1","5","3","3","5.74","2.23","1.43","72.11","89.89","32.36","0.02","50.17","5.27","7.16","16.23","1.08","2.4","7.4","10","0.666666667","0.057142857","0.24","2.5","0.384615385","0.75","0.115384615","0.6","0.092307692","1.25","0.192307692","30","32.43243243","15.38461538","26.58730159","0.638095238","2.849002849","18.51851852","3.418803419","22.22222222","7.122507123","46.2962963","0.908967576","5.908289242","10.54131054","68.51851852"
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00031","","","","26","5","4","1","4","2","2","2","","","","0.6","","1","1","50.6","13.2","1","1","3","5","3.3","2.07","1.25","124.38","103.59","44.73","7.23","42.2","4.57","6.39","26.43","0.65","","","","","","","","","1","0.076923077","","","0.3","0.023076923","","","7.692307692","26.08695652","","","","","","0.854700855","11.11111111","","","",""
