"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|CO_331:0000198","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root shape estimating 1-9 CIP|CO_331:0000181","Sprouting ability estimating 1-9|CO_331:0000277","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00012","","","","54","53","2","2","1","42","7.5","60","3.5","7.5","2","9","2","2","1.65","11","18.5","102","0.178571429","0.058333333","0.107843137","1.924528302","1.888888889","0.79245283","0.777777778","0.20754717","0.203703704","0.141509434","0.138888889","41.17647059","59.45945946","98.14814815","4.62962963","6.790123457","4.62962963","11.41975309","4.716981132","6.918238994","4.716981132","11.63522013"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00013","","","","54","54","1","1","1","100","21","92","5","60","3","9","2","8","1.38","26","86","192","0.21","0.054347826","0.135416667","3.555555556","3.555555556","1.851851852","1.851851852","0.481481481","0.481481481","1.111111111","1.111111111","52.08333333","30.23255814","100","12.96296296","16.04938272","37.03703704","53.08641975","12.96296296","16.04938272","37.03703704","53.08641975"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00014","","","","54","48","1","1","1","14","1.8","21","1","81.5","1","9","1","2","1.65","2.8","84.3","35","0.128571429","0.047619048","0.08","0.729166667","0.648148148","0.291666667","0.259259259","0.058333333","0.051851852","1.697916667","1.509259259","40","3.321470937","88.88888889","1.111111111","1.728395062","50.30864198","52.03703704","1.25","1.944444444","56.59722222","58.54166667"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00015","","","","54","52","1","3","1","132","25","189","6","48","2","9","8","8","1.38","31","79","321","0.189393939","0.031746032","0.096573209","6.173076923","5.944444444","2.538461538","2.444444444","0.596153846","0.574074074","0.923076923","0.888888889","41.12149533","39.24050633","96.2962963","15.43209877","19.13580247","29.62962963","48.7654321","16.02564103","19.87179487","30.76923077","50.64102564"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00016","","","","54","50","1","4","1","132","25.5","52","5","55.5","2","9","2","2","1.65","30.5","86","184","0.193181818","0.096153846","0.16576087","3.68","3.407407407","2.64","2.444444444","0.61","0.564814815","1.11","1.027777778","71.73913043","35.46511628","92.59259259","15.74074074","18.82716049","34.25925926","53.08641975","17","20.33333333","37","57.33333333"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00017","","","","54","46","1","2","1","17","2.5","65","3.5","10","1","9","1","8","1.38","6","16","82","0.147058824","0.053846154","0.073170732","1.782608696","1.518518519","0.369565217","0.314814815","0.130434783","0.111111111","0.217391304","0.185185185","20.73170732","37.5","85.18518519","1.543209877","3.703703704","6.172839506","9.87654321","1.811594203","4.347826087","7.246376812","11.5942029"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00018","","","","54","39","2","2","1","0","0","0","0","12.5","","","","","","0","12.5","0","","","","0","0","0","0","0","0","0.320512821","0.231481481","","0","72.22222222","0","0","7.716049383","7.716049383","0","0","10.68376068","10.68376068"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00019","","","","54","54","2","2","1","39","5","92","3.5","10","1","9","5","8","1.38","8.5","18.5","131","0.128205128","0.038043478","0.064885496","2.425925926","2.425925926","0.722222222","0.722222222","0.157407407","0.157407407","0.185185185","0.185185185","29.77099237","45.94594595","100","3.086419753","5.24691358","6.172839506","11.41975309","3.086419753","5.24691358","6.172839506","11.41975309"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00020","","","","54","54","1","2","1","0","0","23","2","12.5","1","9","1","2","1.65","2","14.5","23","","0.086956522","0.086956522","0.425925926","0.425925926","0","0","0.037037037","0.037037037","0.231481481","0.231481481","0","13.79310345","100","0","1.234567901","7.716049383","8.950617284","0","1.234567901","7.716049383","8.950617284"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00021","","","","54","53","1","1","1","72","21","33","3.5","22","1","9","1","8","1.65","24.5","46.5","105","0.291666667","0.106060606","0.233333333","1.981132075","1.944444444","1.358490566","1.333333333","0.462264151","0.453703704","0.41509434","0.407407407","68.57142857","52.68817204","98.14814815","12.96296296","15.12345679","13.58024691","28.7037037","13.20754717","15.40880503","13.83647799","29.24528302"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00022","","","","54","29","1","2","1","0","0","27","0.5","72.5","1","9","1","2","1.65","0.5","73","27","","0.018518519","0.018518519","0.931034483","0.5","0","0","0.017241379","0.009259259","2.5","1.342592593","0","0.684931507","53.7037037","0","0.308641975","44.75308642","45.0617284","0","0.574712644","83.33333333","83.90804598"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00023","","","","54","54","1","1","1","136","31","104","9","51","1","9","7","8","1.65","40","91","240","0.227941176","0.086538462","0.166666667","4.444444444","4.444444444","2.518518519","2.518518519","0.740740741","0.740740741","0.944444444","0.944444444","56.66666667","43.95604396","100","19.13580247","24.69135802","31.48148148","56.17283951","19.13580247","24.69135802","31.48148148","56.17283951"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00024","","","","54","52","1","2","1","92","30.5","55","5","59","1","9","4","2","1.65","35.5","94.5","147","0.331521739","0.090909091","0.241496599","2.826923077","2.722222222","1.769230769","1.703703704","0.682692308","0.657407407","1.134615385","1.092592593","62.58503401","37.56613757","96.2962963","18.82716049","21.91358025","36.41975309","58.33333333","19.55128205","22.75641026","37.82051282","60.57692308"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00025","","","","54","40","2","1","1","21","5.5","24","2","14.5","","9","1","8","1.38","7.5","22","45","0.261904762","0.083333333","0.166666667","1.125","0.833333333","0.525","0.388888889","0.1875","0.138888889","0.3625","0.268518519","46.66666667","34.09090909","74.07407407","3.395061728","4.62962963","8.950617284","13.58024691","4.583333333","6.25","12.08333333","18.33333333"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00026","","","","54","46","2","2","1","25","5","52","3.5","40","1","9","1","2","1.65","8.5","48.5","77","0.2","0.067307692","0.11038961","1.673913043","1.425925926","0.543478261","0.462962963","0.184782609","0.157407407","0.869565217","0.740740741","32.46753247","17.5257732","85.18518519","3.086419753","5.24691358","24.69135802","29.9382716","3.623188406","6.15942029","28.98550725","35.14492754"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00027","","","","54","52","1","3","1","51","13","81","6","29","2","9","5","8","1.65","19","48","132","0.254901961","0.074074074","0.143939394","2.538461538","2.444444444","0.980769231","0.944444444","0.365384615","0.351851852","0.557692308","0.537037037","38.63636364","39.58333333","96.2962963","8.024691358","11.72839506","17.90123457","29.62962963","8.333333333","12.17948718","18.58974359","30.76923077"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00028","","","","54","44","3","2","1","40","10","32","2.5","15","2","9","1","2","1.65","12.5","27.5","72","0.25","0.078125","0.173611111","1.636363636","1.333333333","0.909090909","0.740740741","0.284090909","0.231481481","0.340909091","0.277777778","55.55555556","45.45454545","81.48148148","6.172839506","7.716049383","9.259259259","16.97530864","7.575757576","9.46969697","11.36363636","20.83333333"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00029","","","","54","47","1","2","1","39","9","42","4","17","2","9","1","8","1.38","13","30","81","0.230769231","0.095238095","0.160493827","1.723404255","1.5","0.829787234","0.722222222","0.276595745","0.240740741","0.361702128","0.314814815","48.14814815","43.33333333","87.03703704","5.555555556","8.024691358","10.49382716","18.51851852","6.382978723","9.219858156","12.05673759","21.27659574"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00030","","","","54","43","1","1","1","0","0","11","2.5","47","1","9","1","2","1.65","2.5","49.5","11","","0.227272727","0.227272727","0.255813953","0.203703704","0","0","0.058139535","0.046296296","1.093023256","0.87037037","0","5.050505051","79.62962963","0","1.543209877","29.01234568","30.55555556","0","1.937984496","36.43410853","38.37209302"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00031","","","","54","48","1","1","1","62","23","44","4","43.5","1","9","3","8","1.38","27","70.5","106","0.370967742","0.090909091","0.254716981","2.208333333","1.962962963","1.291666667","1.148148148","0.5625","0.5","0.90625","0.805555556","58.49056604","38.29787234","88.88888889","14.19753086","16.66666667","26.85185185","43.51851852","15.97222222","18.75","30.20833333","48.95833333"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00032","","","","54","47","1","4","1","45","16","37","4.5","62.5","1","9","3","2","1.65","20.5","83","82","0.355555556","0.121621622","0.25","1.744680851","1.518518519","0.957446809","0.833333333","0.436170213","0.37962963","1.329787234","1.157407407","54.87804878","24.69879518","87.03703704","9.87654321","12.65432099","38.58024691","51.2345679","11.34751773","14.53900709","44.32624113","58.86524823"
