"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00019","","","","30","30","1","2","8","1","2","30","65","22","3.9","0.92","9.4","8","6","2","4","3","0.15","4.82","14.22","0.06","2.166666667","2.166666667","0.160666667","0.160666667","0.313333333","0.313333333","33.89592124","100","4.333333333","5.355555556","10.44444444","15.8","87","0.041818182","0.055402299","2.9","2.9","74.71264368","4.333333333","5.355555556","10.44444444","15.8"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00020","","","","30","30","3","2","8","3","2","30","60","33","13","1.4","8.8","8","4","3","4","4","0.15","14.4","23.2","0.216666667","2","2","0.48","0.48","0.293333333","0.293333333","62.06896552","100","14.44444444","16","9.777777778","25.77777778","93","0.042424242","0.15483871","3.1","3.1","64.51612903","14.44444444","16","9.777777778","25.77777778"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00021","","","","30","27","3","2","8","3","2","25","16","15","2","0.5","3","5","4","2","6","5","0.15","2.5","5.5","0.125","0.64","0.533333333","0.1","0.083333333","0.12","0.1","45.45454545","83.33333333","2.222222222","2.777777778","3.333333333","6.111111111","31","0.033333333","0.080645161","1.24","1.033333333","51.61290323","2.666666667","3.333333333","4","7.333333333"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00022","","","","30","30","3","2","7","5","2","30","28","6","3.5","1.7","4","5","4","2","5","5","1.65","5.2","9.2","0.125","0.933333333","0.933333333","0.173333333","0.173333333","0.133333333","0.133333333","56.52173913","100","3.888888889","5.777777778","4.444444444","10.22222222","34","0.283333333","0.152941176","1.133333333","1.133333333","82.35294118","3.888888889","5.777777778","4.444444444","10.22222222"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00023","","","","30","27","3","2","9","3","2","27","70","20","11.2","1.2","16","8","5","3","2","4","0.03","12.4","28.4","0.16","2.592592593","2.333333333","0.459259259","0.413333333","0.592592593","0.533333333","43.66197183","90","12.44444444","13.77777778","17.77777778","31.55555556","90","0.06","0.137777778","3.333333333","3","77.77777778","13.82716049","15.30864198","19.75308642","35.0617284"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00024","","","","30","27","2","1","8","2","2","27","40","50","6.9","2.8","5","9","4","6","6","5","0.15","9.7","14.7","0.1725","1.481481481","1.333333333","0.359259259","0.323333333","0.185185185","0.166666667","65.98639456","90","7.666666667","10.77777778","5.555555556","16.33333333","90","0.056","0.107777778","3.333333333","3","44.44444444","8.518518519","11.97530864","6.172839506","18.14814815"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00025","","","","30","27","3","1","9","4","2","27","90","22","18.5","0.6","13","2","7","3","3","5","0.03","19.1","32.1","0.205555556","3.333333333","3","0.707407407","0.636666667","0.481481481","0.433333333","59.50155763","90","20.55555556","21.22222222","14.44444444","35.66666667","112","0.027272727","0.170535714","4.148148148","3.733333333","80.35714286","22.83950617","23.58024691","16.04938272","39.62962963"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00026","","","","30","30","4","2","9","4","2","30","81","36","19","1.5","14","4","4","3","2","6","0.15","20.5","34.5","0.234567901","2.7","2.7","0.683333333","0.683333333","0.466666667","0.466666667","59.42028986","100","21.11111111","22.77777778","15.55555556","38.33333333","117","0.041666667","0.175213675","3.9","3.9","69.23076923","21.11111111","22.77777778","15.55555556","38.33333333"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00027","","","","30","30","1","1","9","1","2","30","62","60","3","2.5","20","6","3","4","3","2","0.15","5.5","25.5","0.048387097","2.066666667","2.066666667","0.183333333","0.183333333","0.666666667","0.666666667","21.56862745","100","3.333333333","6.111111111","22.22222222","28.33333333","122","0.041666667","0.045081967","4.066666667","4.066666667","50.81967213","3.333333333","6.111111111","22.22222222","28.33333333"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00028","","","","30","29","3","2","8","3","2","29","138","40","28","2","18","3","5","3","2","2","1.65","30","48","0.202898551","4.75862069","4.6","1.034482759","1","0.620689655","0.6","62.5","96.66666667","31.11111111","33.33333333","20","53.33333333","178","0.05","0.168539326","6.137931034","5.933333333","77.52808989","32.18390805","34.48275862","20.68965517","55.17241379"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00029","","","","30","29","4","2","7","4","2","29","59","48","11","3","5","4","6","3","3","5","0.15","14","19","0.186440678","2.034482759","1.966666667","0.482758621","0.466666667","0.172413793","0.166666667","73.68421053","96.66666667","12.22222222","15.55555556","5.555555556","21.11111111","107","0.0625","0.130841121","3.689655172","3.566666667","55.14018692","12.64367816","16.09195402","5.747126437","21.83908046"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00030","","","","30","28","2","2","7","3","2","28","49","14","11","1","9","6","6","3","5","3","0.15","12","21","0.224489796","1.75","1.633333333","0.428571429","0.4","0.321428571","0.3","57.14285714","93.33333333","12.22222222","13.33333333","10","23.33333333","63","0.071428571","0.19047619","2.25","2.1","77.77777778","13.0952381","14.28571429","10.71428571","25"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00031","","","","30","30","2","2","7","2","2","30","59","29","11","2","8","8","4","4","6","5","0.15","13","21","0.186440678","1.966666667","1.966666667","0.433333333","0.433333333","0.266666667","0.266666667","61.9047619","100","12.22222222","14.44444444","8.888888889","23.33333333","88","0.068965517","0.147727273","2.933333333","2.933333333","67.04545455","12.22222222","14.44444444","8.888888889","23.33333333"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00032","","","","30","29","3","2","8","5","2","27","27","51","3","1.5","6","4","4","4","6","6","1.65","4.5","10.5","0.111111111","1","0.9","0.166666667","0.15","0.222222222","0.2","42.85714286","90","3.333333333","5","6.666666667","11.66666667","78","0.029411765","0.057692308","2.888888889","2.6","34.61538462","3.703703704","5.555555556","7.407407407","12.96296296"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00033","","","","30","28","3","2","7","3","2","28","38","9","6","0.2","4","6","5","2","6","2","0.15","6.2","10.2","0.157894737","1.357142857","1.266666667","0.221428571","0.206666667","0.142857143","0.133333333","60.78431373","93.33333333","6.666666667","6.888888889","4.444444444","11.33333333","47","0.022222222","0.131914894","1.678571429","1.566666667","80.85106383","7.142857143","7.380952381","4.761904762","12.14285714"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00034","","","","30","27","5","1","7","6","3","27","20","6","2","0.15","5","5","3","2","6","4","0.02","2.15","7.15","0.1","0.740740741","0.666666667","0.07962963","0.071666667","0.185185185","0.166666667","30.06993007","90","2.222222222","2.388888889","5.555555556","7.944444444","26","0.025","0.082692308","0.962962963","0.866666667","76.92307692","2.469135802","2.654320988","6.172839506","8.827160494"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00035","","","","30","26","3","1","8","3","2","26","87","41","12","1.05","10","9","3","3","3","4","0.15","13.05","23.05","0.137931034","3.346153846","2.9","0.501923077","0.435","0.384615385","0.333333333","56.61605206","86.66666667","13.33333333","14.5","11.11111111","25.61111111","128","0.025609756","0.101953125","4.923076923","4.266666667","67.96875","15.38461538","16.73076923","12.82051282","29.55128205"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00036","","","","30","27","3","1","9","3","2","27","49","24","12","0.9","14","2","7","3","3","5","0.02","12.9","26.9","0.244897959","1.814814815","1.633333333","0.477777778","0.43","0.518518519","0.466666667","47.95539033","90","13.33333333","14.33333333","15.55555556","29.88888889","73","0.0375","0.176712329","2.703703704","2.433333333","67.12328767","14.81481481","15.92592593","17.28395062","33.20987654"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00037","","","","30","30","3","2","9","3","2","30","47","1","15","0.25","53","8","5","3","3","2","0.03","15.25","68.25","0.319148936","1.566666667","1.566666667","0.508333333","0.508333333","1.766666667","1.766666667","22.34432234","100","16.66666667","16.94444444","58.88888889","75.83333333","48","0.25","0.317708333","1.6","1.6","97.91666667","16.66666667","16.94444444","58.88888889","75.83333333"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00038","","","","30","26","3","1","9","3","2","26","44","8","8","0.35","15","3","3","2","5","3","0.15","8.35","23.35","0.181818182","1.692307692","1.466666667","0.321153846","0.278333333","0.576923077","0.5","35.76017131","86.66666667","8.888888889","9.277777778","16.66666667","25.94444444","52","0.04375","0.160576923","2","1.733333333","84.61538462","10.25641026","10.70512821","19.23076923","29.93589744"
"","","UGP2018NAM-AT01","","","","","","","","","UGP2018NAM-AT01-00039","","","","30","29","2","1","9","2","2","29","46","26","7","9","37","4","3","3","7","2","1.65","16","53","0.152173913","1.586206897","1.533333333","0.551724138","0.533333333","1.275862069","1.233333333","30.18867925","96.66666667","7.777777778","17.77777778","41.11111111","58.88888889","72","0.346153846","0.222222222","2.482758621","2.4","63.88888889","8.045977011","18.3908046","42.52873563","60.91954023"
