"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00011","","","","30","26","1","1","2","8","2","26","20","0","1.8","0","1.95","6","6","4","6","5","3","1.8","3.75","0.09","","20","0.769230769","0.769230769","0.069230769","0.075","100","48","0.09","2","2","2.166666667","4.166666667","0.666666667","0.666666667","0.06","0.065","86.66666667","2.307692308","2.307692308","2.5","4.807692308"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00012","","","","30","30","1","1","2","9","1","28","21","2","1.65","0.02","1.65","3","8","3","3","3","1","1.67","3.32","0.078571429","0.01","23","0.821428571","0.75","0.059642857","0.058928571","91.30434783","50.30120482","0.072608696","1.833333333","1.855555556","1.833333333","3.688888889","0.766666667","0.7","0.055666667","0.055","93.33333333","1.964285714","1.988095238","1.964285714","3.952380952"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00013","","","","30","30","2","2","2","8","2","28","7","0","0.7","0","0.35","6","6","3","3","4","3","0.7","1.05","0.1","","7","0.25","0.25","0.025","0.0125","100","66.66666667","0.1","0.777777778","0.777777778","0.388888889","1.166666667","0.233333333","0.233333333","0.023333333","0.011666667","93.33333333","0.833333333","0.833333333","0.416666667","1.25"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00014","","","","30","30","2","2","2","9","2","27","8","1","1.75","0.01","5.25","8","2","2","4","3","1","1.76","7.01","0.21875","0.01","9","0.333333333","0.296296296","0.065185185","0.194444444","88.88888889","25.10699001","0.195555556","1.944444444","1.955555556","5.833333333","7.788888889","0.3","0.266666667","0.058666667","0.175","90","2.160493827","2.172839506","6.481481481","8.654320988"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00015","","","","30","26","1","1","2","8","1","26","6","2","0.45","0.02","1.8","3","8","2","3","4","3","0.47","2.27","0.075","0.01","8","0.307692308","0.230769231","0.018076923","0.069230769","75","20.70484581","0.05875","0.5","0.522222222","2","2.522222222","0.266666667","0.2","0.015666667","0.06","86.66666667","0.576923077","0.602564103","2.307692308","2.91025641"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00016","","","","30","30","1","1","2","8","2","27","11","0","1.85","0","1.35","8","7","2","3","4","3","1.85","3.2","0.168181818","","11","0.407407407","0.407407407","0.068518519","0.05","100","57.8125","0.168181818","2.055555556","2.055555556","1.5","3.555555556","0.366666667","0.366666667","0.061666667","0.045","90","2.283950617","2.283950617","1.666666667","3.950617284"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00017","","","","30","23","2","1","2","7","2","23","0","0","0","0","0.2","","","","","","","0","0.2","","","0","0","0","0","0.008695652","","0","","0","0","0.222222222","0.222222222","0","0","0","0.006666667","76.66666667","0","0","0.289855072","0.289855072"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00018","","","","30","26","1","1","2","8","1","26","23","0","3.2","0","1.55","8","7","3","4","3","3","3.2","4.75","0.139130435","","23","0.884615385","0.884615385","0.123076923","0.059615385","100","67.36842105","0.139130435","3.555555556","3.555555556","1.722222222","5.277777778","0.766666667","0.766666667","0.106666667","0.051666667","86.66666667","4.102564103","4.102564103","1.987179487","6.08974359"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00019","","","","30","26","2","2","2","9","2","26","3","3","0.6","0.04","11.45","5","6","2","3","5","1","0.64","12.09","0.2","0.013333333","6","0.230769231","0.115384615","0.024615385","0.440384615","50","5.2936311","0.106666667","0.666666667","0.711111111","12.72222222","13.43333333","0.2","0.1","0.021333333","0.381666667","86.66666667","0.769230769","0.820512821","14.67948718","15.5"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00020","","","","30","26","1","1","2","8","1","26","20","2","3.35","0.04","19.4","6","6","2","3","5","1","3.39","22.79","0.1675","0.02","22","0.846153846","0.769230769","0.130384615","0.746153846","90.90909091","14.87494515","0.154090909","3.722222222","3.766666667","21.55555556","25.32222222","0.733333333","0.666666667","0.113","0.646666667","86.66666667","4.294871795","4.346153846","24.87179487","29.21794872"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00021","","","","30","22","2","2","2","8","2","22","5","7","0.35","0.1","4.8","5","8","3","3","4","3","0.45","5.25","0.07","0.014285714","12","0.545454545","0.227272727","0.020454545","0.218181818","41.66666667","8.571428571","0.0375","0.388888889","0.5","5.333333333","5.833333333","0.4","0.166666667","0.015","0.16","73.33333333","0.53030303","0.681818182","7.272727273","7.954545455"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00022","","","","30","26","3","1","4","8","2","21","28","3","0.35","0.05","1.8","5","6","3","3","4","3","0.4","2.2","0.0125","0.016666667","31","1.476190476","1.333333333","0.019047619","0.085714286","90.32258065","18.18181818","0.012903226","0.388888889","0.444444444","2","2.444444444","1.033333333","0.933333333","0.013333333","0.06","70","0.555555556","0.634920635","2.857142857","3.492063492"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00023","","","","30","25","2","1","2","8","2","25","40","13","3.65","0.6","13.2","6","6","3","3","4","3","4.25","17.45","0.09125","0.046153846","53","2.12","1.6","0.17","0.528","75.47169811","24.35530086","0.080188679","4.055555556","4.722222222","14.66666667","19.38888889","1.766666667","1.333333333","0.141666667","0.44","83.33333333","4.866666667","5.666666667","17.6","23.26666667"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00024","","","","30","24","2","2","2","8","2","24","33","10","5.1","0.57","4.05","6","7","3","4","3","1","5.67","9.72","0.154545455","0.057","43","1.791666667","1.375","0.23625","0.16875","76.74418605","58.33333333","0.131860465","5.666666667","6.3","4.5","10.8","1.433333333","1.1","0.189","0.135","80","7.083333333","7.875","5.625","13.5"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00025","","","","30","30","1","1","2","8","1","28","4","5","0.85","0.1","1.75","3","5","3","3","3","3","0.95","2.7","0.2125","0.02","9","0.321428571","0.142857143","0.033928571","0.0625","44.44444444","35.18518519","0.105555556","0.944444444","1.055555556","1.944444444","3","0.3","0.133333333","0.031666667","0.058333333","93.33333333","1.011904762","1.130952381","2.083333333","3.214285714"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00026","","","","30","30","3","1","4","7","2","27","10","2","1.75","0.03","1.45","5","6","3","3","5","6","1.78","3.23","0.175","0.015","12","0.444444444","0.37037037","0.065925926","0.053703704","83.33333333","55.10835913","0.148333333","1.944444444","1.977777778","1.611111111","3.588888889","0.4","0.333333333","0.059333333","0.048333333","90","2.160493827","2.197530864","1.790123457","3.987654321"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00027","","","","30","24","3","1","4","7","2","24","0","0","0","0","1.45","","","","","","","0","1.45","","","0","0","0","0","0.060416667","","0","","0","0","1.611111111","1.611111111","0","0","0","0.048333333","80","0","0","2.013888889","2.013888889"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00028","","","","30","22","3","1","3","7","2","22","3","7","0.35","0.1","1.7","5","8","2","3","7","3","0.45","2.15","0.116666667","0.014285714","10","0.454545455","0.136363636","0.020454545","0.077272727","30","20.93023256","0.045","0.388888889","0.5","1.888888889","2.388888889","0.333333333","0.1","0.015","0.056666667","73.33333333","0.53030303","0.681818182","2.575757576","3.257575758"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00029","","","","30","25","3","1","5","7","2","25","15","4","1.5","0.08","1.1","5","6","2","2","4","3","1.58","2.68","0.1","0.02","19","0.76","0.6","0.0632","0.044","78.94736842","58.95522388","0.083157895","1.666666667","1.755555556","1.222222222","2.977777778","0.633333333","0.5","0.052666667","0.036666667","83.33333333","2","2.106666667","1.466666667","3.573333333"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00030","","","","30","22","2","1","2","8","2","22","21","8","4.55","0.2","5.3","6","7","4","4","3","4","4.75","10.05","0.216666667","0.025","29","1.318181818","0.954545455","0.215909091","0.240909091","72.4137931","47.26368159","0.163793103","5.055555556","5.277777778","5.888888889","11.16666667","0.966666667","0.7","0.158333333","0.176666667","73.33333333","6.893939394","7.196969697","8.03030303","15.22727273"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00031","","","","30","26","1","1","2","8","2","26","12","0","2.9","0","9.6","6","6","2","3","3","2","2.9","12.5","0.241666667","","12","0.461538462","0.461538462","0.111538462","0.369230769","100","23.2","0.241666667","3.222222222","3.222222222","10.66666667","13.88888889","0.4","0.4","0.096666667","0.32","86.66666667","3.717948718","3.717948718","12.30769231","16.02564103"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00032","","","","30","26","2","1","2","8","2","26","10","0","0.65","0","2.2","3","6","3","3","6","3","0.65","2.85","0.065","","10","0.384615385","0.384615385","0.025","0.084615385","100","22.80701754","0.065","0.722222222","0.722222222","2.444444444","3.166666667","0.333333333","0.333333333","0.021666667","0.073333333","86.66666667","0.833333333","0.833333333","2.820512821","3.653846154"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00033","","","","30","26","3","1","4","7","2","19","7","3","0.75","0.05","0.35","3","7","3","3","6","1","0.8","1.15","0.107142857","0.016666667","10","0.526315789","0.368421053","0.042105263","0.018421053","70","69.56521739","0.08","0.833333333","0.888888889","0.388888889","1.277777778","0.333333333","0.233333333","0.026666667","0.011666667","63.33333333","1.315789474","1.403508772","0.614035088","2.01754386"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00034","","","","30","22","2","1","2","9","2","22","25","0","6.15","0","10.01","6","2","3","3","2","3","6.15","16.16","0.246","","25","1.136363636","1.136363636","0.279545455","0.455","100","38.05693069","0.246","6.833333333","6.833333333","11.12222222","17.95555556","0.833333333","0.833333333","0.205","0.333666667","73.33333333","9.318181818","9.318181818","15.16666667","24.48484848"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00035","","","","30","26","1","1","2","8","2","26","34","11","4.15","0.63","7.9","6","6","6","4","4","1","4.78","12.68","0.122058824","0.057272727","45","1.730769231","1.307692308","0.183846154","0.303846154","75.55555556","37.69716088","0.106222222","4.611111111","5.311111111","8.777777778","14.08888889","1.5","1.133333333","0.159333333","0.263333333","86.66666667","5.320512821","6.128205128","10.12820513","16.25641026"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00036","","","","30","23","2","1","2","8","2","23","8","0","0.4","0","1.7","6","7","5","3","5","3","0.4","2.1","0.05","","8","0.347826087","0.347826087","0.017391304","0.073913043","100","19.04761905","0.05","0.444444444","0.444444444","1.888888889","2.333333333","0.266666667","0.266666667","0.013333333","0.056666667","76.66666667","0.579710145","0.579710145","2.463768116","3.043478261"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00037","","","","30","24","1","1","2","8","2","24","9","0","1.15","0","0.8","8","6","2","3","4","3","1.15","1.95","0.127777778","","9","0.375","0.375","0.047916667","0.033333333","100","58.97435897","0.127777778","1.277777778","1.277777778","0.888888889","2.166666667","0.3","0.3","0.038333333","0.026666667","80","1.597222222","1.597222222","1.111111111","2.708333333"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00038","","","","30","30","1","1","2","8","1","27","6","1","0.5","0.02","3.25","3","5","3","3","6","3","0.52","3.77","0.083333333","0.02","7","0.259259259","0.222222222","0.019259259","0.12037037","85.71428571","13.79310345","0.074285714","0.555555556","0.577777778","3.611111111","4.188888889","0.233333333","0.2","0.017333333","0.108333333","90","0.617283951","0.641975309","4.012345679","4.654320988"
"","","UGP2018SER-AT02","","","","","","","","","UGP2018SER-AT02-00039","","","","30","26","1","1","2","9","1","18","3","0","1.35","0","1.01","3","8","1","3","7","1","1.35","2.36","0.45","","3","0.166666667","0.166666667","0.075","0.056111111","100","57.20338983","0.45","1.5","1.5","1.122222222","2.622222222","0.1","0.1","0.045","0.033666667","60","2.5","2.5","1.87037037","4.37037037"
