"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00513","","","","10","8","3","3","1","4","3","8","3","4","6.42","0.1","2.5","4","7","1","1","3","7","6.52","9.02","7","2.14","0.025","0.931428571","0.875","0.7","0.375","0.3","0.815","0.652","0.3125","0.25","42.85714286","72.28381375","80","21.4","21.73333333","8.333333333","30.06666667","26.75","27.16666667","10.41666667","37.58333333"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00535","","","","10","8","2","2","2","4","3","8","20","3","8.7","0.06","7","4","7","2","1","8","1","8.76","15.76","23","0.435","0.02","0.380869565","2.875","2.3","2.5","2","1.095","0.876","0.875","0.7","86.95652174","55.58375635","80","29","29.2","23.33333333","52.53333333","36.25","36.5","29.16666667","65.66666667"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00558","","","","10","7","3","1","1","3","2","7","31","7","4.9","0.2","7.55","4","7","4","1","8","2","5.1","12.65","38","0.158064516","0.028571429","0.134210526","5.428571429","3.8","4.428571429","3.1","0.728571429","0.51","1.078571429","0.755","81.57894737","40.31620553","70","16.33333333","17","25.16666667","42.16666667","23.33333333","24.28571429","35.95238095","60.23809524"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00580","","","","10","7","2","2","1","4","3","7","3","2","0.95","0.02","2.65","4","6","3","1","3","5","0.97","3.62","5","0.316666667","0.01","0.194","0.714285714","0.5","0.428571429","0.3","0.138571429","0.097","0.378571429","0.265","60","26.79558011","70","3.166666667","3.233333333","8.833333333","12.06666667","4.523809524","4.619047619","12.61904762","17.23809524"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00602","","","","10","8","2","1","1","2","2","8","20","7","6","0.3","19.1","4","7","4","1","8","2","6.3","25.4","27","0.3","0.042857143","0.233333333","3.375","2.7","2.5","2","0.7875","0.63","2.3875","1.91","74.07407407","24.80314961","80","20","21","63.66666667","84.66666667","25","26.25","79.58333333","105.8333333"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00624","","","","10","9","3","2","2","4","3","9","1","1","0.3","0.01","1.15","4","7","2","1","3","5","0.31","1.46","2","0.3","0.01","0.155","0.222222222","0.2","0.111111111","0.1","0.034444444","0.031","0.127777778","0.115","50","21.23287671","90","1","1.033333333","3.833333333","4.866666667","1.111111111","1.148148148","4.259259259","5.407407407"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00625","","","","10","10","3","2","2","5","3","10","0","2","0","0.05","0.85","4","7","1","1","8","8","0.05","0.9","2","","0.025","0.025","0.2","0.2","0","0","0.005","0.005","0.085","0.085","0","5.555555556","100","0","0.166666667","2.833333333","3","0","0.166666667","2.833333333","3"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00647","","","","10","7","2","1","1","4","3","7","29","8","6.05","0.3","12.3","4","6","3","1","8","2","6.35","18.65","37","0.20862069","0.0375","0.171621622","5.285714286","3.7","4.142857143","2.9","0.907142857","0.635","1.757142857","1.23","78.37837838","34.04825737","70","20.16666667","21.16666667","41","62.16666667","28.80952381","30.23809524","58.57142857","88.80952381"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00669","","","","10","8","1","1","1","4","2","8","8","2","2.15","0.2","9.02","4","7","4","1","2","5","2.35","11.37","10","0.26875","0.1","0.235","1.25","1","1","0.8","0.29375","0.235","1.1275","0.902","80","20.66842568","80","7.166666667","7.833333333","30.06666667","37.9","8.958333333","9.791666667","37.58333333","47.375"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00691","","","","10","10","2","1","1","4","3","10","6","0","2.3","0","3.05","4","7","4","1","1","5","2.3","5.35","6","0.383333333","","0.383333333","0.6","0.6","0.6","0.6","0.23","0.23","0.305","0.305","100","42.99065421","100","7.666666667","7.666666667","10.16666667","17.83333333","7.666666667","7.666666667","10.16666667","17.83333333"
