"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00012","","","","5","1","2","3","1","2","1","3","0","0.24","0","0.2","1","5","5","0.12","0.24","0.44","3","0.08","","0.08","3","0.6","3","0.6","0.24","0.048","0.2","0.04","100","54.54545455","20","1.6","1.6","1.333333333","2.933333333","8","8","6.666666667","14.66666667"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00013","","","","5","5","3","6","1","2","5","16","4","1.8","0.1","1.6","1","4","3","1.38","1.9","3.5","20","0.1125","0.025","0.095","4","4","3.2","3.2","0.38","0.38","0.32","0.32","80","54.28571429","100","12","12.66666667","10.66666667","23.33333333","12","12.66666667","10.66666667","23.33333333"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00014","","","","5","5","7","8","1","2","5","11","0","1.6","0","6","1","4","4","1.38","1.6","7.6","11","0.145454545","","0.145454545","2.2","2.2","2.2","2.2","0.32","0.32","1.2","1.2","100","21.05263158","100","10.66666667","10.66666667","40","50.66666667","10.66666667","10.66666667","40","50.66666667"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00015","","","","5","3","2","3","1","4","3","10","7","0.8","0.1","0.3","6","3","1","0","0.9","1.2","17","0.08","0.014285714","0.052941176","5.666666667","3.4","3.333333333","2","0.3","0.18","0.1","0.06","58.82352941","75","60","5.333333333","6","2","8","8.888888889","10","3.333333333","13.33333333"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00016","","","","5","3","2","2","1","2","3","14","3","1","0.1","0.14","6","2","3","4.92","1.1","1.24","17","0.071428571","0.033333333","0.064705882","5.666666667","3.4","4.666666667","2.8","0.366666667","0.22","0.046666667","0.028","82.35294118","88.70967742","60","6.666666667","7.333333333","0.933333333","8.266666667","11.11111111","12.22222222","1.555555556","13.77777778"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00017","","","","5","4","2","3","1","2","4","15","2","4.2","0.08","1.2","6","3","5","1.38","4.28","5.48","17","0.28","0.04","0.251764706","4.25","3.4","3.75","3","1.07","0.856","0.3","0.24","88.23529412","78.10218978","80","28","28.53333333","8","36.53333333","35","35.66666667","10","45.66666667"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00018","","","","5","5","2","4","1","1","5","25","6","13","0.2","14","8","4","5","0","13.2","27.2","31","0.52","0.033333333","0.425806452","6.2","6.2","5","5","2.64","2.64","2.8","2.8","80.64516129","48.52941176","100","86.66666667","88","93.33333333","181.3333333","86.66666667","88","93.33333333","181.3333333"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00019","","","","5","0","","","","","0","0","0","0","0","0","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00020","","","","5","4","1","2","1","2","4","11","0","3.2","0","2","1","5","4","0","3.2","5.2","11","0.290909091","","0.290909091","2.75","2.2","2.75","2.2","0.8","0.64","0.5","0.4","100","61.53846154","80","21.33333333","21.33333333","13.33333333","34.66666667","26.66666667","26.66666667","16.66666667","43.33333333"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00021","","","","5","4","2","2","1","1","4","30","21","5","0.5","2.6","5","4","4","1.76","5.5","8.1","51","0.166666667","0.023809524","0.107843137","12.75","10.2","7.5","6","1.375","1.1","0.65","0.52","58.82352941","67.90123457","80","33.33333333","36.66666667","17.33333333","54","41.66666667","45.83333333","21.66666667","67.5"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00022","","","","5","5","3","4","1","3","5","9","3","2","0.08","0.3","6","5","5","4.41","2.08","2.38","12","0.222222222","0.026666667","0.173333333","2.4","2.4","1.8","1.8","0.416","0.416","0.06","0.06","75","87.39495798","100","13.33333333","13.86666667","2","15.86666667","13.33333333","13.86666667","2","15.86666667"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00023","","","","5","4","2","2","1","3","4","20","6","3.6","0.16","0.62","5","4","5","1.74","3.76","4.38","26","0.18","0.026666667","0.144615385","6.5","5.2","5","4","0.94","0.752","0.155","0.124","76.92307692","85.84474886","80","24","25.06666667","4.133333333","29.2","30","31.33333333","5.166666667","36.5"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00024","","","","5","4","1","2","1","2","4","10","2","1.4","0.08","7","8","5","5","1.38","1.48","8.48","12","0.14","0.04","0.123333333","3","2.4","2.5","2","0.37","0.296","1.75","1.4","83.33333333","17.45283019","80","9.333333333","9.866666667","46.66666667","56.53333333","11.66666667","12.33333333","58.33333333","70.66666667"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00025","","","","5","0","","","","","0","0","0","0","0","0","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00026","","","","5","4","3","4","1","3","4","7","1","0.4","0.02","4","1","4","2","1.38","0.42","4.42","8","0.057142857","0.02","0.0525","2","1.6","1.75","1.4","0.105","0.084","1","0.8","87.5","9.502262443","80","2.666666667","2.8","26.66666667","29.46666667","3.333333333","3.5","33.33333333","36.83333333"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00027","","","","5","4","6","7","1","2","4","7","1","0.6","0.01","1","1","4","5","0.15","0.61","1.61","8","0.085714286","0.01","0.07625","2","1.6","1.75","1.4","0.1525","0.122","0.25","0.2","87.5","37.88819876","80","4","4.066666667","6.666666667","10.73333333","5","5.083333333","8.333333333","13.41666667"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00028","","","","5","2","2","2","1","1","2","11","6","1.8","0.2","2","6","4","3","0","2","4","17","0.163636364","0.033333333","0.117647059","8.5","3.4","5.5","2.2","1","0.4","1","0.4","64.70588235","50","40","12","13.33333333","13.33333333","26.66666667","30","33.33333333","33.33333333","66.66666667"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00029","","","","5","0","","","","","0","0","0","0","0","0","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00030","","","","5","5","1","2","1","2","5","26","23","4","0.6","2","8","3","4","1.38","4.6","6.6","49","0.153846154","0.026086957","0.093877551","9.8","9.8","5.2","5.2","0.92","0.92","0.4","0.4","53.06122449","69.6969697","100","26.66666667","30.66666667","13.33333333","44","26.66666667","30.66666667","13.33333333","44"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00031","","","","5","2","2","2","1","3","2","5","0","0.8","0","15","6","4","4","0.69","0.8","15.8","5","0.16","","0.16","2.5","1","2.5","1","0.4","0.16","7.5","3","100","5.063291139","40","5.333333333","5.333333333","100","105.3333333","13.33333333","13.33333333","250","263.3333333"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00032","","","","5","5","3","3","1","1","5","19","2","8.8","0.1","4.5","8","5","5","0","8.9","13.4","21","0.463157895","0.05","0.423809524","4.2","4.2","3.8","3.8","1.78","1.78","0.9","0.9","90.47619048","66.41791045","100","58.66666667","59.33333333","30","89.33333333","58.66666667","59.33333333","30","89.33333333"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00033","","","","5","5","2","5","1","3","5","21","1","6","0.04","6","1","4","5","0","6.04","12.04","22","0.285714286","0.04","0.274545455","4.4","4.4","4.2","4.2","1.208","1.208","1.2","1.2","95.45454545","50.16611296","100","40","40.26666667","40","80.26666667","40","40.26666667","40","80.26666667"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00034","","","","5","1","2","2","1","1","1","7","0","1.6","0","1.8","6","4","5","4.41","1.6","3.4","7","0.228571429","","0.228571429","7","1.4","7","1.4","1.6","0.32","1.8","0.36","100","47.05882353","20","10.66666667","10.66666667","12","22.66666667","53.33333333","53.33333333","60","113.3333333"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00035","","","","5","5","2","4","1","3","5","19","10","3.6","0.4","0.2","1","4","3","4.41","4","4.2","29","0.189473684","0.04","0.137931034","5.8","5.8","3.8","3.8","0.8","0.8","0.04","0.04","65.51724138","95.23809524","100","24","26.66666667","1.333333333","28","24","26.66666667","1.333333333","28"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00036","","","","5","5","2","2","1","2","5","28","2","8.9","0.02","1.4","5","4","5","1.32","8.92","10.32","30","0.317857143","0.01","0.297333333","6","6","5.6","5.6","1.784","1.784","0.28","0.28","93.33333333","86.43410853","100","59.33333333","59.46666667","9.333333333","68.8","59.33333333","59.46666667","9.333333333","68.8"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00037","","","","5","1","1","2","1","1","1","11","4","1.2","0.08","8.4","8","5","4","4.41","1.28","9.68","15","0.109090909","0.02","0.085333333","15","3","11","2.2","1.28","0.256","8.4","1.68","73.33333333","13.2231405","20","8","8.533333333","56","64.53333333","40","42.66666667","280","322.6666667"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00038","","","","5","0","","","","","0","0","0","0","0","0","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00039","","","","5","5","3","5","1","2","5","12","13","4.2","0.3","2","1","4","4","1.38","4.5","6.5","25","0.35","0.023076923","0.18","5","5","2.4","2.4","0.9","0.9","0.4","0.4","48","69.23076923","100","28","30","13.33333333","43.33333333","28","30","13.33333333","43.33333333"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00040","","","","5","3","6","8","2","1","0","0","0","0","0","0","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
