"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01070","","","","10","10","7","2","1","2","1","10","14","40","2.8","1.6","4.1","4","7","1","8","4","1","4.4","8.5","54","0.2","0.04","0.081481481","5.4","5.4","1.4","1.4","0.44","0.44","0.41","0.41","25.92592593","51.76470588","100","9.333333333","14.66666667","13.66666667","28.33333333","9.333333333","14.66666667","13.66666667","28.33333333"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01080","","","","10","10","6","2","3","2","1","10","20","21","1.39","0.31","1.1","4","7","1","8","7","1","1.7","2.8","41","0.0695","0.014761905","0.041463415","4.1","4.1","2","2","0.17","0.17","0.11","0.11","48.7804878","60.71428571","100","4.633333333","5.666666667","3.666666667","9.333333333","4.633333333","5.666666667","3.666666667","9.333333333"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01090","","","","10","10","6","2","3","2","1","10","19","14","2.15","0.68","4.25","4","7","1","8","5","1","2.83","7.08","33","0.113157895","0.048571429","0.085757576","3.3","3.3","1.9","1.9","0.283","0.283","0.425","0.425","57.57575758","39.97175141","100","7.166666667","9.433333333","14.16666667","23.6","7.166666667","9.433333333","14.16666667","23.6"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01100","","","","10","4","3","3","2","2","1","4","2","3","0.11","0.07","0.2","4","6","1","3","6","1","0.18","0.38","5","0.055","0.023333333","0.036","1.25","0.5","0.5","0.2","0.045","0.018","0.05","0.02","40","47.36842105","40","0.366666667","0.6","0.666666667","1.266666667","0.916666667","1.5","1.666666667","3.166666667"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01110","","","","10","8","7","2","2","2","2","8","18","13","2.13","0.46","4.62","4","7","1","8","5","1","2.59","7.21","31","0.118333333","0.035384615","0.083548387","3.875","3.1","2.25","1.8","0.32375","0.259","0.5775","0.462","58.06451613","35.9223301","80","7.1","8.633333333","15.4","24.03333333","8.875","10.79166667","19.25","30.04166667"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01120","","","","10","9","6","2","3","2","1","9","18","9","0.99","0.18","1.2","4","7","1","8","5","3","1.17","2.37","27","0.055","0.02","0.043333333","3","2.7","2","1.8","0.13","0.117","0.133333333","0.12","66.66666667","49.36708861","90","3.3","3.9","4","7.9","3.666666667","4.333333333","4.444444444","8.777777778"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01130","","","","10","9","7","2","2","2","1","9","6","11","0.84","0.36","3.52","4","7","1","8","4","1","1.2","4.72","17","0.14","0.032727273","0.070588235","1.888888889","1.7","0.666666667","0.6","0.133333333","0.12","0.391111111","0.352","35.29411765","25.42372881","90","2.8","4","11.73333333","15.73333333","3.111111111","4.444444444","13.03703704","17.48148148"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01140","","","","10","3","4","1","2","1","1","3","7","8","0.39","0.17","2","4","7","1","8","7","1","0.56","2.56","15","0.055714286","0.02125","0.037333333","5","1.5","2.333333333","0.7","0.186666667","0.056","0.666666667","0.2","46.66666667","21.875","30","1.3","1.866666667","6.666666667","8.533333333","4.333333333","6.222222222","22.22222222","28.44444444"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01150","","","","10","7","5","2","2","2","1","7","24","7","2.5","0.31","9.6","4","7","1","8","4","1","2.81","12.41","31","0.104166667","0.044285714","0.090645161","4.428571429","3.1","3.428571429","2.4","0.401428571","0.281","1.371428571","0.96","77.41935484","22.64302981","70","8.333333333","9.366666667","32","41.36666667","11.9047619","13.38095238","45.71428571","59.0952381"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01158","","","","10","10","7","1","2","2","1","10","14","51","0.78","0.98","0.4","4","7","1","8","7","1","1.76","2.16","65","0.055714286","0.019215686","0.027076923","6.5","6.5","1.4","1.4","0.176","0.176","0.04","0.04","21.53846154","81.48148148","100","2.6","5.866666667","1.333333333","7.2","2.6","5.866666667","1.333333333","7.2"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01166","","","","10","8","8","1","1","2","1","8","7","15","1.86","0.46","2.3","4","7","1","8","4","1","2.32","4.62","22","0.265714286","0.030666667","0.105454545","2.75","2.2","0.875","0.7","0.29","0.232","0.2875","0.23","31.81818182","50.21645022","80","6.2","7.733333333","7.666666667","15.4","7.75","9.666666667","9.583333333","19.25"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01174","","","","10","8","7","1","2","2","1","8","6","40","0.37","0.69","1.1","4","7","1","8","8","1","1.06","2.16","46","0.061666667","0.01725","0.023043478","5.75","4.6","0.75","0.6","0.1325","0.106","0.1375","0.11","13.04347826","49.07407407","80","1.233333333","3.533333333","3.666666667","7.2","1.541666667","4.416666667","4.583333333","9"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01182","","","","10","10","7","2","1","3","1","10","9","11","0.53","0.22","1","4","7","1","6","5","1","0.75","1.75","20","0.058888889","0.02","0.0375","2","2","0.9","0.9","0.075","0.075","0.1","0.1","45","42.85714286","100","1.766666667","2.5","3.333333333","5.833333333","1.766666667","2.5","3.333333333","5.833333333"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01190","","","","10","8","7","3","1","2","1","7","6","8","0.37","0.24","0.185","2","7","4","9","6","3","0.61","0.795","14","0.061666667","0.03","0.043571429","2","1.4","0.857142857","0.6","0.087142857","0.061","0.026428571","0.0185","42.85714286","76.72955975","70","1.233333333","2.033333333","0.616666667","2.65","1.761904762","2.904761905","0.880952381","3.785714286"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01196","","","","10","9","7","3","1","2","1","9","4","9","0.67","0.02","0.6","2","7","2","9","6","4","0.69","1.29","13","0.1675","0.002222222","0.053076923","1.444444444","1.3","0.444444444","0.4","0.076666667","0.069","0.066666667","0.06","30.76923077","53.48837209","90","2.233333333","2.3","2","4.3","2.481481481","2.555555556","2.222222222","4.777777778"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01198","","","","10","9","6","2","1","2","1","9","6","3","0.4","0.05","0.6","2","7","2","3","5","1","0.45","1.05","9","0.066666667","0.016666667","0.05","1","0.9","0.666666667","0.6","0.05","0.045","0.066666667","0.06","66.66666667","42.85714286","90","1.333333333","1.5","2","3.5","1.481481481","1.666666667","2.222222222","3.888888889"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-00120","","","","10","10","5","2","4","2","2","10","7","7","0.15","0.02","0.31","4","7","1","3","5","1","0.17","0.48","14","0.021428571","0.002857143","0.012142857","1.4","1.4","0.7","0.7","0.017","0.017","0.031","0.031","50","35.41666667","100","0.5","0.566666667","1.033333333","1.6","0.5","0.566666667","1.033333333","1.6"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01206","","","","10","10","7","2","2","2","1","10","7","8","0.44","0.23","0.65","2","7","1","7","6","1","0.67","1.32","15","0.062857143","0.02875","0.044666667","1.5","1.5","0.7","0.7","0.067","0.067","0.065","0.065","46.66666667","50.75757576","100","1.466666667","2.233333333","2.166666667","4.4","1.466666667","2.233333333","2.166666667","4.4"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01214","","","","10","9","8","2","1","2","1","9","9","10","0.67","0.22","1.2","2","7","2","9","6","3","0.89","2.09","19","0.074444444","0.022","0.046842105","2.111111111","1.9","1","0.9","0.098888889","0.089","0.133333333","0.12","47.36842105","42.58373206","90","2.233333333","2.966666667","4","6.966666667","2.481481481","3.296296296","4.444444444","7.740740741"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01222","","","","10","10","6","2","2","2","1","10","5","8","0.45","0.34","0.75","4","7","2","9","6","1","0.79","1.54","13","0.09","0.0425","0.060769231","1.3","1.3","0.5","0.5","0.079","0.079","0.075","0.075","38.46153846","51.2987013","100","1.5","2.633333333","2.5","5.133333333","1.5","2.633333333","2.5","5.133333333"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01230","","","","10","7","6","1","2","2","2","7","1","6","0.1","0.15","0.8","2","7","1","9","7","1","0.25","1.05","7","0.1","0.025","0.035714286","1","0.7","0.142857143","0.1","0.035714286","0.025","0.114285714","0.08","14.28571429","23.80952381","70","0.333333333","0.833333333","2.666666667","3.5","0.476190476","1.19047619","3.80952381","5"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01238","","","","10","5","7","1","2","2","2","5","3","5","0.68","0.18","0.5","4","7","2","9","4","1","0.86","1.36","8","0.226666667","0.036","0.1075","1.6","0.8","0.6","0.3","0.172","0.086","0.1","0.05","37.5","63.23529412","50","2.266666667","2.866666667","1.666666667","4.533333333","4.533333333","5.733333333","3.333333333","9.066666667"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01246","","","","10","8","7","2","3","2","2","8","2","11","0.16","0.28","0.5","2","7","2","9","3","1","0.44","0.94","13","0.08","0.025454545","0.033846154","1.625","1.3","0.25","0.2","0.055","0.044","0.0625","0.05","15.38461538","46.80851064","80","0.533333333","1.466666667","1.666666667","3.133333333","0.666666667","1.833333333","2.083333333","3.916666667"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01254","","","","10","7","7","1","2","2","2","7","11","6","1.5","0.2","0.35","4","7","3","9","5","1","1.7","2.05","17","0.136363636","0.033333333","0.1","2.428571429","1.7","1.571428571","1.1","0.242857143","0.17","0.05","0.035","64.70588235","82.92682927","70","5","5.666666667","1.166666667","6.833333333","7.142857143","8.095238095","1.666666667","9.761904762"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01262","","","","10","8","6","2","2","2","2","8","9","7","0.89","0.25","1.05","4","7","1","8","4","1","1.14","2.19","16","0.098888889","0.035714286","0.07125","2","1.6","1.125","0.9","0.1425","0.114","0.13125","0.105","56.25","52.05479452","80","2.966666667","3.8","3.5","7.3","3.708333333","4.75","4.375","9.125"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01270","","","","10","9","6","2","2","2","1","9","5","4","0.55","0.03","0.3","4","7","2","8","4","1","0.58","0.88","9","0.11","0.0075","0.064444444","1","0.9","0.555555556","0.5","0.064444444","0.058","0.033333333","0.03","55.55555556","65.90909091","90","1.833333333","1.933333333","1","2.933333333","2.037037037","2.148148148","1.111111111","3.259259259"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01278","","","","10","10","7","2","2","2","2","9","3","10","0.3","0.2","1.1","4","7","1","8","5","1","0.5","1.6","13","0.1","0.02","0.038461538","1.444444444","1.3","0.333333333","0.3","0.055555556","0.05","0.122222222","0.11","23.07692308","31.25","90","1","1.666666667","3.666666667","5.333333333","1.111111111","1.851851852","4.074074074","5.925925926"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01286","","","","10","8","5","3","1","2","2","8","3","14","0.1","0.17","0.2","4","7","1","3","7","1","0.27","0.47","17","0.033333333","0.012142857","0.015882353","2.125","1.7","0.375","0.3","0.03375","0.027","0.025","0.02","17.64705882","57.44680851","80","0.333333333","0.9","0.666666667","1.566666667","0.416666667","1.125","0.833333333","1.958333333"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01292","","","","10","8","7","2","2","2","1","8","7","10","0.64","0.17","0.25","4","7","1","8","5","1","0.81","1.06","17","0.091428571","0.017","0.047647059","2.125","1.7","0.875","0.7","0.10125","0.081","0.03125","0.025","41.17647059","76.41509434","80","2.133333333","2.7","0.833333333","3.533333333","2.666666667","3.375","1.041666667","4.416666667"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01294","","","","10","9","8","2","1","1","3","9","4","14","0.28","0.32","1.55","4","7","1","8","6","1","0.6","2.15","18","0.07","0.022857143","0.033333333","2","1.8","0.444444444","0.4","0.066666667","0.06","0.172222222","0.155","22.22222222","27.90697674","90","0.933333333","2","5.166666667","7.166666667","1.037037037","2.222222222","5.740740741","7.962962963"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01302","","","","10","5","5","2","1","2","1","5","0","1","0","0.03","0.3","2","6","1","9","9","1","0.03","0.33","1","","0.03","0.03","0.2","0.1","0","0","0.006","0.003","0.06","0.03","0","9.090909091","50","0","0.1","1","1.1","0","0.2","2","2.2"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01310","","","","10","7","7","2","3","1","2","7","3","8","0.25","0.2","0.85","4","6","1","8","7","1","0.45","1.3","11","0.083333333","0.025","0.040909091","1.571428571","1.1","0.428571429","0.3","0.064285714","0.045","0.121428571","0.085","27.27272727","34.61538462","70","0.833333333","1.5","2.833333333","4.333333333","1.19047619","2.142857143","4.047619048","6.19047619"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01318","","","","10","10","4","1","1","1","2","10","6","13","0.4","0.3","0.35","4","7","1","3","5","1","0.7","1.05","19","0.066666667","0.023076923","0.036842105","1.9","1.9","0.6","0.6","0.07","0.07","0.035","0.035","31.57894737","66.66666667","100","1.333333333","2.333333333","1.166666667","3.5","1.333333333","2.333333333","1.166666667","3.5"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01326","","","","10","8","6","2","4","2","2","8","2","11","0.2","0.2","0.4","4","7","3","9","6","1","0.4","0.8","13","0.1","0.018181818","0.030769231","1.625","1.3","0.25","0.2","0.05","0.04","0.05","0.04","15.38461538","50","80","0.666666667","1.333333333","1.333333333","2.666666667","0.833333333","1.666666667","1.666666667","3.333333333"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01327","","","","10","9","5","2","3","2","2","9","1","4","0.18","0.09","0.13","4","6","1","7","3","1","0.27","0.4","5","0.18","0.0225","0.054","0.555555556","0.5","0.111111111","0.1","0.03","0.027","0.014444444","0.013","20","67.5","90","0.6","0.9","0.433333333","1.333333333","0.666666667","1","0.481481481","1.481481481"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-00134","","","","10","10","3","1","4","2","2","10","0","7","0","0.09","0.17","4","7","1","3","7","1","0.09","0.26","7","","0.012857143","0.012857143","0.7","0.7","0","0","0.009","0.009","0.017","0.017","0","34.61538462","100","0","0.3","0.566666667","0.866666667","0","0.3","0.566666667","0.866666667"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01345","","","","10","8","6","2","4","2","1","8","5","22","0.2","0.46","0.45","4","7","3","9","7","1","0.66","1.11","27","0.04","0.020909091","0.024444444","3.375","2.7","0.625","0.5","0.0825","0.066","0.05625","0.045","18.51851852","59.45945946","80","0.666666667","2.2","1.5","3.7","0.833333333","2.75","1.875","4.625"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01355","","","","10","10","5","2","3","2","2","10","0","18","0","0.36","0.5","4","6","3","9","6","1","0.36","0.86","18","","0.02","0.02","1.8","1.8","0","0","0.036","0.036","0.05","0.05","0","41.86046512","100","0","1.2","1.666666667","2.866666667","0","1.2","1.666666667","2.866666667"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01365","","","","10","8","4","2","3","2","2","8","0","0","0","0","0.03","","","","","","","0","0.03","0","","","","0","0","0","0","0","0","0.00375","0.003","","0","80","0","0","0.1","0.1","0","0","0.125","0.125"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01383","","","","10","10","7","3","3","2","2","10","5","23","0.49","0.49","1.15","4","7","3","9","6","1","0.98","2.13","28","0.098","0.021304348","0.035","2.8","2.8","0.5","0.5","0.098","0.098","0.115","0.115","17.85714286","46.00938967","100","1.633333333","3.266666667","3.833333333","7.1","1.633333333","3.266666667","3.833333333","7.1"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01393","","","","10","10","5","2","4","3","1","10","0","0","0","0","0.12","","","","","","","0","0.12","0","","","","0","0","0","0","0","0","0.012","0.012","","0","100","0","0","0.4","0.4","0","0","0.4","0.4"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01403","","","","10","7","6","3","3","2","3","7","0","0","0","0","0.25","","","","","","","0","0.25","0","","","","0","0","0","0","0","0","0.035714286","0.025","","0","70","0","0","0.833333333","0.833333333","0","0","1.19047619","1.19047619"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01417","","","","10","7","5","3","3","3","1","7","1","4","0.08","0.18","0.65","4","7","1","8","4","1","0.26","0.91","5","0.08","0.045","0.052","0.714285714","0.5","0.142857143","0.1","0.037142857","0.026","0.092857143","0.065","20","28.57142857","70","0.266666667","0.866666667","2.166666667","3.033333333","0.380952381","1.238095238","3.095238095","4.333333333"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01425","","","","10","4","5","2","4","2","2","4","2","7","0.09","0.08","0.4","4","7","1","3","7","1","0.17","0.57","9","0.045","0.011428571","0.018888889","2.25","0.9","0.5","0.2","0.0425","0.017","0.1","0.04","22.22222222","29.8245614","40","0.3","0.566666667","1.333333333","1.9","0.75","1.416666667","3.333333333","4.75"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01433","","","","10","3","4","2","3","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01447","","","","10","7","6","2","4","2","2","7","0","7","0","0.14","0.03","2","6","1","9","9","1","0.14","0.17","7","","0.02","0.02","1","0.7","0","0","0.02","0.014","0.004285714","0.003","0","82.35294118","70","0","0.466666667","0.1","0.566666667","0","0.666666667","0.142857143","0.80952381"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01455","","","","10","8","6","3","3","2","2","8","1","8","0.1","0.05","0.2","2","6","1","1","8","3","0.15","0.35","9","0.1","0.00625","0.016666667","1.125","0.9","0.125","0.1","0.01875","0.015","0.025","0.02","11.11111111","42.85714286","80","0.333333333","0.5","0.666666667","1.166666667","0.416666667","0.625","0.833333333","1.458333333"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01463","","","","10","7","5","3","3","2","2","7","0","4","0","0.06","0.3","2","6","1","7","6","4","0.06","0.36","4","","0.015","0.015","0.571428571","0.4","0","0","0.008571429","0.006","0.042857143","0.03","0","16.66666667","70","0","0.2","1","1.2","0","0.285714286","1.428571429","1.714285714"
