"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00011","","","","30","23","1","2","8","3","3","23","35","5","6.45","0.4","10.9","6","4","4","3","1","1.38","6.85","17.75","40","0.184285714","0.08","0.17125","1.739130435","1.333333333","1.52173913","1.166666667","0.297826087","0.228333333","0.473913043","0.363333333","87.5","38.5915493","76.66666667","7.166666667","7.611111111","12.11111111","19.72222222","9.347826087","9.927536232","15.79710145","25.72463768"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00012","","","","30","25","2","2","7","3","3","25","70","22","13.1","0.85","8.8","6","4","6","2","3","1.38","13.95","22.75","92","0.187142857","0.038636364","0.151630435","3.68","3.066666667","2.8","2.333333333","0.558","0.465","0.352","0.293333333","76.08695652","61.31868132","83.33333333","14.55555556","15.5","9.777777778","25.27777778","17.46666667","18.6","11.73333333","30.33333333"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00013","","","","30","30","1","2","8","3","2","29","67","23","13.5","1.45","36","6","2","4","2","3","0","14.95","50.95","90","0.201492537","0.063043478","0.166111111","3.103448276","3","2.310344828","2.233333333","0.515517241","0.498333333","1.24137931","1.2","74.44444444","29.34249264","96.66666667","15","16.61111111","40","56.61111111","15.51724138","17.18390805","41.37931034","58.56321839"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00014","","","","30","30","2","2","7","2","2","28","84","104","9.9","2.4","6.85","3","3","4","3","4","0.15","12.3","19.15","188","0.117857143","0.023076923","0.065425532","6.714285714","6.266666667","3","2.8","0.439285714","0.41","0.244642857","0.228333333","44.68085106","64.22976501","93.33333333","11","13.66666667","7.611111111","21.27777778","11.78571429","14.64285714","8.154761905","22.79761905"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00015","","","","30","30","2","2","8","3","3","29","70","42","8.7","1.05","5.67","3","3","3","5","4","1.38","9.75","15.42","112","0.124285714","0.025","0.087053571","3.862068966","3.733333333","2.413793103","2.333333333","0.336206897","0.325","0.195517241","0.189","62.5","63.22957198","96.66666667","9.666666667","10.83333333","6.3","17.13333333","10","11.20689655","6.517241379","17.72413793"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00016","","","","30","28","1","2","8","2","2","28","24","32","2.3","0.8","20.2","3","2","3","5","1","1.65","3.1","23.3","56","0.095833333","0.025","0.055357143","2","1.866666667","0.857142857","0.8","0.110714286","0.103333333","0.721428571","0.673333333","42.85714286","13.30472103","93.33333333","2.555555556","3.444444444","22.44444444","25.88888889","2.738095238","3.69047619","24.04761905","27.73809524"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00017","","","","30","25","1","2","8","3","3","25","50","9","6.8","0.6","12.3","6","2","3","3","3","0","7.4","19.7","59","0.136","0.066666667","0.125423729","2.36","1.966666667","2","1.666666667","0.296","0.246666667","0.492","0.41","84.74576271","37.56345178","83.33333333","7.555555556","8.222222222","13.66666667","21.88888889","9.066666667","9.866666667","16.4","26.26666667"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00018","","","","30","30","1","2","7","4","3","30","40","3","4.6","0.5","5.7","8","2","7","4","1","1.38","5.1","10.8","43","0.115","0.166666667","0.118604651","1.433333333","1.433333333","1.333333333","1.333333333","0.17","0.17","0.19","0.19","93.02325581","47.22222222","100","5.111111111","5.666666667","6.333333333","12","5.111111111","5.666666667","6.333333333","12"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00019","","","","30","23","2","2","5","5","5","23","0","1","0","0.01","0.7","5","1","3","8","1","0.02","0.01","0.71","1","","0.01","0.01","0.043478261","0.033333333","0","0","0.000434783","0.000333333","0.030434783","0.023333333","0","1.408450704","76.66666667","0","0.011111111","0.777777778","0.788888889","0","0.014492754","1.014492754","1.028985507"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00020","","","","30","25","2","2","7","3","3","25","35","16","2.85","0.55","2.05","2","3","3","6","3","1.65","3.4","5.45","51","0.081428571","0.034375","0.066666667","2.04","1.7","1.4","1.166666667","0.136","0.113333333","0.082","0.068333333","68.62745098","62.3853211","83.33333333","3.166666667","3.777777778","2.277777778","6.055555556","3.8","4.533333333","2.733333333","7.266666667"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00021","","","","30","30","3","2","7","5","5","29","20","18","1.5","0.7","0.9","5","2","3","5","3","1.65","2.2","3.1","38","0.075","0.038888889","0.057894737","1.310344828","1.266666667","0.689655172","0.666666667","0.075862069","0.073333333","0.031034483","0.03","52.63157895","70.96774194","96.66666667","1.666666667","2.444444444","1","3.444444444","1.724137931","2.528735632","1.034482759","3.563218391"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00022","","","","30","30","1","3","8","6","4","29","36","27","6.2","0.75","5.9","2","3","7","3","2","0.12","6.95","12.85","63","0.172222222","0.027777778","0.11031746","2.172413793","2.1","1.24137931","1.2","0.239655172","0.231666667","0.203448276","0.196666667","57.14285714","54.08560311","96.66666667","6.888888889","7.722222222","6.555555556","14.27777778","7.126436782","7.988505747","6.781609195","14.77011494"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00023","","","","30","26","2","3","8","3","3","26","42","5","26","1.05","6.4","8","3","4","3","2","1.38","27.05","33.45","47","0.619047619","0.21","0.575531915","1.807692308","1.566666667","1.615384615","1.4","1.040384615","0.901666667","0.246153846","0.213333333","89.36170213","80.86696562","86.66666667","28.88888889","30.05555556","7.111111111","37.16666667","33.33333333","34.67948718","8.205128205","42.88461538"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00024","","","","30","30","2","2","6","3","4","30","57","6","7","0.35","3.8","6","3","2","3","1","0.15","7.35","11.15","63","0.122807018","0.058333333","0.116666667","2.1","2.1","1.9","1.9","0.245","0.245","0.126666667","0.126666667","90.47619048","65.91928251","100","7.777777778","8.166666667","4.222222222","12.38888889","7.777777778","8.166666667","4.222222222","12.38888889"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00025","","","","30","23","1","2","8","6","3","23","47","26","5.7","0.8","3.9","8","3","3","3","3","0","6.5","10.4","73","0.121276596","0.030769231","0.089041096","3.173913043","2.433333333","2.043478261","1.566666667","0.282608696","0.216666667","0.169565217","0.13","64.38356164","62.5","76.66666667","6.333333333","7.222222222","4.333333333","11.55555556","8.260869565","9.420289855","5.652173913","15.07246377"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00026","","","","30","28","2","2","4","5","5","28","49","30","5.6","0.55","3.6","8","3","7","4","1","1.38","6.15","9.75","79","0.114285714","0.018333333","0.077848101","2.821428571","2.633333333","1.75","1.633333333","0.219642857","0.205","0.128571429","0.12","62.02531646","63.07692308","93.33333333","6.222222222","6.833333333","4","10.83333333","6.666666667","7.321428571","4.285714286","11.60714286"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00027","","","","30","30","1","2","8","3","3","29","44","17","8.2","0.6","18.3","6","3","3","3","4","0","8.8","27.1","61","0.186363636","0.035294118","0.144262295","2.103448276","2.033333333","1.517241379","1.466666667","0.303448276","0.293333333","0.631034483","0.61","72.13114754","32.47232472","96.66666667","9.111111111","9.777777778","20.33333333","30.11111111","9.425287356","10.11494253","21.03448276","31.14942529"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00028","","","","30","20","1","2","8","7","4","20","1","27","3.7","0.7","3.2","8","3","3","4","3","0.15","4.4","7.6","28","3.7","0.025925926","0.157142857","1.4","0.933333333","0.05","0.033333333","0.22","0.146666667","0.16","0.106666667","3.571428571","57.89473684","66.66666667","4.111111111","4.888888889","3.555555556","8.444444444","6.166666667","7.333333333","5.333333333","12.66666667"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00029","","","","30","29","2","2","7","3","3","29","54","36","5.9","1.1","8.4","3","2","3","3","3","0.02","7","15.4","90","0.109259259","0.030555556","0.077777778","3.103448276","3","1.862068966","1.8","0.24137931","0.233333333","0.289655172","0.28","60","45.45454545","96.66666667","6.555555556","7.777777778","9.333333333","17.11111111","6.781609195","8.045977011","9.655172414","17.70114943"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00030","","","","30","27","2","2","7","3","4","27","34","68","3.25","2.25","7.3","3","3","3","4","3","1.38","5.5","12.8","102","0.095588235","0.033088235","0.053921569","3.777777778","3.4","1.259259259","1.133333333","0.203703704","0.183333333","0.27037037","0.243333333","33.33333333","42.96875","90","3.611111111","6.111111111","8.111111111","14.22222222","4.012345679","6.790123457","9.012345679","15.80246914"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00031","","","","30","18","3","2","7","7","8","18","2","0","0.35","0","2.6","5","1","3","6","1","0.12","0.35","2.95","2","0.175","","0.175","0.111111111","0.066666667","0.111111111","0.066666667","0.019444444","0.011666667","0.144444444","0.086666667","100","11.86440678","60","0.388888889","0.388888889","2.888888889","3.277777778","0.648148148","0.648148148","4.814814815","5.462962963"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00032","","","","30","27","3","2","8","3","3","27","60","55","6.1","1.5","4.9","4","4","3","4","4","0","7.6","12.5","115","0.101666667","0.027272727","0.066086957","4.259259259","3.833333333","2.222222222","2","0.281481481","0.253333333","0.181481481","0.163333333","52.17391304","60.8","90","6.777777778","8.444444444","5.444444444","13.88888889","7.530864198","9.382716049","6.049382716","15.43209877"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00033","","","","30","25","2","2","8","3","3","25","15","9","2.7","0.5","12.8","6","2","3","3","1","1.38","3.2","16","24","0.18","0.055555556","0.133333333","0.96","0.8","0.6","0.5","0.128","0.106666667","0.512","0.426666667","62.5","20","83.33333333","3","3.555555556","14.22222222","17.77777778","3.6","4.266666667","17.06666667","21.33333333"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00034","","","","30","24","3","2","7","7","6","24","11","16","0.8","0.45","4.3","5","3","3","3","1","1.38","1.25","5.55","27","0.072727273","0.028125","0.046296296","1.125","0.9","0.458333333","0.366666667","0.052083333","0.041666667","0.179166667","0.143333333","40.74074074","22.52252252","80","0.888888889","1.388888889","4.777777778","6.166666667","1.111111111","1.736111111","5.972222222","7.708333333"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00035","","","","30","30","1","2","8","3","3","29","11","10","0.9","0.3","9","3","1","3","3","4","1.65","1.2","10.2","21","0.081818182","0.03","0.057142857","0.724137931","0.7","0.379310345","0.366666667","0.04137931","0.04","0.310344828","0.3","52.38095238","11.76470588","96.66666667","1","1.333333333","10","11.33333333","1.034482759","1.379310345","10.34482759","11.72413793"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00036","","","","30","30","2","2","8","3","3","29","49","22","6","0.7","2","6","4","4","4","3","0","6.7","8.7","71","0.12244898","0.031818182","0.094366197","2.448275862","2.366666667","1.689655172","1.633333333","0.231034483","0.223333333","0.068965517","0.066666667","69.01408451","77.01149425","96.66666667","6.666666667","7.444444444","2.222222222","9.666666667","6.896551724","7.701149425","2.298850575","10"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00037","","","","30","25","3","2","8","4","3","25","28","15","3.1","0.7","2.4","8","2","4","3","1","0.15","3.8","6.2","43","0.110714286","0.046666667","0.088372093","1.72","1.433333333","1.12","0.933333333","0.152","0.126666667","0.096","0.08","65.11627907","61.29032258","83.33333333","3.444444444","4.222222222","2.666666667","6.888888889","4.133333333","5.066666667","3.2","8.266666667"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00038","","","","30","25","2","2","8","4","3","25","21","16","2.7","0.8","4.2","3","3","3","3","1","0","3.5","7.7","37","0.128571429","0.05","0.094594595","1.48","1.233333333","0.84","0.7","0.14","0.116666667","0.168","0.14","56.75675676","45.45454545","83.33333333","3","3.888888889","4.666666667","8.555555556","3.6","4.666666667","5.6","10.26666667"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00039","","","","30","30","2","3","8","7","8","28","36","18","3.8","0.45","1","8","3","6","3","1","1.38","4.25","5.25","54","0.105555556","0.025","0.078703704","1.928571429","1.8","1.285714286","1.2","0.151785714","0.141666667","0.035714286","0.033333333","66.66666667","80.95238095","93.33333333","4.222222222","4.722222222","1.111111111","5.833333333","4.523809524","5.05952381","1.19047619","6.25"
