"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00041","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00042","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00043","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00044","","","","3","1","2","2","6","1","2","1","0","0","0","0","0.2","","","","","","","0","0.2","","","0","0","0","0","0","0","0","0.2","0.066666667","","0","33.33333333","0","0","2.222222222","2.222222222","","0","0","6.666666667","6.666666667"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00045","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00046","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00047","","","","3","3","2","2","7","1","2","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00048","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00049","","","","3","1","2","4","7","1","2","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00050","","","","3","3","2","2","7","1","2","1","0","0","0","0","0.9","","","","","","","0","0.9","","","0","0","0","0","0","0","0","0.9","0.3","","0","33.33333333","0","0","10","10","","0","0","30","30"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00051","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00052","","","","3","1","1","1","5","1","1","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00053","","","","3","2","1","1","6","1","1","2","0","0","0","0","3","","","","","","","0","3","","","0","0","0","0","0","0","0","1.5","1","","0","66.66666667","0","0","33.33333333","33.33333333","","0","0","50","50"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00054","","","","3","3","1","2","7","1","2","3","0","0","0","0","1.3","","","","","","","0","1.3","","","0","0","0","0","0","0","0","0.433333333","0.433333333","","0","100","0","0","14.44444444","14.44444444","","0","0","14.44444444","14.44444444"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00055","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00056","","","","3","2","1","2","9","1","1","2","0","0","0","0","6.8","","","","","","","0","6.8","","","0","0","0","0","0","0","0","3.4","2.266666667","","0","66.66666667","0","0","75.55555556","75.55555556","","0","0","113.3333333","113.3333333"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00057","","","","3","2","1","2","8","1","2","2","0","0","0","0","1.4","","","","","","","0","1.4","","","0","0","0","0","0","0","0","0.7","0.466666667","","0","66.66666667","0","0","15.55555556","15.55555556","","0","0","23.33333333","23.33333333"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00058","","","","3","1","2","2","6","1","2","1","0","0","0","0","0.9","","","","","","","0","0.9","","","0","0","0","0","0","0","0","0.9","0.3","","0","33.33333333","0","0","10","10","","0","0","30","30"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00059","","","","3","2","2","3","6","1","3","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00060","","","","3","2","3","3","6","1","2","1","0","0","0","0","2.8","","","","","","","0","2.8","","","0","0","0","0","0","0","0","2.8","0.933333333","","0","33.33333333","0","0","31.11111111","31.11111111","","0","0","93.33333333","93.33333333"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00061","","","","3","2","1","3","7","1","2","1","0","0","0","0","1.6","","","","","","","0","1.6","","","0","0","0","0","0","0","0","1.6","0.533333333","","0","33.33333333","0","0","17.77777778","17.77777778","","0","0","53.33333333","53.33333333"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00062","","","","3","2","2","3","5","1","2","1","0","0","0","0","5","","","","","","","0","5","","","0","0","0","0","0","0","0","5","1.666666667","","0","33.33333333","0","0","55.55555556","55.55555556","","0","0","166.6666667","166.6666667"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00063","","","","3","2","2","3","6","1","2","2","0","0","0","0","3.6","","","","","","","0","3.6","","","0","0","0","0","0","0","0","1.8","1.2","","0","66.66666667","0","0","40","40","","0","0","60","60"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00064","","","","3","3","2","2","7","1","2","1","0","0","0","0","2.8","","","","","","","0","2.8","","","0","0","0","0","0","0","0","2.8","0.933333333","","0","33.33333333","0","0","31.11111111","31.11111111","","0","0","93.33333333","93.33333333"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00065","","","","3","3","2","3","7","1","2","1","0","0","0","0","1.4","","","","","","","0","1.4","","","0","0","0","0","0","0","0","1.4","0.466666667","","0","33.33333333","0","0","15.55555556","15.55555556","","0","0","46.66666667","46.66666667"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00066","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00067","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00068","","","","3","2","2","2","7","1","2","1","0","0","0","0","1.5","","","","","","","0","1.5","","","0","0","0","0","0","0","0","1.5","0.5","","0","33.33333333","0","0","16.66666667","16.66666667","","0","0","50","50"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00069","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00070","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00071","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00072","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00073","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00074","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00075","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00076","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00077","","","","3","1","2","2","4","1","1","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00078","","","","3","2","2","2","5","1","1","2","0","0","0","0","3.5","","","","","","","0","3.5","","","0","0","0","0","0","0","0","1.75","1.166666667","","0","66.66666667","0","0","38.88888889","38.88888889","","0","0","58.33333333","58.33333333"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00079","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00080","","","","3","2","2","2","7","1","1","2","0","0","0","0","1.3","","","","","","","0","1.3","","","0","0","0","0","0","0","0","0.65","0.433333333","","0","66.66666667","0","0","14.44444444","14.44444444","","0","0","21.66666667","21.66666667"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00081","","","","3","","","","","1","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00082","","","","3","","","","","1","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00083","","","","3","2","2","","","1","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00084","","","","3","1","2","4","5","1","2","1","0","0","0","0","2.2","","","","","","","0","2.2","","","0","0","0","0","0","0","0","2.2","0.733333333","","0","33.33333333","0","0","24.44444444","24.44444444","","0","0","73.33333333","73.33333333"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00085","","","","3","","","","","1","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00086","","","","3","2","1","2","7","1","1","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00087","","","","3","1","","","","1","","1","0","0","0","0","1.5","","","","","","","0","1.5","","","0","0","0","0","0","0","0","1.5","0.5","","0","33.33333333","0","0","16.66666667","16.66666667","","0","0","50","50"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00088","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00089","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00090","","","","3","1","1","2","5","1","1","1","0","0","0","0","0.7","","","","","","","0","0.7","","","0","0","0","0","0","0","0","0.7","0.233333333","","0","33.33333333","0","0","7.777777778","7.777777778","","0","0","23.33333333","23.33333333"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00091","","","","3","3","2","3","7","1","2","2","0","0","0","0","1.2","","","","","","","0","1.2","","","0","0","0","0","0","0","0","0.6","0.4","","0","66.66666667","0","0","13.33333333","13.33333333","","0","0","20","20"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00092","","","","3","2","1","3","6","1","1","2","0","0","0","0","0.8","","","","","","","0","0.8","","","0","0","0","0","0","0","0","0.4","0.266666667","","0","66.66666667","0","0","8.888888889","8.888888889","","0","0","13.33333333","13.33333333"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00093","","","","3","1","1","2","6","1","2","1","0","0","0","0","0.5","","","","","","","0","0.5","","","0","0","0","0","0","0","0","0.5","0.166666667","","0","33.33333333","0","0","5.555555556","5.555555556","","0","0","16.66666667","16.66666667"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00094","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
