"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00012","","","","5","5","2","3","1","2","5","10","2","8","0.02","1.1","8","5","0","8.02","9.12","12","0.8","0.01","0.668333333","2.4","2.4","2","2","1.604","1.604","0.22","0.22","83.33333333","87.93859649","100","53.33333333","53.46666667","7.333333333","60.8","53.33333333","53.46666667","7.333333333","60.8"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00013","","","","5","3","2","2","1","1","3","5","0","5.1","0","6.8","1","4","0","5.1","11.9","5","1.02","","1.02","1.666666667","1","1.666666667","1","1.7","1.02","2.266666667","1.36","100","42.85714286","60","34","34","45.33333333","79.33333333","56.66666667","56.66666667","75.55555556","132.2222222"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00014","","","","5","5","1","1","1","1","5","16","6","4","0.3","2.3","1","4","1.17","4.3","6.6","22","0.25","0.05","0.195454545","4.4","4.4","3.2","3.2","0.86","0.86","0.46","0.46","72.72727273","65.15151515","100","26.66666667","28.66666667","15.33333333","44","26.66666667","28.66666667","15.33333333","44"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00015","","","","5","5","2","2","1","1","5","13","3","1.6","0.04","0.28","6","2","1.65","1.64","1.92","16","0.123076923","0.013333333","0.1025","3.2","3.2","2.6","2.6","0.328","0.328","0.056","0.056","81.25","85.41666667","100","10.66666667","10.93333333","1.866666667","12.8","10.66666667","10.93333333","1.866666667","12.8"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00016","","","","5","3","1","3","1","1","3","10","6","2","0.2","2.2","1","5","0.12","2.2","4.4","16","0.2","0.033333333","0.1375","5.333333333","3.2","3.333333333","2","0.733333333","0.44","0.733333333","0.44","62.5","50","60","13.33333333","14.66666667","14.66666667","29.33333333","22.22222222","24.44444444","24.44444444","48.88888889"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00017","","","","5","3","2","2","1","2","3","12","3","3","0.08","0.6","1","5","0.12","3.08","3.68","15","0.25","0.026666667","0.205333333","5","3","4","2.4","1.026666667","0.616","0.2","0.12","80","83.69565217","60","20","20.53333333","4","24.53333333","33.33333333","34.22222222","6.666666667","40.88888889"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00018","","","","5","4","2","2","1","2","4","5","3","0.28","0.04","3","6","4","1.38","0.32","3.32","8","0.056","0.013333333","0.04","2","1.6","1.25","1","0.08","0.064","0.75","0.6","62.5","9.638554217","80","1.866666667","2.133333333","20","22.13333333","2.333333333","2.666666667","25","27.66666667"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00019","","","","5","0","","","","","0","0","0","0","0","0","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00020","","","","5","0","","","","","0","0","0","0","0","0","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00021","","","","5","3","2","3","1","2","3","13","11","1.6","0.16","1.4","6","2","7.76","1.76","3.16","24","0.123076923","0.014545455","0.073333333","8","4.8","4.333333333","2.6","0.586666667","0.352","0.466666667","0.28","54.16666667","55.69620253","60","10.66666667","11.73333333","9.333333333","21.06666667","17.77777778","19.55555556","15.55555556","35.11111111"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00022","","","","5","1","1","1","1","1","1","5","0","1.2","0","1.6","1","4","7.23","1.2","2.8","5","0.24","","0.24","5","1","5","1","1.2","0.24","1.6","0.32","100","42.85714286","20","8","8","10.66666667","18.66666667","40","40","53.33333333","93.33333333"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00023","","","","5","3","2","2","1","1","3","10","10","1.8","0.3","2.1","1","3","7.23","2.1","4.2","20","0.18","0.03","0.105","6.666666667","4","3.333333333","2","0.7","0.42","0.7","0.42","50","50","60","12","14","14","28","20","23.33333333","23.33333333","46.66666667"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00024","","","","5","0","","","","","0","0","0","0","0","0","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00025","","","","5","3","2","2","1","1","3","0","5","0","0.16","0.4","1","5","1.38","0.16","0.56","5","","0.032","0.032","1.666666667","1","0","0","0.053333333","0.032","0.133333333","0.08","0","28.57142857","60","0","1.066666667","2.666666667","3.733333333","0","1.777777778","4.444444444","6.222222222"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00026","","","","5","5","2","4","1","2","5","10","0","5","0","2.5","8","5","0","5","7.5","10","0.5","","0.5","2","2","2","2","1","1","0.5","0.5","100","66.66666667","100","33.33333333","33.33333333","16.66666667","50","33.33333333","33.33333333","16.66666667","50"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00027","","","","5","3","1","2","1","1","3","4","7","0.36","0.16","0.4","6","5","0","0.52","0.92","11","0.09","0.022857143","0.047272727","3.666666667","2.2","1.333333333","0.8","0.173333333","0.104","0.133333333","0.08","36.36363636","56.52173913","60","2.4","3.466666667","2.666666667","6.133333333","4","5.777777778","4.444444444","10.22222222"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00028","","","","5","4","1","2","1","1","4","7","12","1","0.3","0.3","6","3","3.76","1.3","1.6","19","0.142857143","0.025","0.068421053","4.75","3.8","1.75","1.4","0.325","0.26","0.075","0.06","36.84210526","81.25","80","6.666666667","8.666666667","2","10.66666667","8.333333333","10.83333333","2.5","13.33333333"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00029","","","","5","4","2","2","1","1","4","18","18","1.8","0.9","1.6","1","4","7.76","2.7","4.3","36","0.1","0.05","0.075","9","7.2","4.5","3.6","0.675","0.54","0.4","0.32","50","62.79069767","80","12","18","10.66666667","28.66666667","15","22.5","13.33333333","35.83333333"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00030","","","","5","2","1","2","1","1","2","8","13","2.2","0.24","0.4","6","5","1.76","2.44","2.84","21","0.275","0.018461538","0.116190476","10.5","4.2","4","1.6","1.22","0.488","0.2","0.08","38.0952381","85.91549296","40","14.66666667","16.26666667","2.666666667","18.93333333","36.66666667","40.66666667","6.666666667","47.33333333"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00031","","","","5","2","2","2","1","4","2","8","9","1","0.28","0.5","5","4","10.5","1.28","1.78","17","0.125","0.031111111","0.075294118","8.5","3.4","4","1.6","0.64","0.256","0.25","0.1","47.05882353","71.91011236","40","6.666666667","8.533333333","3.333333333","11.86666667","16.66666667","21.33333333","8.333333333","29.66666667"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00032","","","","5","1","1","3","1","2","1","4","1","1.4","0.04","1.2","6","4","4.92","1.44","2.64","5","0.35","0.04","0.288","5","1","4","0.8","1.44","0.288","1.2","0.24","80","54.54545455","20","9.333333333","9.6","8","17.6","46.66666667","48","40","88"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00033","","","","5","3","2","2","1","1","3","6","6","0.8","0.12","0.12","6","4","4.41","0.92","1.04","12","0.133333333","0.02","0.076666667","4","2.4","2","1.2","0.306666667","0.184","0.04","0.024","50","88.46153846","60","5.333333333","6.133333333","0.8","6.933333333","8.888888889","10.22222222","1.333333333","11.55555556"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00034","","","","5","0","","","","","0","0","0","0","0","0","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00035","","","","5","0","","","","","0","0","0","0","0","0","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00036","","","","5","4","","2","1","1","4","12","6","4.02","0.2","2","1","5","0.69","4.22","6.22","18","0.335","0.033333333","0.234444444","4.5","3.6","3","2.4","1.055","0.844","0.5","0.4","66.66666667","67.84565916","80","26.8","28.13333333","13.33333333","41.46666667","33.5","35.16666667","16.66666667","51.83333333"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00037","","","","5","0","","","","","0","0","0","0","0","0","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00038","","","","5","5","1","3","1","2","5","40","30","7.4","1","5","5","5","7.23","8.4","13.4","70","0.185","0.033333333","0.12","14","14","8","8","1.68","1.68","1","1","57.14285714","62.68656716","100","49.33333333","56","33.33333333","89.33333333","49.33333333","56","33.33333333","89.33333333"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00039","","","","5","5","2","2","1","1","5","3","0","0.88","0","2.2","5","5","3.76","0.88","3.08","3","0.293333333","","0.293333333","0.6","0.6","0.6","0.6","0.176","0.176","0.44","0.44","100","28.57142857","100","5.866666667","5.866666667","14.66666667","20.53333333","5.866666667","5.866666667","14.66666667","20.53333333"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00040","","","","5","0","","","","","0","0","0","0","0","0","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00041","","","","5","1","1","","1","","0","0","0","0","0","0","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00042","","","","5","0","","","","","0","0","0","0","0","0","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00043","","","","5","0","","","","","0","0","0","0","0","0","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00044","","","","5","0","","","","","0","0","0","0","0","0","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00045","","","","5","0","","","","","0","0","0","0","0","0","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00046","","","","5","3","2","2","1","2","3","1","2","0.1","0.18","","6","3","3.76","0.28","","3","0.1","0.09","0.093333333","1","0.6","0.333333333","0.2","0.093333333","0.056","","","33.33333333","","60","0.666666667","1.866666667","","","1.111111111","3.111111111","",""
