"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00031","","","","20","8","1","1","9","1","1","8","4","0","1.2","0","8","3","3","3","1","1","0.12","1.2","9.2","0.3","","4","0.5","0.2","0.5","0.2","0.15","0.06","1","0.4","100","13.04347826","40","2","2","13.33333333","15.33333333","0.3","5","5","33.33333333","38.33333333"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00032","","","","20","6","3","2","8","2","2","6","0","18","0","0.6","18","","","","","","","0.6","18.6","","0.033333333","18","3","0.9","0","0","0.1","0.03","3","0.9","0","3.225806452","30","0","1","30","31","0.033333333","0","3.333333333","100","103.3333333"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00033","","","","20","2","1","2","5","1","2","2","12","14","11.4","0.8","10.5","5","6","4","1","1","0.15","12.2","22.7","0.95","0.057142857","26","13","1.3","6","0.6","6.1","0.61","5.25","0.525","46.15384615","53.74449339","10","19","20.33333333","17.5","37.83333333","0.469230769","190","203.3333333","175","378.3333333"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00034","","","","20","8","1","1","9","1","1","8","18","2","4","0.4","6","8","3","6","1","1","0","4.4","10.4","0.222222222","0.2","20","2.5","1","2.25","0.9","0.55","0.22","0.75","0.3","90","42.30769231","40","6.666666667","7.333333333","10","17.33333333","0.22","16.66666667","18.33333333","25","43.33333333"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00035","","","","20","12","1","1","9","1","1","12","40","8","5","0.8","20","3","2","6","1","1","0.12","5.8","25.8","0.125","0.1","48","4","2.4","3.333333333","2","0.483333333","0.29","1.666666667","1","83.33333333","22.48062016","60","8.333333333","9.666666667","33.33333333","43","0.120833333","13.88888889","16.11111111","55.55555556","71.66666667"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00036","","","","20","14","1","2","5","1","2","14","9","12","11","0.3","12","3","5","5","1","1","0.02","11.3","23.3","1.222222222","0.025","21","1.5","1.05","0.642857143","0.45","0.807142857","0.565","0.857142857","0.6","42.85714286","48.49785408","70","18.33333333","18.83333333","20","38.83333333","0.538095238","26.19047619","26.9047619","28.57142857","55.47619048"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00037","","","","20","12","1","2","8","1","2","12","0","0","0","0","4","","","","","","","0","4","","","0","0","0","0","0","0","0","0.333333333","0.2","","0","60","0","0","6.666666667","6.666666667","","0","0","11.11111111","11.11111111"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00038","","","","20","18","1","1","9","1","2","18","10","92","1.2","2","8.2","9","6","7","1","1","0","3.2","11.4","0.12","0.02173913","102","5.666666667","5.1","0.555555556","0.5","0.177777778","0.16","0.455555556","0.41","9.803921569","28.07017544","90","2","5.333333333","13.66666667","19","0.031372549","2.222222222","5.925925926","15.18518519","21.11111111"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00039","","","","20","12","1","2","6","1","1","12","14","11","14.5","3.2","16.5","3","2","5","1","1","0","17.7","34.2","1.035714286","0.290909091","25","2.083333333","1.25","1.166666667","0.7","1.475","0.885","1.375","0.825","56","51.75438596","60","24.16666667","29.5","27.5","57","0.708","40.27777778","49.16666667","45.83333333","95"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00040","","","","20","6","1","2","8","2","1","6","6","0","1.2","0","8","6","2","3","1","1","0","1.2","9.2","0.2","","6","1","0.3","1","0.3","0.2","0.06","1.333333333","0.4","100","13.04347826","30","2","2","13.33333333","15.33333333","0.2","6.666666667","6.666666667","44.44444444","51.11111111"
