"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00021","","","","20","18","2","3","7","1","2","18","16","8","2","0.16","8","3","4","5","1","1","4.61","2.16","10.16","0.125","0.02","24","1.333333333","1.2","0.888888889","0.8","0.12","0.108","0.444444444","0.4","66.66666667","21.25984252","90","3.333333333","3.6","13.33333333","16.93333333","0.09","3.703703704","4","14.81481481","18.81481481"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00022","","","","20","18","1","2","8","1","2","18","42","4","13","0.06","8","6","3","1","1","1","0","13.06","21.06","0.30952381","0.015","46","2.555555556","2.3","2.333333333","2.1","0.725555556","0.653","0.444444444","0.4","91.30434783","62.01329535","90","21.66666667","21.76666667","13.33333333","35.1","0.283913043","24.07407407","24.18518519","14.81481481","39"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00023","","","","20","18","1","4","8","1","2","18","36","12","4","0.2","18","3","3","4","1","1","0","4.2","22.2","0.111111111","0.016666667","48","2.666666667","2.4","2","1.8","0.233333333","0.21","1","0.9","75","18.91891892","90","6.666666667","7","30","37","0.0875","7.407407407","7.777777778","33.33333333","41.11111111"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00024","","","","20","16","1","3","5","1","2","16","12","3","16","0.18","10","7","3","2","1","1","11.03","16.18","26.18","1.333333333","0.06","15","0.9375","0.75","0.75","0.6","1.01125","0.809","0.625","0.5","80","61.80290298","80","26.66666667","26.96666667","16.66666667","43.63333333","1.078666667","33.33333333","33.70833333","20.83333333","54.54166667"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00025","","","","20","20","1","2","7","1","2","20","20","0","5.2","0","4","8","6","3","1","1","3.03","5.2","9.2","0.26","","20","1","1","1","1","0.26","0.26","0.2","0.2","100","56.52173913","100","8.666666667","8.666666667","6.666666667","15.33333333","0.26","8.666666667","8.666666667","6.666666667","15.33333333"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00026","","","","20","20","2","3","4","1","2","20","12","6","15","0.09","13.2","","5","2","1","1","0","15.09","28.29","1.25","0.015","18","0.9","0.9","0.6","0.6","0.7545","0.7545","0.66","0.66","66.66666667","53.34040297","100","25","25.15","22","47.15","0.838333333","25","25.15","22","47.15"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00027","","","","20","15","1","2","6","1","2","15","11","2","18","0.3","17.2","","2","2","1","1","1.74","18.3","35.5","1.636363636","0.15","13","0.866666667","0.65","0.733333333","0.55","1.22","0.915","1.146666667","0.86","84.61538462","51.54929577","75","30","30.5","28.66666667","59.16666667","1.407692308","40","40.66666667","38.22222222","78.88888889"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00028","","","","20","20","1","3","6","1","2","20","30","0","9.8","0","4","8","4","2","3","3","3.03","9.8","13.8","0.326666667","","30","1.5","1.5","1.5","1.5","0.49","0.49","0.2","0.2","100","71.01449275","100","16.33333333","16.33333333","6.666666667","23","0.326666667","16.33333333","16.33333333","6.666666667","23"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00029","","","","20","14","1","3","8","1","2","14","14","2","4","0.24","9.6","9","3","2","1","1","0","4.24","13.84","0.285714286","0.12","16","1.142857143","0.8","1","0.7","0.302857143","0.212","0.685714286","0.48","87.5","30.63583815","70","6.666666667","7.066666667","16","23.06666667","0.265","9.523809524","10.0952381","22.85714286","32.95238095"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00030","","","","20","18","2","2","8","1","2","18","46","12","7.6","0.14","18","4","4","3","1","1","0","7.74","25.74","0.165217391","0.011666667","58","3.222222222","2.9","2.555555556","2.3","0.43","0.387","1","0.9","79.31034483","30.06993007","90","12.66666667","12.9","30","42.9","0.133448276","14.07407407","14.33333333","33.33333333","47.66666667"
