"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00024","","","","20","18","2","3","7","3","3","13","4","4","0.4","0.2","2.5","2","5","3","1","3","0","0.6","3.1","0.1","0.05","8","0.615384615","0.4","0.307692308","0.2","0.046153846","0.03","0.192307692","0.125","50","19.35483871","65","0.075","0.666666667","1","4.166666667","5.166666667","1.025641026","1.538461538","6.41025641","7.948717949"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00025","","","","20","18","2","2","8","2","2","16","15","4","2","0.2","8.1","8","4","3","1","1","0","2.2","10.3","0.133333333","0.05","19","1.1875","0.95","0.9375","0.75","0.1375","0.11","0.50625","0.405","78.94736842","21.3592233","80","0.115789474","3.333333333","3.666666667","13.5","17.16666667","4.166666667","4.583333333","16.875","21.45833333"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00026","","","","20","16","3","3","6","1","1","15","4","0","0.6","0","4.1","9","5","4","1","1","3.96","0.6","4.7","0.15","","4","0.266666667","0.2","0.266666667","0.2","0.04","0.03","0.273333333","0.205","100","12.76595745","75","0.15","1","1","6.833333333","7.833333333","1.333333333","1.333333333","9.111111111","10.44444444"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00027","","","","20","8","2","2","7","1","2","8","7","6","0.62","0.2","3","9","5","3","1","1","0","0.82","3.82","0.088571429","0.033333333","13","1.625","0.65","0.875","0.35","0.1025","0.041","0.375","0.15","53.84615385","21.46596859","40","0.063076923","1.033333333","1.366666667","5","6.366666667","2.583333333","3.416666667","12.5","15.91666667"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00028","","","","20","9","2","3","7","1","2","7","6","9","1","0.25","4.4","3","5","6","1","1","7.76","1.25","5.65","0.166666667","0.027777778","15","2.142857143","0.75","0.857142857","0.3","0.178571429","0.0625","0.628571429","0.22","40","22.12389381","35","0.083333333","1.666666667","2.083333333","7.333333333","9.416666667","4.761904762","5.952380952","20.95238095","26.9047619"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00029","","","","20","6","1","1","7","1","1","5","5","1","0.8","0.04","4.8","4","5","3","1","1","0","0.84","5.64","0.16","0.04","6","1.2","0.3","1","0.25","0.168","0.042","0.96","0.24","83.33333333","14.89361702","25","0.14","1.333333333","1.4","8","9.4","5.333333333","5.6","32","37.6"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00030","","","","20","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00031","","","","20","20","2","2","8","1","2","17","34","32","5.1","0.9","6","9","3","3","1","1","1.04","6","12","0.15","0.028125","66","3.882352941","3.3","2","1.7","0.352941176","0.3","0.352941176","0.3","51.51515152","50","85","0.090909091","8.5","10","10","20","10","11.76470588","11.76470588","23.52941176"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00032","","","","20","19","2","3","7","1","4","18","3","5","0.22","0.18","3.22","2","7","3","1","1","0","0.4","3.62","0.073333333","0.036","8","0.444444444","0.4","0.166666667","0.15","0.022222222","0.02","0.178888889","0.161","37.5","11.04972376","90","0.05","0.366666667","0.666666667","5.366666667","6.033333333","0.407407407","0.740740741","5.962962963","6.703703704"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00033","","","","20","13","2","2","7","1","2","11","12","5","1.5","0.16","3.2","2","4","4","1","1","0","1.66","4.86","0.125","0.032","17","1.545454545","0.85","1.090909091","0.6","0.150909091","0.083","0.290909091","0.16","70.58823529","34.1563786","55","0.097647059","2.5","2.766666667","5.333333333","8.1","4.545454545","5.03030303","9.696969697","14.72727273"
