"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00014","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00015","","","","10","7","2","3","8","2","2","7","0","0","0","0","30","","","","","","","0","30","0","","","","0","0","0","0","0","0","4.285714286","3","","0","70","0","0","100","100","0","0","142.8571429","142.8571429"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00016","","","","10","8","3","2","7","2","2","7","20","9","3","0.8","33","3","2","1","7","5","0.02","3.8","36.8","29","0.15","0.088888889","0.131034483","4.142857143","2.9","2.857142857","2","0.542857143","0.38","4.714285714","3.3","68.96551724","10.32608696","70","10","12.66666667","110","122.6666667","14.28571429","18.0952381","157.1428571","175.2380952"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00017","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00018","","","","10","6","2","2","8","2","2","6","21","9","4","0.2","21","4","2","1","3","4","0","4.2","25.2","30","0.19047619","0.022222222","0.14","5","3","3.5","2.1","0.7","0.42","3.5","2.1","70","16.66666667","60","13.33333333","14","70","84","22.22222222","23.33333333","116.6666667","140"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00019","","","","10","5","2","2","8","2","2","4","9","4","1.5","0.35","22","3","2","1","3","4","0.02","1.85","23.85","13","0.166666667","0.0875","0.142307692","3.25","1.3","2.25","0.9","0.4625","0.185","5.5","2.2","69.23076923","7.756813417","40","5","6.166666667","73.33333333","79.5","12.5","15.41666667","183.3333333","198.75"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00020","","","","10","8","3","2","9","2","2","6","0","0","0","0","27","","","","","","","0","27","0","","","","0","0","0","0","0","0","4.5","2.7","","0","60","0","0","90","90","0","0","150","150"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00021","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00022","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00023","","","","10","5","3","3","7","2","2","4","1","0","0.25","0","5","5","2","1","2","3","10.5","0.25","5.25","1","0.25","","0.25","0.25","0.1","0.25","0.1","0.0625","0.025","1.25","0.5","100","4.761904762","40","0.833333333","0.833333333","16.66666667","17.5","2.083333333","2.083333333","41.66666667","43.75"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00024","","","","10","6","2","2","7","2","2","4","0","0","0","0","11","","","","","","","0","11","0","","","","0","0","0","0","0","0","2.75","1.1","","0","40","0","0","36.66666667","36.66666667","0","0","91.66666667","91.66666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00025","","","","10","8","3","2","8","2","2","8","3","0","0.5","0","14","8","2","1","3","6","0","0.5","14.5","3","0.166666667","","0.166666667","0.375","0.3","0.375","0.3","0.0625","0.05","1.75","1.4","100","3.448275862","80","1.666666667","1.666666667","46.66666667","48.33333333","2.083333333","2.083333333","58.33333333","60.41666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00026","","","","10","8","3","2","7","2","2","7","3","2","0.25","0.1","12","3","2","1","3","5","0","0.35","12.35","5","0.083333333","0.05","0.07","0.714285714","0.5","0.428571429","0.3","0.05","0.035","1.714285714","1.2","60","2.834008097","70","0.833333333","1.166666667","40","41.16666667","1.19047619","1.666666667","57.14285714","58.80952381"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00027","","","","10","7","2","2","8","2","2","4","0","0","0","0","4","","","","","","","0","4","0","","","","0","0","0","0","0","0","1","0.4","","0","40","0","0","13.33333333","13.33333333","0","0","33.33333333","33.33333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00028","","","","10","8","2","2","8","2","2","7","1","0","0.1","0","16","3","2","1","3","6","0","0.1","16.1","1","0.1","","0.1","0.142857143","0.1","0.142857143","0.1","0.014285714","0.01","2.285714286","1.6","100","0.621118012","70","0.333333333","0.333333333","53.33333333","53.66666667","0.476190476","0.476190476","76.19047619","76.66666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00029","","","","10","8","1","3","7","2","2","6","25","11","5","0.45","11","3","2","1","3","3","10.5","5.45","16.45","36","0.2","0.040909091","0.151388889","6","3.6","4.166666667","2.5","0.908333333","0.545","1.833333333","1.1","69.44444444","33.13069909","60","16.66666667","18.16666667","36.66666667","54.83333333","27.77777778","30.27777778","61.11111111","91.38888889"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00030","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00031","","","","10","7","2","2","9","2","2","7","2","0","0.3","0","40","8","2","1","3","5","0","0.3","40.3","2","0.15","","0.15","0.285714286","0.2","0.285714286","0.2","0.042857143","0.03","5.714285714","4","100","0.744416873","70","1","1","133.3333333","134.3333333","1.428571429","1.428571429","190.4761905","191.9047619"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00032","","","","10","8","1","2","8","2","2","7","11","4","5","0.5","35","8","2","1","8","2","0.12","5.5","40.5","15","0.454545455","0.125","0.366666667","2.142857143","1.5","1.571428571","1.1","0.785714286","0.55","5","3.5","73.33333333","13.58024691","70","16.66666667","18.33333333","116.6666667","135","23.80952381","26.19047619","166.6666667","192.8571429"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00033","","","","10","10","2","2","9","2","2","7","0","0","0","0","40","","","","","","","0","40","0","","","","0","0","0","0","0","0","5.714285714","4","","0","70","0","0","133.3333333","133.3333333","0","0","190.4761905","190.4761905"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00034","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00035","","","","10","7","2","2","7","2","2","6","0","0","0","0","7","","","","","","","0","7","0","","","","0","0","0","0","0","0","1.166666667","0.7","","0","60","0","0","23.33333333","23.33333333","0","0","38.88888889","38.88888889"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00036","","","","10","4","2","2","7","2","2","4","7","6","0.4","0.3","10","8","1","1","3","3","0","0.7","10.7","13","0.057142857","0.05","0.053846154","3.25","1.3","1.75","0.7","0.175","0.07","2.5","1","53.84615385","6.542056075","40","1.333333333","2.333333333","33.33333333","35.66666667","3.333333333","5.833333333","83.33333333","89.16666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00037","","","","10","8","2","2","8","2","2","5","0","0","0","0","16","","","","","","","0","16","0","","","","0","0","0","0","0","0","3.2","1.6","","0","50","0","0","53.33333333","53.33333333","0","0","106.6666667","106.6666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00038","","","","10","7","2","2","7","2","2","6","1","4","0.3","0.3","14","9","1","1","4","5","0.12","0.6","14.6","5","0.3","0.075","0.12","0.833333333","0.5","0.166666667","0.1","0.1","0.06","2.333333333","1.4","20","4.109589041","60","1","2","46.66666667","48.66666667","1.666666667","3.333333333","77.77777778","81.11111111"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00039","","","","10","6","2","2","6","2","2","6","3","0","1.5","0","3","3","1","1","4","3","0.12","1.5","4.5","3","0.5","","0.5","0.5","0.3","0.5","0.3","0.25","0.15","0.5","0.3","100","33.33333333","60","5","5","10","15","8.333333333","8.333333333","16.66666667","25"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00040","","","","10","10","2","2","8","2","2","10","9","10","1.51","0.4","9","3","1","1","4","5","0.12","1.91","10.91","19","0.167777778","0.04","0.100526316","1.9","1.9","0.9","0.9","0.191","0.191","0.9","0.9","47.36842105","17.50687443","100","5.033333333","6.366666667","30","36.36666667","5.033333333","6.366666667","30","36.36666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00041","","","","10","7","2","2","8","1","2","6","6","0","1.05","0","6","4","2","1","3","5","0","1.05","7.05","6","0.175","","0.175","1","0.6","1","0.6","0.175","0.105","1","0.6","100","14.89361702","60","3.5","3.5","20","23.5","5.833333333","5.833333333","33.33333333","39.16666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00042","","","","10","7","2","2","8","1","2","4","0","0","0","0","36","","","","","","","0","36","0","","","","0","0","0","0","0","0","9","3.6","","0","40","0","0","120","120","0","0","300","300"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00043","","","","10","8","1","2","9","1","2","8","4","2","0.4","0.1","60","4","2","1","3","5","0.12","0.5","60.5","6","0.1","0.05","0.083333333","0.75","0.6","0.5","0.4","0.0625","0.05","7.5","6","66.66666667","0.826446281","80","1.333333333","1.666666667","200","201.6666667","1.666666667","2.083333333","250","252.0833333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00044","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00045","","","","10","5","5","3","7","2","2","3","0","0","0","0","1","","","","","","","0","1","0","","","","0","0","0","0","0","0","0.333333333","0.1","","0","30","0","0","3.333333333","3.333333333","0","0","11.11111111","11.11111111"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00046","","","","10","8","2","2","7","1","2","6","6","2","0.7","0.7","16","9","2","1","3","5","0.12","1.4","17.4","8","0.116666667","0.35","0.175","1.333333333","0.8","1","0.6","0.233333333","0.14","2.666666667","1.6","75","8.045977011","60","2.333333333","4.666666667","53.33333333","58","3.888888889","7.777777778","88.88888889","96.66666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00047","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00048","","","","10","7","3","3","7","2","2","3","0","0","0","0","11","","","","","","","0","11","0","","","","0","0","0","0","0","0","3.666666667","1.1","","0","30","0","0","36.66666667","36.66666667","0","0","122.2222222","122.2222222"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00049","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00050","","","","10","4","3","2","8","2","2","4","2","2","0.3","0.15","17","5","1","1","3","5","0","0.45","17.45","4","0.15","0.075","0.1125","1","0.4","0.5","0.2","0.1125","0.045","4.25","1.7","50","2.578796562","40","1","1.5","56.66666667","58.16666667","2.5","3.75","141.6666667","145.4166667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00051","","","","10","7","3","2","8","1","2","7","12","28","4","0.5","17","9","2","1","8","1","0","4.5","21.5","40","0.333333333","0.017857143","0.1125","5.714285714","4","1.714285714","1.2","0.642857143","0.45","2.428571429","1.7","30","20.93023256","70","13.33333333","15","56.66666667","71.66666667","19.04761905","21.42857143","80.95238095","102.3809524"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00052","","","","10","7","1","2","8","1","2","7","26","8","9","0.51","16","4","2","1","8","2","1.38","9.51","25.51","34","0.346153846","0.06375","0.279705882","4.857142857","3.4","3.714285714","2.6","1.358571429","0.951","2.285714286","1.6","76.47058824","37.27949824","70","30","31.7","53.33333333","85.03333333","42.85714286","45.28571429","76.19047619","121.4761905"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00053","","","","10","7","2","2","8","2","2","6","1","3","0.2","0.25","24","9","1","1","3","7","0","0.45","24.45","4","0.2","0.083333333","0.1125","0.666666667","0.4","0.166666667","0.1","0.075","0.045","4","2.4","25","1.840490798","60","0.666666667","1.5","80","81.5","1.111111111","2.5","133.3333333","135.8333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00054","","","","10","7","3","2","8","2","2","6","5","3","0.45","0.07","5","9","1","1","3","7","0","0.52","5.52","8","0.09","0.023333333","0.065","1.333333333","0.8","0.833333333","0.5","0.086666667","0.052","0.833333333","0.5","62.5","9.420289855","60","1.5","1.733333333","16.66666667","18.4","2.5","2.888888889","27.77777778","30.66666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00055","","","","10","9","3","2","6","2","2","6","2","0","0.25","0","6","8","1","1","6","7","0.12","0.25","6.25","2","0.125","","0.125","0.333333333","0.2","0.333333333","0.2","0.041666667","0.025","1","0.6","100","4","60","0.833333333","0.833333333","20","20.83333333","1.388888889","1.388888889","33.33333333","34.72222222"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00056","","","","10","2","5","","","2","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00057","","","","10","9","2","2","8","2","2","7","14","4","8","0.3","23","8","2","1","4","2","4.41","8.3","31.3","18","0.571428571","0.075","0.461111111","2.571428571","1.8","2","1.4","1.185714286","0.83","3.285714286","2.3","77.77777778","26.51757188","70","26.66666667","27.66666667","76.66666667","104.3333333","38.0952381","39.52380952","109.5238095","149.047619"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00058","","","","10","8","2","2","8","2","2","6","3","11","0.8","0.06","16","5","1","1","3","4","1.38","0.86","16.86","14","0.266666667","0.005454545","0.061428571","2.333333333","1.4","0.5","0.3","0.143333333","0.086","2.666666667","1.6","21.42857143","5.100830368","60","2.666666667","2.866666667","53.33333333","56.2","4.444444444","4.777777778","88.88888889","93.66666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00059","","","","10","9","2","2","7","2","2","5","0","0","0","0","17","","","","","","","0","17","0","","","","0","0","0","0","0","0","3.4","1.7","","0","50","0","0","56.66666667","56.66666667","0","0","113.3333333","113.3333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00060","","","","10","9","3","2","8","2","2","9","1","0","0.15","0","27","4","1","1","3","6","0.12","0.15","27.15","1","0.15","","0.15","0.111111111","0.1","0.111111111","0.1","0.016666667","0.015","3","2.7","100","0.552486188","90","0.5","0.5","90","90.5","0.555555556","0.555555556","100","100.5555556"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00061","","","","10","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00062","","","","10","8","3","3","8","2","2","7","10","5","2.6","0.4","18","3","1","1","4","5","0.12","3","21","15","0.26","0.08","0.2","2.142857143","1.5","1.428571429","1","0.428571429","0.3","2.571428571","1.8","66.66666667","14.28571429","70","8.666666667","10","60","70","12.38095238","14.28571429","85.71428571","100"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00063","","","","10","9","2","2","8","2","2","6","2","2","0.65","0.03","19","3","1","1","6","5","0","0.68","19.68","4","0.325","0.015","0.17","0.666666667","0.4","0.333333333","0.2","0.113333333","0.068","3.166666667","1.9","50","3.455284553","60","2.166666667","2.266666667","63.33333333","65.6","3.611111111","3.777777778","105.5555556","109.3333333"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00064","","","","10","3","2","2","7","2","2","2","0","5","0","0.04","11","3","1","1","3","5","0","0.04","11.04","5","","0.008","0.008","2.5","0.5","0","0","0.02","0.004","5.5","1.1","0","0.362318841","20","0","0.133333333","36.66666667","36.8","0","0.666666667","183.3333333","184"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00065","","","","10","9","3","3","7","2","2","7","9","3","3.65","0.03","2","4","1","1","4","2","0","3.68","5.68","12","0.405555556","0.01","0.306666667","1.714285714","1.2","1.285714286","0.9","0.525714286","0.368","0.285714286","0.2","75","64.78873239","70","12.16666667","12.26666667","6.666666667","18.93333333","17.38095238","17.52380952","9.523809524","27.04761905"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00066","","","","10","9","2","3","7","2","2","8","4","3","1.8","0.02","25","9","1","1","4","3","0","1.82","26.82","7","0.45","0.006666667","0.26","0.875","0.7","0.5","0.4","0.2275","0.182","3.125","2.5","57.14285714","6.785980611","80","6","6.066666667","83.33333333","89.4","7.5","7.583333333","104.1666667","111.75"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00067","","","","10","6","4","2","8","2","2","1","3","1","0.4","0.01","3","8","2","1","4","3","0","0.41","3.41","4","0.133333333","0.01","0.1025","4","0.4","3","0.3","0.41","0.041","3","0.3","75","12.02346041","10","1.333333333","1.366666667","10","11.36666667","13.33333333","13.66666667","100","113.6666667"
"","","UGP2017SER-AT01","","","","","","","","","UGP2017SER-AT01-00068","","","","10","9","2","2","9","2","2","6","10","6","2","0.45","7","5","1","1","7","5","0","2.45","9.45","16","0.2","0.075","0.153125","2.666666667","1.6","1.666666667","1","0.408333333","0.245","1.166666667","0.7","62.5","25.92592593","60","6.666666667","8.166666667","23.33333333","31.5","11.11111111","13.61111111","38.88888889","52.5"
