"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|CO_331:0000198","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root shape estimating 1-9 CIP|CO_331:0000181","Sprouting ability estimating 1-9|CO_331:0000277","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00011","","","","54","46","2","2","1","46","18","55","4.4","25","3","4","3","8","22.4","47.4","101","0.391304348","0.08","0.221782178","2.195652174","1.87037037","1","0.851851852","0.486956522","0.414814815","0.543478261","0.462962963","45.54455446","47.25738397","85.18518519","11.11111111","13.82716049","15.43209877","29.25925926","13.04347826","16.23188406","18.11594203","34.34782609"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00012","","","","54","35","2","2","1","29","7","54","1.8","13","3","9","1","2","8.8","21.8","83","0.24137931","0.033333333","0.106024096","2.371428571","1.537037037","0.828571429","0.537037037","0.251428571","0.162962963","0.371428571","0.240740741","34.93975904","40.36697248","64.81481481","4.320987654","5.432098765","8.024691358","13.45679012","6.666666667","8.380952381","12.38095238","20.76190476"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00013","","","","54","39","1","4","1","12","2.4","40","1.4","10.4","3","9","1","8","3.8","14.2","52","0.2","0.035","0.073076923","1.333333333","0.962962963","0.307692308","0.222222222","0.097435897","0.07037037","0.266666667","0.192592593","23.07692308","26.76056338","72.22222222","1.481481481","2.345679012","6.419753086","8.765432099","2.051282051","3.247863248","8.888888889","12.13675214"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00014","","","","54","22","1","3","1","9","1.1","10","0.5","17","2","9","1","2","1.6","18.6","19","0.122222222","0.05","0.084210526","0.863636364","0.351851852","0.409090909","0.166666667","0.072727273","0.02962963","0.772727273","0.314814815","47.36842105","8.602150538","40.74074074","0.679012346","0.987654321","10.49382716","11.48148148","1.666666667","2.424242424","25.75757576","28.18181818"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00015","","","","54","44","1","3","1","64","24.1","44","3","25","2","4","4","8","27.1","52.1","108","0.3765625","0.068181818","0.250925926","2.454545455","2","1.454545455","1.185185185","0.615909091","0.501851852","0.568181818","0.462962963","59.25925926","52.01535509","81.48148148","14.87654321","16.72839506","15.43209877","32.16049383","18.25757576","20.53030303","18.93939394","39.46969697"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00016","","","","54","37","1","3","2","25","7.6","37","1.5","25.6","2","9","1","2","9.1","34.7","62","0.304","0.040540541","0.146774194","1.675675676","1.148148148","0.675675676","0.462962963","0.245945946","0.168518519","0.691891892","0.474074074","40.32258065","26.22478386","68.51851852","4.691358025","5.617283951","15.80246914","21.41975309","6.846846847","8.198198198","23.06306306","31.26126126"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00017","","","","54","49","1","2","1","59","19","48","2.5","46.2","1","9","1","8","21.5","67.7","107","0.322033898","0.052083333","0.200934579","2.183673469","1.981481481","1.204081633","1.092592593","0.43877551","0.398148148","0.942857143","0.855555556","55.14018692","31.7577548","90.74074074","11.72839506","13.27160494","28.51851852","41.79012346","12.92517007","14.62585034","31.42857143","46.05442177"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00018","","","","54","38","2","4","1","3","0.5","22","0.8","63","1","9","1","2","1.3","64.3","25","0.166666667","0.036363636","0.052","0.657894737","0.462962963","0.078947368","0.055555556","0.034210526","0.024074074","1.657894737","1.166666667","12","2.021772939","70.37037037","0.308641975","0.802469136","38.88888889","39.69135802","0.438596491","1.140350877","55.26315789","56.40350877"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00019","","","","54","52","1","3","1","88","23.3","38","1.2","32","1","4","2","8","24.5","56.5","126","0.264772727","0.031578947","0.194444444","2.423076923","2.333333333","1.692307692","1.62962963","0.471153846","0.453703704","0.615384615","0.592592593","69.84126984","43.36283186","96.2962963","14.38271605","15.12345679","19.75308642","34.87654321","14.93589744","15.70512821","20.51282051","36.21794872"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00020","","","","54","49","1","2","1","23","6.4","22","1","38","1","9","1","2","7.4","45.4","45","0.27826087","0.045454545","0.164444444","0.918367347","0.833333333","0.469387755","0.425925926","0.151020408","0.137037037","0.775510204","0.703703704","51.11111111","16.29955947","90.74074074","3.950617284","4.567901235","23.45679012","28.02469136","4.353741497","5.034013605","25.85034014","30.88435374"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00021","","","","54","43","1","2","1","70","30.5","20","1","19.8","3","9","1","8","31.5","51.3","90","0.435714286","0.05","0.35","2.093023256","1.666666667","1.627906977","1.296296296","0.73255814","0.583333333","0.460465116","0.366666667","77.77777778","61.40350877","79.62962963","18.82716049","19.44444444","12.22222222","31.66666667","23.64341085","24.41860465","15.34883721","39.76744186"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00022","","","","54","45","1","4","1","48","13.2","56","3","48.8","2","9","1","2","16.2","65","104","0.275","0.053571429","0.155769231","2.311111111","1.925925926","1.066666667","0.888888889","0.36","0.3","1.084444444","0.903703704","46.15384615","24.92307692","83.33333333","8.148148148","10","30.12345679","40.12345679","9.777777778","12","36.14814815","48.14814815"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00023","","","","54","44","1","2","1","84","39.5","23","1.4","56.4","2","4","2","8","40.9","97.3","107","0.470238095","0.060869565","0.382242991","2.431818182","1.981481481","1.909090909","1.555555556","0.929545455","0.757407407","1.281818182","1.044444444","78.5046729","42.03494347","81.48148148","24.38271605","25.24691358","34.81481481","60.0617284","29.92424242","30.98484848","42.72727273","73.71212121"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00024","","","","54","44","1","2","1","39","8.2","20","0.8","32","2","9","1","2","9","41","59","0.21025641","0.04","0.152542373","1.340909091","1.092592593","0.886363636","0.722222222","0.204545455","0.166666667","0.727272727","0.592592593","66.10169492","21.95121951","81.48148148","5.061728395","5.555555556","19.75308642","25.30864198","6.212121212","6.818181818","24.24242424","31.06060606"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00025","","","","54","45","1","1","1","49","23.6","18","0.6","18","2","9","1","8","24.2","42.2","67","0.481632653","0.033333333","0.36119403","1.488888889","1.240740741","1.088888889","0.907407407","0.537777778","0.448148148","0.4","0.333333333","73.13432836","57.34597156","83.33333333","14.56790123","14.9382716","11.11111111","26.04938272","17.48148148","17.92592593","13.33333333","31.25925926"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00026","","","","54","44","1","1","1","31","8.8","35","2","42.2","4","9","1","2","10.8","53","66","0.283870968","0.057142857","0.163636364","1.5","1.222222222","0.704545455","0.574074074","0.245454545","0.2","0.959090909","0.781481481","46.96969697","20.37735849","81.48148148","5.432098765","6.666666667","26.04938272","32.71604938","6.666666667","8.181818182","31.96969697","40.15151515"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00027","","","","54","44","1","4","1","81","35","15","1","20.2","4","4","3","8","36","56.2","96","0.432098765","0.066666667","0.375","2.181818182","1.777777778","1.840909091","1.5","0.818181818","0.666666667","0.459090909","0.374074074","84.375","64.0569395","81.48148148","21.60493827","22.22222222","12.4691358","34.69135802","26.51515152","27.27272727","15.3030303","42.57575758"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00028","","","","54","39","1","1","1","52","20","15","0.8","19.2","4","9","1","2","20.8","40","67","0.384615385","0.053333333","0.310447761","1.717948718","1.240740741","1.333333333","0.962962963","0.533333333","0.385185185","0.492307692","0.355555556","77.6119403","52","72.22222222","12.34567901","12.83950617","11.85185185","24.69135802","17.09401709","17.77777778","16.41025641","34.18803419"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00029","","","","54","37","1","2","1","35","14.5","18","1","19.2","2","9","1","8","15.5","34.7","53","0.414285714","0.055555556","0.29245283","1.432432432","0.981481481","0.945945946","0.648148148","0.418918919","0.287037037","0.518918919","0.355555556","66.03773585","44.6685879","68.51851852","8.950617284","9.567901235","11.85185185","21.41975309","13.06306306","13.96396396","17.2972973","31.26126126"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00030","","","","54","44","1","2","1","18","2.8","49","1.4","43.4","2","9","1","2","4.2","47.6","67","0.155555556","0.028571429","0.062686567","1.522727273","1.240740741","0.409090909","0.333333333","0.095454545","0.077777778","0.986363636","0.803703704","26.86567164","8.823529412","81.48148148","1.728395062","2.592592593","26.79012346","29.38271605","2.121212121","3.181818182","32.87878788","36.06060606"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00031","","","","54","42","1","2","1","76","14.4","45","2","23","2","4","2","8","16.4","39.4","121","0.189473684","0.044444444","0.13553719","2.880952381","2.240740741","1.80952381","1.407407407","0.39047619","0.303703704","0.547619048","0.425925926","62.80991736","41.62436548","77.77777778","8.888888889","10.12345679","14.19753086","24.32098765","11.42857143","13.01587302","18.25396825","31.26984127"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00032","","","","54","44","2","2","1","26","5.6","26","1","24","2","9","1","2","6.6","30.6","52","0.215384615","0.038461538","0.126923077","1.181818182","0.962962963","0.590909091","0.481481481","0.15","0.122222222","0.545454545","0.444444444","50","21.56862745","81.48148148","3.456790123","4.074074074","14.81481481","18.88888889","4.242424242","5","18.18181818","23.18181818"
