"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00013","","","","30","19","3.95","40","3.65","0.66","6","158.31","39.22","4.31","8.26","0.09125","2.105263158","1.333333333","0.226842105","0.143666667","0.207894737","0.131666667","52.17917676","63.33333333","24.77417725","1.067767039","5.407407407","8.538011696","6.385185185","10.08187135","5.851851852","9.239766082","1.581877095","2.497700677","12.23703704","19.32163743"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00014","","","","30","26","4.11","99","11.95","1.81","6","160.45","40.95","13.76","17.87","0.120707071","3.807692308","3.3","0.529230769","0.458666667","0.158076923","0.137","77.0005596","86.66666667","25.52196946","3.511822998","17.7037037","20.42735043","20.38518519","23.52136752","6.088888889","7.025641026","5.202700738","6.003116236","26.47407407","30.54700855"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00015","","","","30","29","7.11","88","8.79","4.14","5","154.95","42.22","12.93","20.04","0.099886364","3.034482759","2.933333333","0.445862069","0.431","0.245172414","0.237","64.52095808","96.66666667","27.24749919","3.523101646","13.02222222","13.47126437","19.15555556","19.81609195","10.53333333","10.89655172","5.219409845","5.399389495","29.68888889","30.71264368"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00016","","","","30","29","6.32","59","16.19","1.78","4","156.84","32.95","17.97","24.29","0.27440678","2.034482759","1.966666667","0.619655172","0.599","0.217931034","0.210666667","73.98106217","96.66666667","21.00867126","3.775258225","23.98518519","24.81226054","26.62222222","27.54022989","9.362962963","9.685823755","5.592975148","5.78583636","35.98518519","37.22605364"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00017","","","","30","23","4.35","46","5.67","0.94","6","159.05","34.32","6.61","10.96","0.12326087","2","1.533333333","0.287391304","0.220333333","0.189130435","0.145","60.31021898","76.66666667","21.57812009","1.426313738","8.4","10.95652174","9.792592593","12.77294686","6.444444444","8.405797101","2.113057389","2.756161812","16.23703704","21.17874396"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00018","","","","30","15","2.22","15","1.66","0.43","6","159.89","46.98","2.09","4.31","0.110666667","1","0.5","0.139333333","0.069666667","0.148","0.074","48.49187935","50","29.38270061","0.614098443","2.459259259","4.918518519","3.096296296","6.192592593","3.288888889","6.577777778","0.909775471","1.819550941","6.385185185","12.77037037"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00019","","","","30","26","6.92","50","5.39","2.02","5","158.07","46","7.41","14.33","0.1078","1.923076923","1.666666667","0.285","0.247","0.266153846","0.230666667","51.70969993","86.66666667","29.10103119","2.156386411","7.985185185","9.213675214","10.97777778","12.66666667","10.25185185","11.82905983","3.194646535","3.686130617","21.22962963","24.4957265"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00020","","","","30","22","7.51","46","7.39","1.63","6","156.78","35.97","9.02","16.53","0.160652174","2.090909091","1.533333333","0.41","0.300666667","0.341363636","0.250333333","54.56745312","73.33333333","22.94297742","2.069456563","10.94814815","14.92929293","13.36296296","18.22222222","11.12592593","15.17171717","3.065861575","4.18072033","24.48888889","33.39393939"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00021","","","","30","22","5.54","92","13.51","0.98","5","157.58","35.51","14.49","20.03","0.146847826","4.181818182","3.066666667","0.658636364","0.483","0.251818182","0.184666667","72.34148777","73.33333333","22.53458561","3.265261454","20.01481481","27.29292929","21.46666667","29.27272727","8.207407407","11.19191919","4.837424377","6.596487787","29.67407407","40.46464646"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00022","","","","30","22","5.1","58","10.09","1.33","3","146.11","43.16","11.42","16.52","0.173965517","2.636363636","1.933333333","0.519090909","0.380666667","0.231818182","0.17","69.1283293","73.33333333","29.53938813","3.373398125","14.94814815","20.38383838","16.91851852","23.07070707","7.555555556","10.3030303","4.997626851","6.814945706","24.47407407","33.37373737"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00023","","","","30","26","10.87","77","14.03","1.23","5","161.51","48.95","15.26","26.13","0.182207792","2.961538462","2.566666667","0.586923077","0.508666667","0.418076923","0.362333333","58.40030616","86.66666667","30.30772088","4.624958207","20.78518519","23.98290598","22.60740741","26.08547009","16.1037037","18.58119658","6.851789936","7.905911465","38.71111111","44.66666667"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00024","","","","30","25","4.22","49","7.27","0.78","5","160.69","36.22","8.05","12.27","0.148367347","1.96","1.633333333","0.322","0.268333333","0.1688","0.140666667","65.60717196","83.33333333","22.54029498","1.814493746","10.77037037","12.92444444","11.92592593","14.31111111","6.251851852","7.502222222","2.688138883","3.225766659","18.17777778","21.81333333"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00025","","","","30","19","3.1","37","3.93","1.13","6","159.36","41.47","5.06","8.16","0.106216216","1.947368421","1.233333333","0.266315789","0.168666667","0.163157895","0.103333333","62.00980392","63.33333333","26.02284137","1.316755773","5.822222222","9.192982456","7.496296296","11.83625731","4.592592593","7.251461988","1.950749293","3.080130463","12.08888889","19.0877193"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00026","","","","30","27","5.37","80","16.07","2.21","3","160.7","36.86","18.28","23.65","0.200875","2.962962963","2.666666667","0.677037037","0.609333333","0.198888889","0.179","77.29386892","90","22.93714997","4.192911014","23.80740741","26.4526749","27.08148148","30.09053498","7.955555556","8.839506173","6.211720021","6.901911135","35.03703704","38.93004115"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00027","","","","30","15","8.13","22","2.28","0.94","6","156.58","41.64","3.22","11.35","0.103636364","1.466666667","0.733333333","0.214666667","0.107333333","0.542","0.271","28.37004405","50","26.59343467","0.856308596","3.377777778","6.755555556","4.77037037","9.540740741","12.04444444","24.08888889","1.268605328","2.537210656","16.81481481","33.62962963"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00028","","","","30","24","10.39","50","10.7","4.78","5","158.94","31.71","15.48","25.87","0.214","2.083333333","1.666666667","0.645","0.516","0.432916667","0.346333333","59.83764979","80","19.95092488","3.088403171","15.85185185","19.81481481","22.93333333","28.66666667","15.39259259","19.24074074","4.575412105","5.719265131","38.32592593","47.90740741"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00029","","","","30","28","5.89","62","8.76","3.77","5","150.9","29.77","12.53","18.42","0.141290323","2.214285714","2.066666667","0.4475","0.417666667","0.210357143","0.196333333","68.02388708","93.33333333","19.72829689","2.4719556","12.97777778","13.9047619","18.56296296","19.88888889","8.725925926","9.349206349","3.662156444","3.923739047","27.28888889","29.23809524"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00030","","","","30","26","6.53","94","19.14","1.31","4","159.72","19.36","20.45","26.98","0.203617021","3.615384615","3.133333333","0.786538462","0.681666667","0.251153846","0.217666667","75.79688658","86.66666667","12.12121212","2.478787879","28.35555556","32.71794872","30.2962963","34.95726496","9.674074074","11.16239316","3.672278339","4.237244237","39.97037037","46.11965812"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00031","","","","30","29","5.71","31","5.7","1.1","6","162.61","54.65","6.8","12.51","0.183870968","1.068965517","1.033333333","0.234482759","0.226666667","0.196896552","0.190333333","54.35651479","96.66666667","33.60801919","2.285345305","8.444444444","8.735632184","10.07407407","10.42145594","8.459259259","8.750957854","3.385696748","3.502444911","18.53333333","19.17241379"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00032","","","","30","26","3.44","47","9.67","3.63","4","155.86","30.08","13.3","16.74","0.205744681","1.807692308","1.566666667","0.511538462","0.443333333","0.132307692","0.114666667","79.45041816","86.66666667","19.29937123","2.566816374","14.32592593","16.52991453","19.7037037","22.73504274","5.096296296","5.88034188","3.802690924","4.387720297","24.8","28.61538462"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00033","","","","30","25","5.7","53","9.47","2.45","4","155.39","44.1","11.92","17.62","0.178679245","2.12","1.766666667","0.4768","0.397333333","0.228","0.19","67.65039728","83.33333333","28.38020465","3.382920394","14.02962963","16.83555556","17.65925926","21.19111111","8.444444444","10.13333333","5.011733917","6.0140807","26.1037037","31.32444444"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00034","","","","30","28","5.95","64","16.72","2.27","3","158.69","36.3","18.99","24.94","0.26125","2.285714286","2.133333333","0.678214286","0.633","0.2125","0.198333333","76.14274258","93.33333333","22.87478732","4.343922112","24.77037037","26.53968254","28.13333333","30.14285714","8.814814815","9.444444444","6.435440166","6.895114464","36.94814815","39.58730159"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00035","","","","30","27","4.99","69","13.19","2.39","3","154.86","41.68","15.58","20.57","0.19115942","2.555555556","2.3","0.577037037","0.519333333","0.184814815","0.166333333","75.74137093","90","26.91463257","4.193299755","19.54074074","21.71193416","23.08148148","25.64609053","7.392592593","8.21399177","6.212295933","6.902551036","30.47407407","33.8600823"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00036","","","","30","23","5.24","46","8.98","1.53","6","135.11","32.37","10.51","15.75","0.195217391","2","1.533333333","0.456956522","0.350333333","0.227826087","0.174666667","66.73015873","76.66666667","23.95825624","2.51801273","13.3037037","17.352657","15.57037037","20.30917874","7.762962963","10.12560386","3.73038923","4.865725083","23.33333333","30.43478261"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00037","","","","30","30","6.68","54","7.96","2.76","5","158.6","37.09","10.72","17.4","0.147407407","1.8","1.8","0.357333333","0.357333333","0.222666667","0.222666667","61.6091954","100","23.38587642","2.506965952","11.79259259","11.79259259","15.88148148","15.88148148","9.896296296","9.896296296","3.714023633","3.714023633","25.77777778","25.77777778"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00038","","","","30","27","7.2","79","10.68","2.81","5","154.82","36.63","13.49","20.69","0.135189873","2.925925926","2.633333333","0.49962963","0.449666667","0.266666667","0.24","65.20057999","90","23.65973388","3.191698101","15.82222222","17.58024691","19.98518519","22.20576132","10.66666667","11.85185185","4.728441631","5.253824035","30.65185185","34.05761317"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00039","","","","30","26","3.83","85","11.31","2.97","4","161.98","36.3","14.28","18.11","0.133058824","3.269230769","2.833333333","0.549230769","0.476","0.147307692","0.127666667","78.85146328","86.66666667","22.4101741","3.200172861","16.75555556","19.33333333","21.15555556","24.41025641","5.674074074","6.547008547","4.740996831","5.470380959","26.82962963","30.95726496"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00040","","","","30","25","8.08","73","17.04","1.7","5","157.12","22.53","18.74","26.82","0.233424658","2.92","2.433333333","0.7496","0.624666667","0.3232","0.269333333","69.87322893","83.33333333","14.33935845","2.687195774","25.24444444","30.29333333","27.76296296","33.31555556","11.97037037","14.36444444","3.981030776","4.777236931","39.73333333","47.68"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00041","","","","30","26","6.3","30","6.03","1.9","6","161.8","32.64","7.93","14.23","0.201","1.153846154","1","0.305","0.264333333","0.242307692","0.21","55.72733661","86.66666667","20.17305315","1.599723115","8.933333333","10.30769231","11.74814815","13.55555556","9.333333333","10.76923077","2.36996017","2.734569427","21.08148148","24.32478632"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00042","","","","30","27","5.56","42","4","1.26","6","156.84","34.01","5.26","10.82","0.095238095","1.555555556","1.4","0.194814815","0.175333333","0.205925926","0.185333333","48.61367837","90","21.68451926","1.140605713","5.925925926","6.58436214","7.792592593","8.658436214","8.237037037","9.152263374","1.689786241","1.877540268","16.02962963","17.81069959"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00043","","","","30","30","6.35","78","12.06","5.19","5","156.9","41.32","17.25","23.6","0.154615385","2.6","2.6","0.575","0.575","0.211666667","0.211666667","73.09322034","100","26.33524538","4.542829828","17.86666667","17.86666667","25.55555556","25.55555556","9.407407407","9.407407407","6.730118264","6.730118264","34.96296296","34.96296296"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00044","","","","30","22","2.3","73","11.33","2.47","5","158.16","36.88","13.8","16.1","0.155205479","3.318181818","2.433333333","0.627272727","0.46","0.104545455","0.076666667","85.71428571","73.33333333","23.31815883","3.217905918","16.78518519","22.88888889","20.44444444","27.87878788","3.407407407","4.646464646","4.767268027","6.500820036","23.85185185","32.52525253"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00045","","","","30","16","3.22","13","1.06","0.28","6","157.34","35.12","1.34","4.56","0.081538462","0.8125","0.433333333","0.08375","0.044666667","0.20125","0.107333333","29.38596491","53.33333333","22.32108809","0.29910258","1.57037037","2.944444444","1.985185185","3.722222222","4.77037037","8.944444444","0.443114934","0.830840501","6.755555556","12.66666667"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00046","","","","30","26","4.27","40","6.08","2.28","6","159.06","48.07","8.36","12.63","0.152","1.538461538","1.333333333","0.321538462","0.278666667","0.164230769","0.142333333","66.19160728","86.66666667","30.22130014","2.526500692","9.007407407","10.39316239","12.38518519","14.29059829","6.325925926","7.299145299","3.742963988","4.318804601","18.71111111","21.58974359"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00047","","","","30","26","4.1","34","3.49","2.34","6","156.8","37.45","5.83","9.93","0.102647059","1.307692308","1.133333333","0.224230769","0.194333333","0.157692308","0.136666667","58.71097684","86.66666667","23.88392857","1.392433036","5.17037037","5.965811966","8.637037037","9.965811966","6.074074074","7.008547009","2.062863757","2.380227411","14.71111111","16.97435897"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00048","","","","30","24","4.91","38","6.03","1.32","5","162.86","41.2","7.35","12.26","0.158684211","1.583333333","1.266666667","0.30625","0.245","0.204583333","0.163666667","59.95106036","80","25.29780179","1.859388432","8.933333333","11.16666667","10.88888889","13.61111111","7.274074074","9.092592593","2.754649529","3.443311911","18.16296296","22.7037037"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00049","","","","30","28","8.94","49","8.25","5.74","5","158.64","50.05","13.99","22.93","0.168367347","1.75","1.633333333","0.499642857","0.466333333","0.319285714","0.298","61.01177497","93.33333333","31.54942007","4.413763868","12.22222222","13.0952381","20.72592593","22.20634921","13.24444444","14.19047619","6.538909434","7.005974393","33.97037037","36.3968254"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00050","","","","30","27","4.39","72","15.47","1.24","4","157.6","44.13","16.71","21.1","0.214861111","2.666666667","2.4","0.618888889","0.557","0.162592593","0.146333333","79.1943128","90","28.00126904","4.679012056","22.91851852","25.46502058","24.75555556","27.50617284","6.503703704","7.226337449","6.931869712","7.702077458","31.25925926","34.73251029"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00051","","","","30","27","7.85","107","22.08","3.18","4","154.7","33.74","25.26","33.11","0.20635514","3.962962963","3.566666667","0.935555556","0.842","0.290740741","0.261666667","76.29115071","90","21.80995475","5.50919457","32.71111111","36.34567901","37.42222222","41.58024691","11.62962963","12.9218107","8.161769734","9.068633037","49.05185185","54.50205761"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00052","","","","30","14","5.98","44","7.65","0.8","6","161.14","31.87","8.45","14.43","0.173863636","3.142857143","1.466666667","0.603571429","0.281666667","0.427142857","0.199333333","58.55855856","46.66666667","19.77783294","1.671226883","11.33333333","24.28571429","12.51851852","26.82539683","8.859259259","18.98412698","2.475891679","5.30548217","21.37777778","45.80952381"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00053","","","","30","27","5.25","57","6.67","1.32","6","154.81","38.45","7.99","13.24","0.117017544","2.111111111","1.9","0.295925926","0.266333333","0.194444444","0.175","60.34743202","90","24.83689684","1.984468058","9.881481481","10.97942387","11.83703704","13.15226337","7.777777778","8.641975309","2.939952678","3.266614087","19.61481481","21.79423868"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00054","","","","30","27","10.54","97","18.56","2.76","5","159.34","46.02","21.32","31.86","0.191340206","3.592592593","3.233333333","0.78962963","0.710666667","0.39037037","0.351333333","66.91776522","90","28.88163675","6.157564955","27.4962963","30.55144033","31.58518519","35.09465021","15.61481481","17.34979424","9.122318453","10.13590939","47.2","52.44444444"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00055","","","","30","26","10.11","53","21.64","1.91","5","162.75","44.03","23.55","33.66","0.408301887","2.038461538","1.766666667","0.905769231","0.785","0.388846154","0.337","69.96434938","86.66666667","27.05376344","6.37116129","32.05925926","36.99145299","34.88888889","40.25641026","14.97777778","17.28205128","9.438757467","10.890874","49.86666667","57.53846154"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00056","","","","30","30","10.28","89","20.17","2.6","3","160.53","45.43","22.77","33.05","0.226629213","2.966666667","2.966666667","0.759","0.759","0.342666667","0.342666667","68.89561271","100","28.30000623","6.443911418","29.88148148","29.88148148","33.73333333","33.73333333","15.22962963","15.22962963","9.546535435","9.546535435","48.96296296","48.96296296"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00057","","","","30","27","7.11","63","13.41","1.35","4","160","38.44","14.76","21.87","0.212857143","2.333333333","2.1","0.546666667","0.492","0.263333333","0.237","67.48971193","90","24.025","3.54609","19.86666667","22.07407407","21.86666667","24.2962963","10.53333333","11.7037037","5.253466667","5.837185185","32.4","36"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00058","","","","30","27","4.13","60","8.75","2.5","6","158.3","42.96","11.25","15.38","0.145833333","2.222222222","2","0.416666667","0.375","0.152962963","0.137666667","73.14694408","90","27.13834491","3.053063803","12.96296296","14.40329218","16.66666667","18.51851852","6.118518519","6.798353909","4.523057486","5.025619429","22.78518519","25.31687243"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00059","","","","30","29","6.14","103","23.76","4.88","4","159.46","32.78","28.64","34.78","0.230679612","3.551724138","3.433333333","0.987586207","0.954666667","0.211724138","0.204666667","82.34617596","96.66666667","20.55687947","5.88749028","35.2","36.4137931","42.42962963","43.89272031","9.096296296","9.409961686","8.722207822","9.022973609","51.52592593","53.30268199"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00060","","","","30","27","8.34","28","3.88","1.4","6","158.23","47.88","5.28","13.62","0.138571429","1.037037037","0.933333333","0.195555556","0.176","0.308888889","0.278","38.76651982","90","30.25974847","1.597714719","5.748148148","6.386831276","7.822222222","8.691358025","12.35555556","13.72839506","2.366984769","2.629983077","20.17777778","22.41975309"
