"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00021","","","","20","2.27","18","55","39","8.59","1.2","4","28.0876494","3.8781834","1.6121597","1.1561046","78.3234863","100.2278137","47.5987549","62.4660606","1.35219","3.3503246","16.0819683","0.2448788","9.79","12.06","94","0.156181818","0.030769231","0.104148936","5.222222222","4.7","3.055555556","2.75","0.543888889","0.4895","0.126111111","0.1135","58.5106383","81.1774461","90","2.749780876","19.08888889","21.20987654","21.75555556","24.17283951","5.044444444","5.604938272","6.110624169","6.789582411","26.8","29.77777778"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00022","","","","20","2.69","18","47","28","8.92","1.17","3","29.02584493","6.8222713","1.9802585","1.334938","80.1993408","104.761261","46.536293","58.4067078","1.2853594","3.2121711","17.1420879","0","10.09","12.78","75","0.189787234","0.041785714","0.134533333","4.166666667","3.75","2.611111111","2.35","0.560555556","0.5045","0.149444444","0.1345","62.66666667","78.9514867","90","2.928707753","19.82222222","22.02469136","22.42222222","24.91358025","5.977777778","6.641975309","6.508239452","7.231377169","28.4","31.55555556"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00023","","","","20","1.33","18","17","61","1.48","1.46","5","28.88446215","4.9069805","1.7985754","1.3317709","118.6937256","104.6488037","43.2053528","56.8506393","3.7320051","6.4040294","12.7211151","0.4311266","2.94","4.27","78","0.087058824","0.023934426","0.037692308","4.333333333","3.9","0.944444444","0.85","0.163333333","0.147","0.073888889","0.0665","21.79487179","68.85245902","90","0.849203187","3.288888889","3.654320988","6.533333333","7.259259259","2.955555556","3.283950617","1.887118194","2.096797993","9.488888889","10.54320988"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00024","","","","20","10.51","18","15","49","1.59","1.22","5","30.15873016","6.9691381","2.1825354","1.5314288","141.1663818","115.4744873","31.7142334","60.6588631","2.5360308","5.0701284","9.016717","0","2.81","13.32","64","0.106","0.024897959","0.04390625","3.555555556","3.2","0.833333333","0.75","0.156111111","0.1405","0.583888889","0.5255","23.4375","21.0960961","90","0.847460317","3.533333333","3.925925926","6.244444444","6.938271605","23.35555556","25.95061728","1.88324515","2.092494611","29.6","32.88888889"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00025","","","","20","3.51","16","21","35","5.52","1.75","5","29.96031746","7.0411835","2.2648182","1.4951382","131.9152832","137.3646698","37.6853943","55.8111076","1.8421621","4.3928361","14.3446035","0.06598","7.27","10.78","56","0.262857143","0.05","0.129821429","3.5","2.8","1.3125","1.05","0.454375","0.3635","0.219375","0.1755","37.5","67.43970315","80","2.178115079","12.26666667","15.33333333","16.15555556","20.19444444","7.8","9.75","4.840255732","6.050319665","23.95555556","29.94444444"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00026","","","","20","0.76","13","33","26","3.31","0.92","5","29.6222664","5.6974144","1.9145126","1.2413607","100.2601318","110.8251801","32.5541534","56.9634438","2.0836277","4.3716822","15.1438532","0","4.23","4.99","59","0.10030303","0.035384615","0.071694915","4.538461538","2.95","2.538461538","1.65","0.325384615","0.2115","0.058461538","0.038","55.93220339","84.76953908","65","1.253021869","7.355555556","11.31623932","9.4","14.46153846","1.688888889","2.598290598","2.784493042","4.283835449","11.08888889","17.05982906"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00027","","","","20","4.65","18","34","54","6.45","1.61","4","31.02766798","5.044899","1.7569246","1.1851006","116.3742676","112.5974579","45.0674286","60.249958","1.0368977","3.0471082","16.3454266","0.1838245","8.06","12.71","88","0.189705882","0.029814815","0.091590909","4.888888889","4.4","1.888888889","1.7","0.447777778","0.403","0.258333333","0.2325","38.63636364","63.41463415","90","2.500830039","14.33333333","15.92592593","17.91111111","19.90123457","10.33333333","11.48148148","5.557400087","6.174888986","28.24444444","31.38271605"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00028","","","","20","4.67","12","29","27","5.36","1.16","5","31.80914513","5.8375282","1.7789488","1.2364359","102.9261475","97.2808838","56.1770096","62.1404839","0.9271641","3.1115518","14.7840252","0","6.52","11.19","56","0.184827586","0.042962963","0.116428571","4.666666667","2.8","2.416666667","1.45","0.543333333","0.326","0.389166667","0.2335","51.78571429","58.2663092","60","2.073956262","11.91111111","19.85185185","14.48888889","24.14814815","10.37777778","17.2962963","4.608791694","7.681319491","24.86666667","41.44444444"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00029","","","","20","4.66","14","20","25","4.14","1.32","3","27.2","7.1733799","1.9852958","1.2645621","104.7047119","108.4261932","37.5495148","57.7456131","1.8554735","4.185689","15.474925","0.2480125","5.46","10.12","45","0.207","0.0528","0.121333333","3.214285714","2.25","1.428571429","1","0.39","0.273","0.332857143","0.233","44.44444444","53.95256917","70","1.48512","9.2","13.14285714","12.13333333","17.33333333","10.35555556","14.79365079","3.300266667","4.714666667","22.48888889","32.12698413"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00030","","","","20","4.31","14","13","11","1.86","0.37","5","28.54291417","5.4947205","1.7214851","1.1089025","78.6417236","100.0575409","37.5513306","58.1319923","2.7535505","5.1314077","14.2719822","0.1338987","2.23","6.54","24","0.143076923","0.033636364","0.092916667","1.714285714","1.2","0.928571429","0.65","0.159285714","0.1115","0.307857143","0.2155","54.16666667","34.09785933","70","0.636506986","4.133333333","5.904761905","4.955555556","7.079365079","9.577777778","13.68253968","1.414459969","2.020657098","14.53333333","20.76190476"
