"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap120"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00061","","","","120","105","116.85","5","17","0.4","0.33","51.5","16","10.36","0","2.55","1.84","6.3","102.85","66.16","0.14","1.9","7.91","0.02","0.73","117.58","22","0.08","0.019411765","0.033181818","0.20952381","0.183333333","0.047619048","0.041666667","0.006952381","0.006083333","1.112857143","0.97375","22.72727273","0.620853887","87.5","31.06796117","0.226796117","0.148148148","0.169312169","0.27037037","0.308994709","43.27777778","49.46031746","0.083998562","0.095998356","43.54814815","49.76931217","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00062","","","","120","115","157.01","3","48","0.63","1.02","50.1","13.9","11.46","0","2.72","1.87","24.42","104.48","61.94","0.78","1.89","10.54","0.37","1.65","158.66","51","0.21","0.02125","0.032352941","0.443478261","0.425","0.026086957","0.025","0.014347826","0.01375","1.365304348","1.308416667","5.882352941","1.039959662","95.83333333","27.74451098","0.457784431","0.233333333","0.243478261","0.611111111","0.637681159","58.15185185","60.68019324","0.169549789","0.176921519","58.76296296","61.3178744","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00063","","","","120","108","151.74","134","170","22.58","6.38","51.7","11.4","6.76","22.69","2.21","1.38","144.66","113.58","48.69","8.17","12.46","9.02","0.8","28.96","180.7","304","0.168507463","0.037529412","0.095263158","2.814814815","2.533333333","1.240740741","1.116666667","0.268148148","0.241333333","1.405","1.2645","44.07894737","16.02656336","90","22.05029014","6.385764023","8.362962963","9.29218107","10.72592593","11.91769547","56.2","62.44444444","2.365097786","2.627886429","66.92592593","74.36213992","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00064","","","","120","96","119.05","55","130","10.54","5.72","50.5","11.9","7.07","15.96","2.18","1.44","214.84","129.45","54.2","4.9","7.98","11.16","0.37","16.26","135.31","185","0.191636364","0.044","0.087891892","1.927083333","1.541666667","0.572916667","0.458333333","0.169375","0.1355","1.240104167","0.992083333","29.72972973","12.0168502","80","23.56435644","3.831564356","3.903703704","4.87962963","6.022222222","7.527777778","44.09259259","55.11574074","1.41909791","1.773872387","50.11481481","62.64351852","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00065","","","","120","96","108.17","162","204","25.15","7.78","50.2","14.2","7.19","15.8","2.24","1.47","194.11","130.14","55.92","3.34","6.07","11.57","0.7","32.93","141.1","366","0.155246914","0.038137255","0.089972678","3.8125","3.05","1.6875","1.35","0.343020833","0.274416667","1.126770833","0.901416667","44.26229508","23.33805811","80","28.28685259","9.314860558","9.314814815","11.64351852","12.1962963","15.24537037","40.06296296","50.0787037","3.449948355","4.312435443","52.25925926","65.32407407","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00066","","","","120","105","117.44","95","192","18.96","8.01","50.3","15.2","8.99","23.17","2.42","1.69","148.75","123.12","60.22","0.45","2.42","14.05","0.17","26.97","144.41","287","0.199578947","0.04171875","0.093972125","2.733333333","2.391666667","0.904761905","0.791666667","0.256857143","0.22475","1.11847619","0.978666667","33.1010453","18.67599197","87.5","30.21868787","8.149980119","7.022222222","8.025396825","9.988888889","11.41587302","43.4962963","49.71005291","3.018511155","3.449727035","53.48518519","61.12592593","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00067","","","","120","99","75.79","104","127","23.7","5.47","51.1","15.4","7.37","","1.98","1.33","13.11","94.32","63.5","0.96","2.58","11.42","0.04","29.17","104.96","231","0.227884615","0.043070866","0.126277056","2.333333333","1.925","1.050505051","0.866666667","0.294646465","0.243083333","0.765555556","0.631583333","45.02164502","27.79153963","82.5","30.1369863","8.790958904","8.777777778","10.63973064","10.8037037","13.09539843","28.07037037","34.02469136","3.255910705","3.946558431","38.87407407","47.12008979","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00068","","","","120","104","103.97","43","127","11.98","5.42","50.4","17","7.99","","1.99","1.42","51.1","105.72","64.58","0.61","2.56","11.23","0.06","17.4","121.37","170","0.278604651","0.042677165","0.102352941","1.634615385","1.416666667","0.413461538","0.358333333","0.167307692","0.145","0.999711538","0.866416667","25.29411765","14.33632693","86.66666667","33.73015873","5.869047619","4.437037037","5.11965812","6.444444444","7.435897436","38.50740741","44.43162393","2.17372134","2.508140008","44.95185185","51.86752137","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00069","","","","120","106","87.09","25","304","3.03","8.67","51.4","16.7","7.29","0","1.88","1.4","0","82.17","68.91","0.51","2.66","6.87","0","11.7","98.79","329","0.1212","0.028519737","0.03556231","3.103773585","2.741666667","0.235849057","0.208333333","0.110377358","0.0975","0.821603774","0.72575","7.598784195","11.84330398","88.33333333","32.49027237","3.801361868","1.122222222","1.270440252","4.333333333","4.905660377","32.25555556","36.51572327","1.407911803","1.593862418","36.58888889","41.42138365","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00070","","","","120","110","108.93","34","495","2.74","11.91","50.1","17.6","6.86","0","1.76","1.25","24.66","91.97","69.75","1.11","3.19","4.95","0.07","14.65","123.58","529","0.080588235","0.024060606","0.027693762","4.809090909","4.408333333","0.309090909","0.283333333","0.133181818","0.122083333","0.990272727","0.90775","6.427221172","11.85466904","91.66666667","35.12974052","5.146506986","1.014814815","1.107070707","5.425925926","5.919191919","40.34444444","44.01212121","1.906113699","2.079396762","45.77037037","49.93131313","1"
