"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root flesh secondary color estimating 0-9|CO_331:0000179","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00037","","","","3","3","1.88","15","3","3.5","0.06","3","7","","6","3.56","5.44","18","0.233333333","0.02","0.197777778","6","5","1.186666667","0.626666667","83.33333333","65.44117647","51.85185185","52.74074074","27.85185185","80.59259259","6","5","1.186666667","0.626666667","100","51.85185185","52.74074074","27.85185185","80.59259259"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00038","","","","3","2","1.83","10","6","2.64","0.18","7","7","","6","2.82","4.65","16","0.264","0.03","0.17625","8","5","1.41","0.915","62.5","60.64516129","58.66666667","62.66666667","40.66666667","103.3333333","5.333333333","3.333333333","0.94","0.61","66.66666667","39.11111111","41.77777778","27.11111111","68.88888889"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00039","","","","3","3","1.67","5","2","3.24","0.18","7","7","","6","3.42","5.09","7","0.648","0.09","0.488571429","2.333333333","1.666666667","1.14","0.556666667","71.42857143","67.19056974","48","50.66666667","24.74074074","75.40740741","2.333333333","1.666666667","1.14","0.556666667","100","48","50.66666667","24.74074074","75.40740741"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00040","","","","3","2","0.93","3","0","1.38","0","6","6","","6","1.38","2.31","3","0.46","","0.46","1.5","1.5","0.69","0.465","100","59.74025974","30.66666667","30.66666667","20.66666667","51.33333333","1","1","0.46","0.31","66.66666667","20.44444444","20.44444444","13.77777778","34.22222222"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00041","","","","3","3","2.15","12","13","2.36","0.47","6","3","","6","2.83","4.98","25","0.196666667","0.036153846","0.1132","8.333333333","4","0.943333333","0.716666667","48","56.82730924","34.96296296","41.92592593","31.85185185","73.77777778","8.333333333","4","0.943333333","0.716666667","100","34.96296296","41.92592593","31.85185185","73.77777778"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00042","","","","3","3","7.33","15","2","6.69","0.19","6","3","","5","6.88","14.21","17","0.446","0.095","0.404705882","5.666666667","5","2.293333333","2.443333333","88.23529412","48.41660802","99.11111111","101.9259259","108.5925926","210.5185185","5.666666667","5","2.293333333","2.443333333","100","99.11111111","101.9259259","108.5925926","210.5185185"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00043","","","","3","3","2.95","25","11","3.67","0.4","3","7","","6","4.07","7.02","36","0.1468","0.036363636","0.113055556","12","8.333333333","1.356666667","0.983333333","69.44444444","57.97720798","54.37037037","60.2962963","43.7037037","104","12","8.333333333","1.356666667","0.983333333","100","54.37037037","60.2962963","43.7037037","104"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00044","","","","3","3","2.89","5","7","1.27","0.4","6","7","","6","1.67","4.56","12","0.254","0.057142857","0.139166667","4","1.666666667","0.556666667","0.963333333","41.66666667","36.62280702","18.81481481","24.74074074","42.81481481","67.55555556","4","1.666666667","0.556666667","0.963333333","100","18.81481481","24.74074074","42.81481481","67.55555556"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00045","","","","3","3","2.9","16","10","3.84","0.5","6","3","","6","4.34","7.24","26","0.24","0.05","0.166923077","8.666666667","5.333333333","1.446666667","0.966666667","61.53846154","59.94475138","56.88888889","64.2962963","42.96296296","107.2592593","8.666666667","5.333333333","1.446666667","0.966666667","100","56.88888889","64.2962963","42.96296296","107.2592593"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00046","","","","3","3","1.48","11","8","1.52","0.33","4","7","","6","1.85","3.33","19","0.138181818","0.04125","0.097368421","6.333333333","3.666666667","0.616666667","0.493333333","57.89473684","55.55555556","22.51851852","27.40740741","21.92592593","49.33333333","6.333333333","3.666666667","0.616666667","0.493333333","100","22.51851852","27.40740741","21.92592593","49.33333333"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00047","","","","3","3","3.22","16","11","3.16","0.48","6","7","","6","3.64","6.86","27","0.1975","0.043636364","0.134814815","9","5.333333333","1.213333333","1.073333333","59.25925926","53.06122449","46.81481481","53.92592593","47.7037037","101.6296296","9","5.333333333","1.213333333","1.073333333","100","46.81481481","53.92592593","47.7037037","101.6296296"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00048","","","","3","3","2.68","8","4","3.05","0.22","6","3","","6","3.27","5.95","12","0.38125","0.055","0.2725","4","2.666666667","1.09","0.893333333","66.66666667","54.95798319","45.18518519","48.44444444","39.7037037","88.14814815","4","2.666666667","1.09","0.893333333","100","45.18518519","48.44444444","39.7037037","88.14814815"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00049","","","","3","3","2.85","15","19","3.39","0.55","6","3","","6","3.94","6.79","34","0.226","0.028947368","0.115882353","11.33333333","5","1.313333333","0.95","44.11764706","58.02650957","50.22222222","58.37037037","42.22222222","100.5925926","11.33333333","5","1.313333333","0.95","100","50.22222222","58.37037037","42.22222222","100.5925926"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00050","","","","3","3","2.85","17","14","4.03","0.69","4","6","","6","4.72","7.57","31","0.237058824","0.049285714","0.152258065","10.33333333","5.666666667","1.573333333","0.95","54.83870968","62.35138705","59.7037037","69.92592593","42.22222222","112.1481481","10.33333333","5.666666667","1.573333333","0.95","100","59.7037037","69.92592593","42.22222222","112.1481481"
"","","PEP2015SAT-ST01","","","","","","","","","PEP2015SAT-ST01-00051","","","","3","3","1.58","19","23","2.23","1.09","4","6","","6","3.32","4.9","42","0.117368421","0.047391304","0.079047619","14","6.333333333","1.106666667","0.526666667","45.23809524","67.75510204","33.03703704","49.18518519","23.40740741","72.59259259","14","6.333333333","1.106666667","0.526666667","100","33.03703704","49.18518519","23.40740741","72.59259259"
