"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00022","","","","30","23.74","29","32","166","4.33","6.1","10.43","34.17","198","0.1353125","0.036746988","0.052676768","6.827586207","6.6","1.103448276","1.066666667","0.359655172","0.347666667","0.81862069","0.791333333","16.16161616","30.52385133","96.66666667","6.414814815","6.636015326","15.45185185","15.98467433","35.17037037","36.38314176","50.62222222","52.36781609"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00023","","","","30","27.86","29","123","122","18.33","3.89","22.22","50.08","245","0.14902439","0.031885246","0.090693878","8.448275862","8.166666667","4.24137931","4.1","0.766206897","0.740666667","0.960689655","0.928666667","50.20408163","44.36900958","96.66666667","27.15555556","28.09195402","32.91851852","34.05363985","41.27407407","42.69731801","74.19259259","76.75095785"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00024","","","","30","36.02","30","94","128","14.76","4.45","19.21","55.23","222","0.157021277","0.034765625","0.086531532","7.4","7.4","3.133333333","3.133333333","0.640333333","0.640333333","1.200666667","1.200666667","42.34234234","34.78182147","100","21.86666667","21.86666667","28.45925926","28.45925926","53.36296296","53.36296296","81.82222222","81.82222222"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00025","","","","30","35.02","30","103","147","14.75","6.29","21.04","56.06","250","0.143203883","0.042789116","0.08416","8.333333333","8.333333333","3.433333333","3.433333333","0.701333333","0.701333333","1.167333333","1.167333333","41.2","37.53121655","100","21.85185185","21.85185185","31.17037037","31.17037037","51.88148148","51.88148148","83.05185185","83.05185185"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00026","","","","30","32.8","29","72","92","10.15","3.17","13.32","46.12","164","0.140972222","0.034456522","0.081219512","5.655172414","5.466666667","2.482758621","2.4","0.459310345","0.444","1.131034483","1.093333333","43.90243902","28.88117953","96.66666667","15.03703704","15.55555556","19.73333333","20.4137931","48.59259259","50.26819923","68.32592593","70.68199234"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00027","","","","30","36.45","20","34","16","15.85","1","16.85","53.3","50","0.466176471","0.0625","0.337","2.5","1.666666667","1.7","1.133333333","0.8425","0.561666667","1.8225","1.215","68","31.61350844","66.66666667","23.48148148","35.22222222","24.96296296","37.44444444","54","81","78.96296296","118.4444444"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00028","","","","30","36.45","26","33","20","12.9","1.22","14.12","50.57","53","0.390909091","0.061","0.266415094","2.038461538","1.766666667","1.269230769","1.1","0.543076923","0.470666667","1.401923077","1.215","62.26415094","27.9216927","86.66666667","19.11111111","22.05128205","20.91851852","24.13675214","54","62.30769231","74.91851852","86.44444444"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00029","","","","30","43.92","25","52","63","17.4","2.56","19.96","63.88","115","0.334615385","0.040634921","0.173565217","4.6","3.833333333","2.08","1.733333333","0.7984","0.665333333","1.7568","1.464","45.2173913","31.24608641","83.33333333","25.77777778","30.93333333","29.57037037","35.48444444","65.06666667","78.08","94.63703704","113.5644444"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00030","","","","30","38.75","24","52","51","17.86","2.38","20.24","58.99","103","0.343461538","0.046666667","0.196504854","4.291666667","3.433333333","2.166666667","1.733333333","0.843333333","0.674666667","1.614583333","1.291666667","50.48543689","34.31090015","80","26.45925926","33.07407407","29.98518519","37.48148148","57.40740741","71.75925926","87.39259259","109.2407407"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00031","","","","30","18.24","19","72","28","20.77","1.16","21.93","40.17","100","0.288472222","0.041428571","0.2193","5.263157895","3.333333333","3.789473684","2.4","1.154210526","0.731","0.96","0.608","72","54.59297984","63.33333333","30.77037037","48.58479532","32.48888889","51.29824561","27.02222222","42.66666667","59.51111111","93.96491228"
