stock_id,uniquename
2160270,TZMRK180042_47-3806
2160168,TZMRK180005_16-554
2160169,TZMRK180003_65-337
2160204,TZMRK180025_42-2562
2160272,TZMRK180051_47-4325
2160273,TZMRK180025_6-2526
2160274,TZMRK180025_31-2551
2160205,TZMRK180011_18-1216
2160277,TZMRK180018_34-1945
2160337,TZMRK180002_103-240
2160206,TZMRK180042_28-3787
2160339,TZMRK180009_94-1062
2160340,TZMRK180007_25-777
2160279,TZMRK180017_47-1857
2160280,TZMRK180019_15-2021
2160341,TZMRK180018_30-1941
2160282,TZMRK180036_14-3348
2160343,TZMRK180055_25-4595
2160207,TZMRK180018_52-1963
2160344,TZMRK180056_10-4607
2160345,TZMRK180005_68-606
2160284,TZMRK180003_106-378
2160285,TZMRK180002_60-197
2160346,TZMRK180014_57-1564
2160347,TZMRK180050_36-4268
2160286,TZMRK180008_51-907
2160287,TZMRK180053_30-4461
2160348,TZMRK180004_20-428
2160349,TZMRK180009_62-1030
2160350,TZMRK180006_43-674
2160209,TZMRK180023_58-2386
2160352,TZMRK180039_3-3558
2160353,TZMRK180012_5-1308
2160292,TZMRK180009_1-969
2160293,TZMRK180039_25-3580
2160355,TZMRK180024_48-2470
2160356,TZMRK180034_31-3234
2160210,TZMRK180046_24-4029
2160357,TZMRK180015_9-1630
2160358,TZMRK180034_37-3240
2160360,TZMRK180065_17-5069
2160361,TZMRK180034_52-3255
2160363,TZMRK180028_28-2785
2160364,TZMRK180058_12-4722
2160366,TZMRK180074_3-5425
2160367,TZMRK180021_3-2170
2160369,TZMRK180044_18-3926
2160370,TZMRK180021_5-2172
2160372,TZMRK180052_11-4366
2160374,TZMRK180004_79-487
2160295,TZMRK180039_55-3610
2160296,TZMRK180004_15-423
2160297,TZMRK180027_3-2676
2160302,TZMRK180038_17-3495
2160303,TZMRK180009_86-1054
2160305,TZMRK180061_21-4869
2160307,TZMRK180058_10-4720
2160308,TZMRK180008_13-869
2160309,TZMRK180041_7-3694
2160310,TZMRK180033_27-3156
2160311,TZMRK180015_12-1633
2160315,TZMRK180022_17-2263
2160316,TZMRK180014_43-1550
2160317,TZMRK180001_21-21
2160319,TZMRK180024_36-2458
2160320,TZMRK180023_63-2391
2160376,TZMRK180075_7-5473
2160377,TZMRK180002_97-234
2160322,TZMRK180029_44-2889
2160323,TZMRK180003_36-308
2160324,TZMRK180026_36-2613
2160325,TZMRK180006_17-648
2160327,TZMRK180005_26-564
2160329,TZMRK180035_21-3310
2160330,TZMRK180011_64-1262
2160331,TZMRK180021_7-2174
2160213,TZMRK180083_1-5736
2160335,TZMRK180064_20-5020
2160214,TZMRK180021_19-2186
2160215,TZMRK180042_3-3762
2160217,TZMRK180018_19-1930
2160218,TZMRK180021_34-2201
2160220,TZMRK180074_4-5426
2160221,TZMRK180015_3-1624
2160222,TZMRK180020_30-2133
2160419,TZMRK180056_9-4606
2160223,TZMRK180039_12-3567
2160224,TZMRK180055_9-4579
2160226,TZMRK180028_35-2792
2160227,TZMRK180023_13-2341
2160228,TZMRK180032_8-3083
2160230,TZMRK180037_28-3440
2160420,TZMRK180051_39-4317
2160421,TZMRK180027_11-2684
2160234,TZMRK180017_20-1830
2160422,TZMRK180003_71-343
2160424,TZMRK180011_24-1222
2160425,TZMRK180040_15-3657
2160426,TZMRK180001_62-62
2160236,TZMRK180074_11-5433
2160427,TZMRK180013_70-1475
2160429,TZMRK180022_33-2279
2160237,TZMRK180044_22-3930
2160431,TZMRK180027_6-2679
2160239,TZMRK180004_75-483
2160433,TZMRK180007_4-756
2160434,TZMRK180021_26-2193
2160241,TZMRK180010_38-1141
2160435,TZMRK180028_17-2774
2160436,TZMRK180012_20-1323
2160437,TZMRK180025_43-2563
2160380,TZMRK180007_6-758
2160381,TZMRK180010_93-1196
2160382,TZMRK180062_15-4914
2160438,TZMRK180022_35-2281
2160242,TZMRK180038_43-3521
2160440,TZMRK180002_77-214
2160385,TZMRK180056_11-4608
2160443,TZMRK180017_58-1868
2160245,TZMRK180004_9-417
2160444,TZMRK180001_14-14
2160445,TZMRK180016_74-1762
2160447,TZMRK180003_77-349
2160388,TZMRK180012_29-1332
2160448,TZMRK180025_48-2568
2160449,TZMRK180040_16-3658
2160246,TZMRK180013_72-1477
2160249,TZMRK180002_68-205
2160452,TZMRK180019_50-2056
2160453,TZMRK180017_55-1865
2160252,TZMRK180065_6-5058
2160457,TZMRK180066_7-5078
2160389,TZMRK180003_56-328
2160390,TZMRK180054_17-4514
2160391,TZMRK180033_19-3148
2160392,TZMRK180011_73-1271
2160395,TZMRK180015_55-1676
2160463,TZMRK180053_19-4450
2160464,TZMRK180001_82-82
2160465,TZMRK180031_11-3013
2160467,TZMRK180009_5-973
2160468,TZMRK180020_32-2135
2160399,TZMRK180042_41-3800
2160470,TZMRK180007_35-787
2160403,TZMRK180035_2-3291
2160471,TZMRK180016_75-1763
2160253,TZMRK180004_85-493
2160406,TZMRK180024_9-2431
2160474,TZMRK180003_2-274
2160407,TZMRK180028_4-2761
2160503,TZMRK180004_70-478
2160408,TZMRK180041_36-3723
2160412,TZMRK180017_9-1819
